frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
205,1,3,,3,,2,2,True
212,2,29,,29,,2,2,True
214,2,5,,5,,291,291,True
220,1,30,,30,,1,1,True
222,1,26,,26,,187,187,True
224,1,22,,22,,104,104,True
274,16,32,,32,,2,2,True
276,16,2,,2,,289,289,True
278,15,33,,33,,2,2,True
280,15,4,,4,,289,289,True
291,14,34,,34,,2,2,True
293,14,7,,7,,289,289,True
295,13,35,,35,,2,2,True
297,13,9,,9,,67,67,True
299,13,6,,6,,222,222,True
315,12,36,,36,,2,2,True
317,12,10,,10,,289,289,True
319,11,37,,37,,2,2,True
321,11,12,,12,,135,135,True
323,11,8,,8,,154,154,True
367,10,38,,38,,2,2,True
369,10,13,,13,,289,289,True
371,9,39,,39,,2,2,True
373,9,15,,15,,203,203,True
375,9,11,,11,,86,86,True
399,8,40,,40,,2,2,True
401,8,16,,16,,289,289,True
403,7,41,,41,,2,2,True
405,7,18,,18,,271,271,True
424,7,14,,14,,18,18,True
426,6,42,,42,,2,2,True
428,6,20,,20,,49,49,True
430,6,17,,17,,240,240,True
432,5,43,,43,,2,2,True
434,5,21,,21,,289,289,True
458,4,44,,44,,2,2,True
460,4,23,,23,,117,117,True
462,4,19,,19,,172,172,True
464,3,45,,45,,2,2,True
466,3,24,,24,,289,289,True
488,2,46,,46,,2,2,True
490,2,27,,27,,289,289,True
492,1,47,,47,,2,2,True
494,1,28,,28,,255,255,True
518,1,25,,25,,34,34,True
549,4,74,,74,,2,2,True
551,4,31,,31,,289,289,True
557,3,75,,75,,2,2,True
559,3,49,,49,,291,291,True
561,2,76,,76,,1,1,True
563,2,52,,52,,291,291,True
579,1,77,,77,,1,1,True
581,1,73,,73,,291,291,True
637,14,82,,82,,2,2,True
639,14,51,,51,,69,69,True
641,14,48,,48,,220,220,True
643,13,83,,83,,2,2,True
645,13,54,,54,,139,139,True
647,13,50,,50,,150,150,True
658,12,84,,84,,2,2,True
660,12,55,,55,,289,289,True
662,11,85,,85,,2,2,True
664,11,57,,57,,207,207,True
666,11,53,,53,,82,82,True
682,10,86,,86,,2,2,True
684,10,58,,58,,289,289,True
686,9,87,,87,,2,2,True
688,9,60,,60,,275,275,True
712,9,56,,56,,14,14,True
714,8,88,,88,,2,2,True
716,8,62,,62,,53,53,True
718,8,59,,59,,236,236,True
720,7,89,,89,,2,2,True
722,7,63,,63,,289,289,True
766,6,90,,90,,2,2,True
768,6,65,,65,,121,121,True
770,6,61,,61,,168,168,True
772,5,91,,91,,2,2,True
774,5,66,,66,,289,289,True
793,4,92,,92,,2,2,True
795,4,68,,68,,189,189,True
797,4,64,,64,,100,100,True
799,3,93,,93,,2,2,True
801,3,69,,69,,289,289,True
825,2,94,,94,,2,2,True
827,2,71,,71,,257,257,True
829,2,67,,67,,32,32,True
831,1,95,,95,,2,2,True
833,1,72,,72,,35,35,True
835,1,70,,70,,254,254,True
896,7,119,,119,,2,2,True
898,7,79,,79,,289,289,True
904,6,120,,120,,2,2,True
906,6,80,,80,,67,67,True
908,6,78,,78,,222,222,True
910,5,121,,121,,2,2,True
912,5,81,,81,,289,289,True
923,4,122,,122,,1,1,True
925,4,102,,102,,137,137,True
927,4,98,,98,,154,154,True
929,3,123,,123,,2,2,True
931,3,103,,103,,291,291,True
947,2,124,,124,,2,2,True
949,2,110,,110,,55,55,True
951,2,107,,107,,236,236,True
953,1,125,,125,,1,1,True
955,1,116,,116,,193,193,True
957,1,112,,112,,98,98,True
1038,11,136,,136,,2,2,True
1040,11,97,,97,,289,289,True
1042,10,137,,137,,2,2,True
1044,10,99,,99,,67,67,True
1046,10,96,,96,,222,222,True
1057,9,138,,138,,2,2,True
1059,9,100,,100,,289,289,True
1061,8,139,,139,,2,2,True
1063,8,105,,105,,207,207,True
1065,8,101,,101,,82,82,True
1081,7,140,,140,,2,2,True
1083,7,106,,106,,289,289,True
1085,6,141,,141,,2,2,True
1087,6,108,,108,,275,275,True
1111,6,104,,104,,14,14,True
1113,5,142,,142,,2,2,True
1115,5,111,,111,,289,289,True
1117,4,143,,143,,2,2,True
1119,4,113,,113,,123,123,True
1121,4,109,,109,,166,166,True
1143,3,144,,144,,2,2,True
1145,3,114,,114,,289,289,True
1147,2,145,,145,,2,2,True
1149,2,117,,117,,289,289,True
1173,1,146,,146,,2,2,True
1175,1,118,,118,,261,261,True
1177,1,115,,115,,28,28,True
1242,9,164,,164,,2,2,True
1244,9,127,,127,,289,289,True
1246,8,165,,165,,2,2,True
1248,8,129,,129,,67,67,True
1250,8,126,,126,,222,222,True
1261,7,166,,166,,2,2,True
1263,7,130,,130,,289,289,True
1265,6,167,,167,,2,2,True
1267,6,132,,132,,135,135,True
1269,6,128,,128,,154,154,True
1285,5,168,,168,,2,2,True
1287,5,133,,133,,289,289,True
1289,4,169,,169,,2,2,True
1291,4,134,,134,,203,203,True
1293,4,131,,131,,86,86,True
1317,3,170,,170,,2,2,True
1319,3,135,,135,,289,289,True
1321,2,171,,171,,1,1,True
1323,2,156,,156,,205,205,True
1325,2,152,,152,,86,86,True
1347,1,172,,172,,1,1,True
1349,1,159,,159,,275,275,True
1351,1,155,,155,,16,16,True
1415,9,187,,187,,2,2,True
1417,9,148,,148,,289,289,True
1419,8,188,,188,,2,2,True
1421,8,150,,150,,67,67,True
1423,8,147,,147,,222,222,True
1434,7,189,,189,,2,2,True
1436,7,151,,151,,289,289,True
1438,6,190,,190,,2,2,True
1440,6,153,,153,,135,135,True
1442,6,149,,149,,154,154,True
1458,5,191,,191,,2,2,True
1460,5,154,,154,,289,289,True
1462,4,192,,192,,2,2,True
1464,4,157,,157,,289,289,True
1488,3,193,,193,,2,2,True
1490,3,161,,161,,53,53,True
1492,3,158,,158,,236,236,True
1494,2,194,,194,,2,2,True
1496,2,162,,162,,289,289,True
1518,1,195,,195,,2,2,True
1520,1,163,,163,,121,121,True
1522,1,160,,160,,168,168,True
1595,12,210,,210,,2,2,True
1597,12,174,,174,,289,289,True
1599,11,211,,211,,2,2,True
1601,11,176,,176,,67,67,True
1603,11,173,,173,,222,222,True
1614,10,212,,212,,2,2,True
1616,10,177,,177,,289,289,True
1618,9,213,,213,,2,2,True
1620,9,179,,179,,135,135,True
1622,9,175,,175,,154,154,True
1638,8,214,,214,,2,2,True
1640,8,180,,180,,289,289,True
1642,7,215,,215,,2,2,True
1644,7,182,,182,,203,203,True
1646,7,178,,178,,86,86,True
1675,6,216,,216,,2,2,True
1677,6,183,,183,,289,289,True
1679,5,217,,217,,2,2,True
1681,5,185,,185,,271,271,True
1705,5,181,,181,,18,18,True
1707,4,218,,218,,2,2,True
1709,4,186,,186,,49,49,True
1711,4,184,,184,,240,240,True
1713,3,219,,219,,1,1,True
1715,3,197,,197,,291,291,True
1749,2,220,,220,,2,2,True
1751,2,199,,199,,71,71,True
1753,2,196,,196,,220,220,True
1755,1,221,,221,,1,1,True
1757,1,208,,208,,277,277,True
1827,7,204,,204,,14,14,True
1829,6,243,,243,,2,2,True
1831,6,200,,200,,289,289,True
1833,5,244,,244,,2,2,True
1835,5,202,,202,,139,139,True
1837,5,198,,198,,150,150,True
1848,4,245,,245,,2,2,True
1850,4,203,,203,,289,289,True
1852,3,246,,246,,2,2,True
1854,3,205,,205,,207,207,True
1856,3,201,,201,,82,82,True
1872,2,247,,247,,2,2,True
1874,2,206,,206,,289,289,True
1876,1,248,,248,,2,2,True
1878,1,209,,209,,55,55,True
1880,1,207,,207,,234,234,True
1943,6,258,,258,,2,2,True
1945,6,223,,223,,33,33,True
1947,5,259,,259,,1,1,True
1949,5,226,,226,,291,291,True
1951,4,260,,260,,1,1,True
1953,4,230,,230,,33,33,True
1955,3,261,,261,,2,2,True
1957,3,233,,233,,33,33,True
1959,3,228,,228,,258,258,True
1970,2,262,,262,,1,1,True
1972,2,240,,240,,291,291,True
1974,1,263,,263,,1,1,True
1976,1,241,,241,,33,33,True
1978,1,235,,235,,258,258,True
2049,9,271,,271,,2,2,True
2051,9,225,,225,,69,69,True
2053,9,222,,222,,220,220,True
2055,8,272,,272,,2,2,True
2057,8,229,,229,,139,139,True
2059,8,224,,224,,150,150,True
2070,7,273,,273,,2,2,True
2072,7,232,,232,,209,209,True
2074,7,227,,227,,80,80,True
2076,6,274,,274,,2,2,True
2078,6,236,,236,,21,21,True
2080,6,231,,231,,268,268,True
2096,5,275,,275,,2,2,True
2098,5,237,,237,,289,289,True
2100,4,276,,276,,2,2,True
2102,4,239,,239,,89,89,True
2104,4,234,,234,,200,200,True
2128,3,277,,277,,2,2,True
2130,3,242,,242,,193,193,True
2132,3,238,,238,,96,96,True
2134,2,278,,278,,1,1,True
2136,2,250,,250,,291,291,True
2158,1,279,,279,,1,1,True
2160,1,255,,255,,139,139,True
2162,1,251,,251,,152,152,True
2214,4,294,,294,,2,2,True
2216,4,252,,252,,69,69,True
2218,4,249,,249,,220,220,True
2220,3,295,,295,,2,2,True
2222,3,253,,253,,289,289,True
2233,2,296,,296,,2,2,True
2235,2,256,,256,,289,289,True
2237,1,297,,297,,2,2,True
2239,1,257,,257,,207,207,True
2241,1,254,,254,,82,82,True
2278,1,304,,304,,2,2,True
2280,1,270,,270,,291,291,True
2305,4,306,,306,,2,2,True
2307,4,265,,265,,289,289,True
2309,3,307,,307,,2,2,True
2311,3,267,,267,,67,67,True
2313,3,264,,264,,222,222,True
2324,2,308,,308,,2,2,True
2326,2,268,,268,,289,289,True
2328,1,309,,309,,2,2,True
2330,1,269,,269,,135,135,True
2379,11,266,,266,,154,154,True
2381,10,314,,314,,2,2,True
2383,10,281,,281,,289,289,True
2385,9,315,,315,,2,2,True
2387,9,283,,283,,67,67,True
2398,9,280,,280,,222,222,True
2400,8,316,,316,,2,2,True
2402,8,284,,284,,289,289,True
2404,7,317,,317,,2,2,True
2420,7,286,,286,,135,135,True
2422,7,282,,282,,154,154,True
2424,6,318,,318,,2,2,True
2426,6,287,,287,,289,289,True
2450,5,319,,319,,2,2,True
2452,5,289,,289,,203,203,True
2454,5,285,,285,,86,86,True
2456,4,320,,320,,2,2,True
2458,4,290,,290,,289,289,True
2480,3,321,,321,,2,2,True
2482,3,292,,292,,271,271,True
2484,3,288,,288,,18,18,True
2486,2,322,,322,,2,2,True
2488,2,293,,293,,49,49,True
2490,2,291,,291,,240,240,True
2514,1,323,,323,,2,2,True
2516,1,299,,299,,291,291,True
2566,3,341,,341,,2,2,True
2568,3,301,,301,,69,69,True
2570,3,298,,298,,220,220,True
2572,2,342,,342,,2,2,True
2574,2,302,,302,,289,289,True
2585,1,343,,343,,2,2,True
2587,1,303,,303,,137,137,True
2589,1,300,,300,,152,152,True
2611,1,348,,348,,2,2,True
2613,1,305,,305,,289,289,True
2640,5,350,,350,,2,2,True
2642,5,311,,311,,289,289,True
2644,4,351,,351,,2,2,True
2646,4,312,,312,,67,67,True
2648,4,310,,310,,222,222,True
2659,3,352,,352,,2,2,True
2661,3,313,,313,,289,289,True
2663,2,353,,353,,1,1,True
2665,2,325,,325,,291,291,True
2681,1,354,,354,,1,1,True
2683,1,336,,336,,275,275,True
2685,1,332,,332,,16,16,True
2740,9,362,,362,,2,2,True
2742,9,327,,327,,69,69,True
2744,9,324,,324,,220,220,True
2746,8,363,,363,,2,2,True
2748,8,328,,328,,289,289,True
2759,7,364,,364,,2,2,True
2761,7,330,,330,,137,137,True
2763,7,326,,326,,152,152,True
2765,6,365,,365,,2,2,True
2767,6,331,,331,,289,289,True
2783,5,366,,366,,2,2,True
2785,5,333,,333,,205,205,True
2787,5,329,,329,,84,84,True
2789,4,367,,367,,2,2,True
2791,4,334,,334,,289,289,True
2815,3,368,,368,,2,2,True
2817,3,338,,338,,53,53,True
2819,3,335,,335,,236,236,True
2821,2,369,,369,,2,2,True
2823,2,339,,339,,289,289,True
2845,1,370,,370,,2,2,True
2847,1,340,,340,,121,121,True
2849,1,337,,337,,168,168,True
2898,3,385,,385,,2,2,True
2900,3,345,,345,,289,289,True
2902,2,386,,386,,2,2,True
2904,2,346,,346,,67,67,True
2906,2,344,,344,,222,222,True
2920,1,387,,387,,2,2,True
2922,1,347,,347,,289,289,True
2941,2,391,,391,,2,2,True
2943,2,349,,349,,289,289,True
2945,1,392,,392,,1,1,True
2947,1,358,,358,,69,69,True
2949,1,355,,355,,222,222,True
2995,8,396,,396,,2,2,True
2997,8,356,,356,,289,289,True
2999,7,397,,397,,2,2,True
3001,7,359,,359,,289,289,True
3019,6,398,,398,,2,2,True
3021,6,360,,360,,137,137,True
3023,6,357,,357,,152,152,True
3025,5,399,,399,,2,2,True
3027,5,361,,361,,289,289,True
3043,4,400,,400,,1,1,True
3045,4,401,,401,,2,2,True
3047,4,377,,377,,139,139,True
3049,4,373,,373,,152,152,True
3051,3,402,,402,,1,1,True
3053,3,380,,380,,209,209,True
3055,3,376,,376,,82,82,True
3085,2,403,,403,,1,1,True
3087,2,384,,384,,57,57,True
3089,2,382,,382,,234,234,True
3091,1,375,,375,,33,33,True
3152,5,418,,418,,2,2,True
3154,5,372,,372,,289,289,True
3156,4,419,,419,,2,2,True
3158,4,374,,374,,67,67,True
3160,4,371,,371,,222,222,True
3171,3,420,,420,,2,2,True
3173,3,378,,378,,289,289,True
3175,2,421,,421,,2,2,True
3177,2,381,,381,,289,289,True
3193,1,422,,422,,2,2,True
3195,1,383,,383,,277,277,True
3197,1,379,,379,,12,12,True
3234,2,430,,430,,2,2,True
3236,2,389,,389,,289,289,True
3238,1,431,,431,,2,2,True
3240,1,390,,390,,67,67,True
3242,1,388,,388,,222,222,True
3278,4,435,,435,,2,2,True
3280,4,394,,394,,289,289,True
3282,3,436,,436,,2,2,True
3284,3,395,,395,,67,67,True
3286,3,393,,393,,222,222,True
3297,2,437,,437,,1,1,True
3299,2,406,,406,,291,291,True
3301,1,438,,438,,1,1,True
3303,1,409,,409,,33,33,True
3305,1,405,,405,,258,258,True
3362,7,445,,445,,2,2,True
3364,7,408,,408,,69,69,True
3366,7,404,,404,,220,220,True
3368,6,446,,446,,2,2,True
3370,6,410,,410,,289,289,True
3381,5,447,,447,,2,2,True
3383,5,412,,412,,171,171,True
3385,5,407,,407,,118,118,True
3387,4,448,,448,,2,2,True
3389,4,413,,413,,289,289,True
3405,3,449,,449,,2,2,True
3407,3,415,,415,,239,239,True
3409,3,411,,411,,50,50,True
3411,2,450,,450,,2,2,True
3413,2,416,,416,,17,17,True
3415,2,414,,414,,272,272,True
3439,1,451,,451,,2,2,True
3441,1,417,,417,,289,289,True
3485,5,462,,462,,2,2,True
3487,5,424,,424,,289,289,True
3489,4,463,,463,,2,2,True
3491,4,426,,426,,67,67,True
3493,4,423,,423,,222,222,True
3504,3,464,,464,,2,2,True
3506,3,427,,427,,289,289,True
3508,2,465,,465,,2,2,True
3510,2,428,,428,,135,135,True
3512,2,425,,425,,154,154,True
3528,1,466,,466,,2,2,True
3530,1,429,,429,,289,289,True
3567,2,474,,474,,2,2,True
3569,2,433,,433,,289,289,True
3571,1,475,,475,,2,2,True
3573,1,434,,434,,67,67,True
3575,1,432,,432,,222,222,True
3611,4,479,,479,,2,2,True
3613,4,440,,440,,289,289,True
3615,3,480,,480,,2,2,True
3617,3,442,,442,,67,67,True
3619,3,439,,439,,222,222,True
3630,2,481,,481,,2,2,True
3632,2,443,,443,,289,289,True
3634,1,482,,482,,2,2,True
3636,1,444,,444,,135,135,True
3638,1,441,,441,,154,154,True
3694,7,489,,489,,2,2,True
3696,7,453,,453,,289,289,True
3698,6,490,,490,,2,2,True
3700,6,455,,455,,67,67,True
3702,6,452,,452,,222,222,True
3713,5,491,,491,,2,2,True
3715,5,456,,456,,289,289,True
3717,4,492,,492,,2,2,True
3719,4,458,,458,,135,135,True
3721,4,454,,454,,154,154,True
3737,3,493,,493,,2,2,True
3739,3,459,,459,,289,289,True
3741,2,494,,494,,2,2,True
3743,2,460,,460,,203,203,True
3745,2,457,,457,,86,86,True
3769,1,495,,495,,2,2,True
3771,1,461,,461,,289,289,True
3815,5,506,,506,,2,2,True
3817,5,468,,468,,289,289,True
3819,4,507,,507,,2,2,True
3821,4,470,,470,,67,67,True
3823,4,467,,467,,222,222,True
3834,3,508,,508,,2,2,True
3836,3,471,,471,,289,289,True
3838,2,509,,509,,2,2,True
3840,2,472,,472,,135,135,True
3842,2,469,,469,,154,154,True
3858,1,510,,510,,2,2,True
3860,1,473,,473,,289,289,True
3897,2,518,,518,,2,2,True
3899,2,477,,477,,289,289,True
3901,1,519,,519,,2,2,True
3903,1,478,,478,,67,67,True
3905,1,476,,476,,222,222,True
3939,5,523,,523,,2,2,True
3941,5,484,,484,,289,289,True
3947,4,524,,524,,2,2,True
3949,4,486,,486,,67,67,True
3951,4,483,,483,,222,222,True
3953,3,525,,525,,2,2,True
3955,3,487,,487,,289,289,True
3979,2,526,,526,,2,2,True
3981,2,488,,488,,135,135,True
3983,2,485,,485,,154,154,True
3985,1,527,,527,,2,2,True
3987,1,497,,497,,33,33,True
4045,7,535,,535,,2,2,True
4047,7,499,,499,,69,69,True
4049,7,496,,496,,220,220,True
4051,6,536,,536,,2,2,True
4053,6,500,,500,,289,289,True
4064,5,537,,537,,2,2,True
4066,5,502,,502,,137,137,True
4068,5,498,,498,,152,152,True
4070,4,538,,538,,2,2,True
4072,4,503,,503,,289,289,True
4088,3,539,,539,,2,2,True
4090,3,504,,504,,205,205,True
4092,3,501,,501,,84,84,True
4094,2,540,,540,,2,2,True
4096,2,505,,505,,289,289,True
4120,1,541,,541,,1,1,True
4122,1,514,,514,,69,69,True
4124,1,511,,511,,222,222,True
4167,5,552,,552,,2,2,True
4169,5,512,,512,,289,289,True
4171,4,553,,553,,2,2,True
4173,4,515,,515,,289,289,True
4184,3,554,,554,,2,2,True
4186,3,516,,516,,137,137,True
4188,3,513,,513,,152,152,True
4190,2,555,,555,,2,2,True
4192,2,517,,517,,289,289,True
4208,1,556,,556,,1,1,True
4210,1,521,,521,,291,291,True
4245,1,564,,564,,2,2,True
4247,1,522,,522,,69,69,True
4249,1,520,,520,,220,220,True
4266,2,566,,566,,2,2,True
4268,2,533,,533,,33,33,True
4270,1,567,,567,,2,2,True
4272,1,534,,534,,33,33,True
4274,1,529,,529,,258,258,True
4307,3,571,,571,,2,2,True
4309,3,530,,530,,289,289,True
4311,2,572,,572,,2,2,True
4313,2,531,,531,,67,67,True
4315,2,528,,528,,222,222,True
4326,1,573,,573,,2,2,True
4328,1,532,,532,,289,289,True
4369,7,578,,578,,2,2,True
4371,7,543,,543,,289,289,True
4373,6,579,,579,,2,2,True
4375,6,545,,545,,67,67,True
4377,6,542,,542,,222,222,True
4388,5,580,,580,,2,2,True
4390,5,546,,546,,289,289,True
4392,4,581,,581,,2,2,True
4394,4,548,,548,,135,135,True
4396,4,544,,544,,154,154,True
4412,3,582,,582,,2,2,True
4414,3,549,,549,,289,289,True
4416,2,583,,583,,2,2,True
4418,2,550,,550,,203,203,True
4420,2,547,,547,,86,86,True
4444,1,584,,584,,2,2,True
4446,1,551,,551,,289,289,True
4490,5,595,,595,,2,2,True
4492,5,558,,558,,289,289,True
4494,4,596,,596,,2,2,True
4496,4,560,,560,,67,67,True
4498,4,557,,557,,222,222,True
4509,3,597,,597,,2,2,True
4511,3,561,,561,,289,289,True
4513,2,598,,598,,2,2,True
4515,2,562,,562,,135,135,True
4517,2,559,,559,,154,154,True
4533,1,599,,599,,2,2,True
4535,1,563,,563,,289,289,True
4565,1,607,,607,,2,2,True
4567,1,565,,565,,289,289,True
4583,2,609,,609,,2,2,True
4585,2,569,,569,,289,289,True
4591,1,610,,610,,2,2,True
4593,1,570,,570,,67,67,True
4595,1,568,,568,,222,222,True
4633,5,614,,614,,2,2,True
4635,5,575,,575,,289,289,True
4637,4,615,,615,,2,2,True
4639,4,576,,576,,67,67,True
4641,4,574,,574,,222,222,True
4652,3,616,,616,,2,2,True
4654,3,577,,577,,289,289,True
4656,2,617,,617,,1,1,True
4658,2,592,,592,,291,291,True
4674,1,618,,618,,1,1,True
4676,1,593,,593,,207,207,True
4678,1,590,,590,,84,84,True
4724,6,626,,626,,2,2,True
4726,6,586,,586,,289,289,True
4728,5,627,,627,,2,2,True
4730,5,588,,588,,67,67,True
4732,5,585,,585,,222,222,True
4743,4,628,,628,,2,2,True
4745,4,589,,589,,289,289,True
4747,3,629,,629,,2,2,True
4749,3,591,,591,,135,135,True
4751,3,587,,587,,154,154,True
4767,2,630,,630,,2,2,True
4769,2,594,,594,,289,289,True
4771,1,631,,631,,1,1,True
4773,1,604,,604,,291,291,True
4830,4,641,,641,,2,2,True
4832,4,601,,601,,289,289,True
4834,3,642,,642,,2,2,True
4836,3,603,,603,,67,67,True
4838,3,600,,600,,222,222,True
4849,2,643,,643,,2,2,True
4851,2,605,,605,,137,137,True
4853,2,602,,602,,152,152,True
4855,1,644,,644,,2,2,True
4857,1,606,,606,,289,289,True
4894,1,651,,651,,2,2,True
4896,1,608,,608,,289,289,True
4912,2,653,,653,,2,2,True
4914,2,612,,612,,289,289,True
4920,1,654,,654,,2,2,True
4922,1,613,,613,,67,67,True
4924,1,611,,611,,222,222,True
4962,5,658,,658,,2,2,True
4964,5,620,,620,,289,289,True
4966,4,659,,659,,2,2,True
4968,4,622,,622,,67,67,True
4970,4,619,,619,,222,222,True
4981,3,660,,660,,2,2,True
4983,3,623,,623,,289,289,True
4985,2,661,,661,,2,2,True
4987,2,624,,624,,135,135,True
4989,2,621,,621,,154,154,True
5005,1,662,,662,,2,2,True
5007,1,625,,625,,289,289,True
5059,8,670,,670,,2,2,True
5061,8,633,,633,,289,289,True
5063,7,671,,671,,2,2,True
5065,7,635,,635,,67,67,True
5067,7,632,,632,,222,222,True
5089,6,672,,672,,2,2,True
5091,6,636,,636,,289,289,True
5093,5,673,,673,,2,2,True
5095,5,638,,638,,135,135,True
5097,5,634,,634,,154,154,True
5120,4,674,,674,,2,2,True
5122,4,639,,639,,289,289,True
5124,3,675,,675,,2,2,True
5126,3,640,,640,,203,203,True
5128,3,637,,637,,86,86,True
5161,2,676,,676,,1,1,True
5163,2,677,,677,,1,1,True
5165,2,650,,650,,33,33,True
5167,1,649,,649,,33,33,True
5207,2,691,,691,,2,2,True
5209,2,646,,646,,289,289,True
5211,1,692,,692,,2,2,True
5213,1,648,,648,,67,67,True
5215,1,645,,645,,222,222,True
5239,1,696,,696,,2,2,True
5241,1,652,,652,,289,289,True
5260,3,698,,698,,2,2,True
5262,3,656,,656,,289,289,True
5268,2,699,,699,,2,2,True
5270,2,657,,657,,67,67,True
5272,2,655,,655,,222,222,True
5274,1,700,,700,,1,1,True
5276,1,668,,668,,137,137,True
