frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
247,7,3,,3,,1,1,True
249,7,2,,2,,291,291,True
251,6,30,,30,,1,1,True
253,6,5,,5,,291,291,True
307,12,31,,31,,1,1,True
309,12,9,,9,,71,71,True
311,12,6,,6,,220,220,True
313,11,32,,32,,1,1,True
315,11,33,,33,,1,1,True
317,11,34,,34,,2,2,True
319,11,35,,35,,1,1,True
321,11,21,,21,,292,292,True
359,10,16,,16,,33,33,True
361,9,24,,24,,33,33,True
363,8,38,,38,,1,1,True
365,8,7,,7,,292,292,True
367,7,39,,39,,1,1,True
369,7,10,,10,,292,292,True
464,6,40,,40,,1,1,True
466,6,15,,15,,217,217,True
468,6,11,,11,,75,75,True
470,5,41,,41,,1,1,True
472,5,18,,18,,289,289,True
522,5,14,,14,,3,3,True
524,4,42,,42,,1,1,True
526,4,20,,20,,69,69,True
528,4,17,,17,,223,223,True
530,3,43,,43,,1,1,True
532,3,28,,28,,34,34,True
534,2,44,,44,,1,1,True
536,2,13,,13,,33,33,True
538,1,29,,29,,34,34,True
605,4,74,,74,,1,1,True
607,4,4,,4,,34,34,True
609,3,75,,75,,1,1,True
611,3,12,,12,,34,34,True
613,2,76,,76,,1,1,True
615,2,23,,23,,34,34,True
617,2,27,,27,,107,107,True
619,2,19,,19,,151,151,True
621,1,77,,77,,1,1,True
623,1,26,,26,,214,214,True
655,1,22,,22,,78,78,True
710,5,85,,85,,2,2,True
712,5,51,,51,,33,33,True
726,5,86,,86,,1,1,True
728,5,55,,55,,33,33,True
730,4,87,,87,,1,1,True
732,4,60,,60,,291,291,True
734,3,88,,88,,1,1,True
736,3,63,,63,,291,291,True
774,11,89,,89,,1,1,True
776,11,73,,73,,33,33,True
778,11,67,,67,,258,258,True
780,10,90,,90,,1,1,True
782,10,49,,49,,292,292,True
806,9,91,,91,,1,1,True
808,9,50,,50,,34,34,True
810,8,92,,92,,2,2,True
812,8,54,,54,,33,33,True
814,8,46,,46,,258,258,True
816,7,93,,93,,1,1,True
818,7,56,,56,,34,34,True
820,6,94,,94,,1,1,True
822,6,62,,62,,96,96,True
824,6,57,,57,,196,196,True
846,5,95,,95,,1,1,True
848,5,64,,64,,34,34,True
850,5,47,,47,,258,258,True
852,4,96,,96,,1,1,True
854,4,68,,68,,237,237,True
926,4,61,,61,,55,55,True
928,3,97,,97,,2,2,True
930,3,69,,69,,33,33,True
932,3,37,,37,,258,258,True
934,2,98,,98,,1,1,True
936,2,71,,71,,86,86,True
938,2,66,,66,,206,206,True
973,1,99,,99,,1,1,True
975,1,72,,72,,34,34,True
1046,4,125,,125,,1,1,True
1048,4,53,,53,,34,34,True
1050,3,126,,126,,1,1,True
1052,3,59,,59,,23,23,True
1054,3,52,,52,,11,11,True
1056,2,127,,127,,1,1,True
1058,2,65,,65,,34,34,True
1060,2,58,,58,,103,103,True
1062,2,25,,25,,155,155,True
1064,1,128,,128,,1,1,True
1066,1,70,,70,,34,34,True
1068,1,36,,36,,258,258,True
1108,3,129,,129,,1,1,True
1110,3,80,,80,,292,292,True
1112,2,130,,130,,1,1,True
1114,2,81,,81,,72,72,True
1116,2,78,,78,,220,220,True
1139,1,131,,131,,1,1,True
1141,1,83,,83,,34,34,True
1214,2,142,,142,,1,1,True
1216,2,82,,82,,34,34,True
1218,1,143,,143,,1,1,True
1220,1,84,,84,,34,34,True
1222,1,48,,48,,110,110,True
1258,3,8,,8,,148,148,True
1260,2,146,,146,,2,2,True
1262,2,120,,120,,140,140,True
1264,2,113,,113,,151,151,True
1266,1,147,,147,,2,2,True
1268,1,123,,123,,291,291,True
1322,9,148,,148,,1,1,True
1324,9,101,,101,,34,34,True
1326,8,149,,149,,1,1,True
1328,8,104,,104,,107,107,True
1330,8,100,,100,,185,185,True
1332,7,150,,150,,1,1,True
1334,7,108,,108,,34,34,True
1336,6,151,,151,,1,1,True
1338,6,109,,109,,292,292,True
1365,5,152,,152,,1,1,True
1367,5,112,,112,,34,34,True
1369,4,153,,153,,2,2,True
1371,4,116,,116,,291,291,True
1373,3,154,,154,,1,1,True
1375,3,121,,121,,34,34,True
1377,2,155,,155,,1,1,True
1379,2,122,,122,,34,34,True
1381,1,156,,156,,1,1,True
1383,1,124,,124,,281,281,True
1491,5,118,,118,,11,11,True
1493,4,173,,173,,1,1,True
1495,4,102,,102,,34,34,True
1506,3,174,,174,,1,1,True
1508,3,105,,105,,34,34,True
1510,3,114,,114,,258,258,True
1512,2,175,,175,,1,1,True
1533,3,115,,115,,33,33,True
1535,3,110,,110,,1,1,True
1537,2,176,,176,,1,1,True
1539,2,117,,117,,34,34,True
1541,1,178,,178,,2,2,True
1543,1,141,,141,,33,33,True
1545,1,180,,180,,214,214,True
1574,5,181,,181,,1,1,True
1576,5,134,,134,,34,34,True
1578,5,119,,119,,258,258,True
1580,4,182,,182,,1,1,True
1582,4,135,,135,,292,292,True
1637,4,183,,183,,1,1,True
1639,4,137,,137,,106,106,True
1641,4,132,,132,,186,186,True
1643,3,184,,184,,1,1,True
1645,3,138,,138,,34,34,True
1647,3,107,,107,,146,146,True
1649,3,103,,103,,112,112,True
1746,4,185,,185,,2,2,True
1748,4,187,,187,,1,1,True
1750,4,139,,139,,34,34,True
1752,3,140,,140,,33,33,True
1754,2,205,,205,,1,1,True
1756,2,144,,144,,34,34,True
1758,1,206,,206,,1,1,True
1760,1,145,,145,,34,34,True
1762,1,111,,111,,106,106,True
1764,1,45,,45,,152,152,True
1797,3,211,,211,,1,1,True
1799,3,158,,158,,34,34,True
1842,6,212,,212,,2,2,True
1844,6,159,,159,,33,33,True
1846,6,79,,79,,258,258,True
1848,5,213,,213,,1,1,True
1850,5,177,,177,,33,33,True
1852,4,214,,214,,1,1,True
1854,4,163,,163,,34,34,True
1856,3,215,,215,,1,1,True
1858,3,166,,166,,28,28,True
1860,3,160,,160,,6,6,True
1862,2,216,,216,,1,1,True
1928,6,167,,167,,34,34,True
1930,5,217,,217,,1,1,True
1932,5,172,,172,,34,34,True
1934,4,218,,218,,1,1,True
1936,4,162,,162,,34,34,True
1938,3,219,,219,,1,1,True
1940,3,164,,164,,34,34,True
1942,3,133,,133,,219,219,True
1944,3,106,,106,,39,39,True
1946,2,220,,220,,1,1,True
1948,2,169,,169,,101,101,True
1950,2,165,,165,,191,191,True
1989,3,221,,221,,1,1,True
1991,3,170,,170,,34,34,True
1993,3,171,,171,,141,141,True
1995,3,168,,168,,117,117,True
1997,2,227,,227,,1,1,True
1999,2,199,,199,,33,33,True
2001,2,189,,189,,258,258,True
2039,1,228,,228,,1,1,True
2041,1,204,,204,,13,13,True
2043,1,196,,196,,20,20,True
2045,1,194,,194,,258,258,True
2137,9,242,,242,,1,1,True
2139,9,179,,179,,34,34,True
2141,8,243,,243,,1,1,True
2143,8,186,,186,,34,34,True
2145,7,244,,244,,2,2,True
2147,7,195,,195,,33,33,True
2149,6,245,,245,,1,1,True
2151,6,200,,200,,34,34,True
2153,6,190,,190,,258,258,True
2155,5,246,,246,,2,2,True
2157,5,201,,201,,33,33,True
2159,4,247,,247,,1,1,True
2161,4,197,,197,,28,28,True
2163,4,188,,188,,6,6,True
2165,3,248,,248,,1,1,True
2167,3,198,,198,,292,292,True
2219,4,249,,249,,1,1,True
2221,4,202,,202,,34,34,True
2223,3,250,,250,,1,1,True
2225,3,203,,203,,34,34,True
2227,2,255,,255,,1,1,True
2229,2,209,,209,,292,292,True
2231,1,256,,256,,1,1,True
2233,1,210,,210,,73,73,True
2235,1,207,,207,,219,219,True
2336,2,266,,266,,2,2,True
2338,2,223,,223,,291,291,True
2350,3,267,,267,,2,2,True
2352,3,225,,225,,33,33,True
2354,3,161,,161,,72,72,True
2356,3,157,,157,,186,186,True
2358,2,268,,268,,1,1,True
2360,2,222,,222,,34,34,True
2362,1,269,,269,,1,1,True
2364,1,224,,224,,34,34,True
2424,7,270,,270,,2,2,True
2426,7,231,,231,,291,291,True
2428,6,271,,271,,1,1,True
2430,6,232,,232,,34,34,True
2432,5,272,,272,,1,1,True
2434,5,233,,233,,34,34,True
2436,5,192,,192,,258,258,True
2455,4,273,,273,,1,1,True
2457,4,235,,235,,34,34,True
2459,3,274,,274,,1,1,True
2461,3,236,,236,,34,34,True
2463,3,226,,226,,258,258,True
2465,2,275,,275,,1,1,True
2467,2,237,,237,,34,34,True
2469,1,276,,276,,1,1,True
2471,1,240,,240,,292,292,True
2631,3,294,,294,,1,1,True
2633,3,238,,238,,34,34,True
2635,2,295,,295,,1,1,True
2637,2,239,,239,,24,24,True
2639,2,296,,296,,1,1,True
2641,2,241,,241,,34,34,True
2643,1,234,,234,,10,10,True
2645,1,300,,300,,258,258,True
2696,3,301,,301,,1,1,True
2698,3,252,,252,,34,34,True
2700,2,302,,302,,1,1,True
2702,2,253,,253,,72,72,True
2704,2,251,,251,,220,220,True
2706,1,303,,303,,1,1,True
2708,1,254,,254,,292,292,True
2749,3,313,,313,,1,1,True
2751,3,259,,259,,33,33,True
2753,2,314,,314,,2,2,True
2755,2,265,,265,,33,33,True
2757,1,315,,315,,2,2,True
2759,1,260,,260,,33,33,True
2795,4,316,,316,,1,1,True
2797,4,261,,261,,34,34,True
2799,4,208,,208,,258,258,True
2801,3,317,,317,,1,1,True
2803,3,262,,262,,34,34,True
2805,2,318,,318,,1,1,True
2807,2,263,,263,,34,34,True
2809,2,191,,191,,258,258,True
2841,1,319,,319,,1,1,True
2843,1,264,,264,,34,34,True
2845,1,230,,230,,214,214,True
2847,1,136,,136,,44,44,True
2974,7,334,,334,,2,2,True
2976,7,291,,291,,33,33,True
2978,6,335,,335,,1,1,True
2980,6,284,,284,,34,34,True
2982,6,278,,278,,258,258,True
2984,5,336,,336,,1,1,True
2986,5,285,,285,,292,292,True
3028,8,337,,337,,1,1,True
3030,8,286,,286,,34,34,True
3032,7,338,,338,,1,1,True
3034,7,287,,287,,34,34,True
3036,7,279,,279,,106,106,True
3038,7,257,,257,,152,152,True
3040,6,339,,339,,1,1,True
3042,6,292,,292,,34,34,True
3044,5,340,,340,,1,1,True
3046,5,293,,293,,34,34,True
3048,5,193,,193,,258,258,True
3084,4,341,,341,,1,1,True
3086,4,280,,280,,34,34,True
3088,3,342,,342,,1,1,True
3090,3,283,,283,,34,34,True
3092,2,343,,343,,1,1,True
3094,2,289,,289,,31,31,True
3096,2,281,,281,,3,3,True
3098,1,344,,344,,1,1,True
3100,1,290,,290,,34,34,True
3224,6,358,,358,,1,1,True
3226,6,304,,304,,292,292,True
3228,5,359,,359,,1,1,True
3230,5,306,,306,,34,34,True
3232,4,360,,360,,2,2,True
3234,4,307,,307,,33,33,True
3236,3,361,,361,,1,1,True
3238,3,308,,308,,34,34,True
3240,2,362,,362,,1,1,True
3242,2,305,,305,,34,34,True
3244,2,297,,297,,258,258,True
3266,2,363,,363,,1,1,True
3268,2,310,,310,,34,34,True
3270,1,364,,364,,1,1,True
3272,1,312,,312,,34,34,True
3274,1,311,,311,,38,38,True
3276,1,309,,309,,220,220,True
3388,2,376,,376,,1,1,True
3390,2,330,,330,,33,33,True
3392,1,377,,377,,2,2,True
3394,1,332,,332,,27,27,True
3396,1,328,,328,,264,264,True
3447,5,379,,379,,1,1,True
3449,5,325,,325,,34,34,True
3451,4,380,,380,,1,1,True
3453,4,326,,326,,34,34,True
