frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
226,1,3,,3,,1,1,True
228,1,2,,2,,72,72,True
312,6,34,,36,,1,1,False
314,6,35,,36,,1,1,False
316,6,36,,36,,1,1,True
318,6,37,,37,,1,1,True
320,6,23,,38,,8,1,False
322,5,38,,38,,1,1,True
324,5,15,,20,,8,73,False
326,4,20,,20,,73,73,True
328,3,13,,5,,8,8,False
330,2,5,,5,,8,8,True
332,1,9,,9,,8,8,True
401,7,7,,10,,73,73,False
403,6,10,,10,,73,73,True
451,9,14,,14,,55,55,True
453,9,17,,22,,73,9,False
455,8,19,,22,,18,9,False
474,8,27,,22,,9,9,False
476,7,4,,22,,9,9,False
478,6,12,,22,,9,9,False
480,5,22,,22,,9,9,True
482,5,25,,25,,55,55,True
484,5,28,,16,,9,55,False
486,4,11,,16,,18,55,False
488,3,16,,16,,55,55,True
545,2,26,,21,,27,18,False
547,2,18,,21,,37,18,False
549,1,21,,21,,18,18,True
625,1,68,,68,,1,1,True
627,1,33,,33,,8,8,True
652,1,31,,31,,73,73,True
684,1,32,,32,,9,9,True
698,2,72,,73,,1,1,False
700,2,46,,73,,8,1,False
702,1,73,,73,,1,1,True
704,1,49,,49,,8,8,True
706,1,43,,43,,9,9,True
728,3,74,,6,,1,55,False
730,3,54,,6,,17,55,False
732,3,75,,6,,1,55,False
734,3,63,,6,,8,55,False
736,3,6,,6,,55,55,True
738,2,40,,50,,64,55,False
761,3,76,,50,,1,55,False
763,3,45,,50,,8,55,False
765,3,47,,50,,9,55,False
767,2,39,,50,,64,55,False
769,1,50,,50,,55,55,True
855,13,44,,62,,73,9,False
857,12,48,,62,,9,9,False
859,11,52,,62,,73,9,False
870,10,55,,62,,9,9,False
872,10,57,,62,,73,9,False
874,9,86,,62,,1,9,False
876,9,58,,62,,8,9,False
878,9,60,,62,,73,9,False
905,8,62,,62,,9,9,True
907,7,64,,30,,73,64,False
909,6,65,,30,,46,64,False
911,6,56,,30,,9,64,False
946,5,53,,61,,9,27,False
948,5,67,,61,,9,27,False
950,4,30,,61,,64,27,False
952,3,51,,61,,29,27,False
954,3,24,,61,,35,27,False
1040,2,61,,61,,27,27,True
1042,1,29,,29,,64,64,True
1114,3,69,,71,,9,9,False
1116,2,70,,71,,9,9,False
1118,2,71,,71,,9,9,True
1120,1,42,,42,,27,27,True
1122,1,8,,8,,37,37,True
1180,7,80,,113,,73,1,False
1182,6,83,,113,,9,1,False
1184,5,84,,113,,73,1,False
1212,5,85,,114,,9,1,False
1214,4,79,,114,,9,1,False
1216,3,82,,114,,9,1,False
1218,2,113,,114,,1,1,False
1220,2,95,,114,,37,1,False
1222,2,114,,114,,1,1,True
1224,2,101,,89,,64,35,False
1226,2,89,,89,,35,35,True
1342,12,125,,92,,1,9,False
1344,12,91,,92,,18,9,False
1346,12,97,,92,,9,9,False
1348,11,98,,92,,9,9,False
1350,11,102,,92,,9,9,False
1352,11,103,,92,,9,9,False
1354,10,105,,92,,28,9,False
1356,10,106,,92,,73,9,False
1373,9,107,,92,,9,9,False
1375,9,126,,92,,1,9,False
1377,9,109,,92,,65,9,False
1379,9,88,,92,,9,9,False
1381,9,92,,92,,9,9,True
1383,8,108,,41,,9,64,False
1385,7,99,,41,,45,64,False
