frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
1018,1,3,,3,,1,1,True
1020,1,2,,2,,17,17,True
1477,66,102,,125,,1,1,False
1479,66,4,,125,,17,1,False
1481,65,103,,125,,1,1,False
1483,65,7,,125,,17,1,False
1485,64,104,,125,,1,1,False
1487,64,9,,125,,17,1,False
1489,63,105,,125,,1,1,False
1491,63,11,,125,,17,1,False
1493,62,106,,125,,1,1,False
1495,62,12,,125,,17,1,False
1497,61,107,,125,,1,1,False
1499,61,13,,125,,17,1,False
1501,60,108,,125,,1,1,False
1503,60,20,,125,,17,1,False
1505,59,109,,125,,1,1,False
1507,59,21,,125,,17,1,False
1509,58,110,,125,,1,1,False
1511,58,26,,125,,1,1,False
1513,58,18,,125,,16,1,False
1515,57,111,,125,,1,1,False
1517,57,29,,125,,17,1,False
1519,56,112,,125,,1,1,False
1521,56,31,,125,,3,1,False
1523,56,23,,125,,14,1,False
1525,55,113,,125,,1,1,False
1527,55,34,,125,,17,1,False
1529,54,114,,125,,1,1,False
1531,54,35,,125,,17,1,False
1533,53,115,,125,,1,1,False
1535,53,36,,125,,17,1,False
1537,52,116,,125,,1,1,False
1539,52,38,,125,,17,1,False
1541,51,117,,125,,1,1,False
1543,51,41,,125,,17,1,False
1545,50,118,,125,,1,1,False
1547,50,47,,125,,17,1,False
1549,49,119,,125,,1,1,False
1551,49,49,,125,,17,1,False
1553,48,120,,125,,1,1,False
1555,48,61,,125,,17,1,False
1557,47,121,,125,,1,1,False
1559,47,62,,125,,17,1,False
1561,46,122,,125,,1,1,False
1563,46,63,,125,,17,1,False
1565,45,123,,125,,1,1,False
1567,45,64,,125,,17,1,False
1569,44,124,,125,,1,1,False
1571,44,66,,125,,17,1,False
1573,43,125,,125,,1,1,True
1575,43,69,,163,,17,1,False
1577,42,126,,163,,1,1,False
1579,42,71,,163,,17,1,False
1581,41,127,,163,,1,1,False
1583,41,73,,163,,17,1,False
1585,40,128,,163,,1,1,False
1587,40,74,,163,,17,1,False
1589,39,129,,163,,1,1,False
1591,39,75,,163,,17,1,False
1593,38,130,,163,,1,1,False
1595,38,76,,163,,17,1,False
1597,38,131,,163,,1,1,False
1599,38,77,,163,,17,1,False
1809,36,132,,163,,1,1,False
1811,36,82,,163,,17,1,False
1813,35,133,,163,,1,1,False
1815,35,83,,163,,17,1,False
1817,34,134,,163,,1,1,False
1819,34,84,,163,,15,1,False
1821,34,70,,163,,2,1,False
1823,33,135,,163,,1,1,False
1825,33,86,,163,,17,1,False
1827,32,136,,163,,1,1,False
1829,32,88,,163,,17,1,False
1831,31,137,,163,,1,1,False
1833,31,89,,163,,17,1,False
1835,30,138,,163,,1,1,False
1837,30,139,,163,,1,1,False
1839,30,91,,163,,17,1,False
1841,29,140,,163,,1,1,False
1843,29,92,,163,,17,1,False
1845,28,141,,163,,1,1,False
1847,28,93,,163,,17,1,False
1849,27,142,,163,,1,1,False
1851,27,94,,163,,17,1,False
1853,26,143,,163,,1,1,False
1855,26,14,,163,,17,1,False
1857,25,144,,163,,1,1,False
1859,25,16,,163,,17,1,False
1861,24,145,,163,,1,1,False
1863,24,17,,163,,17,1,False
1865,23,146,,163,,1,1,False
1867,23,22,,163,,17,1,False
1869,22,147,,163,,1,1,False
1871,22,27,,163,,17,1,False
1873,21,148,,163,,1,1,False
1875,21,28,,163,,17,1,False
1877,20,149,,163,,1,1,False
1879,20,32,,163,,17,1,False
1881,19,150,,163,,1,1,False
1883,19,33,,163,,17,1,False
1885,18,151,,163,,1,1,False
1887,18,39,,163,,17,1,False
1889,17,152,,163,,1,1,False
1891,17,40,,163,,17,1,False
1893,16,153,,163,,1,1,False
1895,16,50,,163,,17,1,False
1897,15,154,,163,,1,1,False
1899,15,51,,163,,17,1,False
1901,14,155,,163,,1,1,False
1903,14,52,,163,,17,1,False
1905,13,156,,163,,1,1,False
1907,13,157,,163,,1,1,False
1909,13,65,,163,,17,1,False
1911,12,158,,163,,1,1,False
1913,12,67,,163,,17,1,False
1915,11,159,,163,,1,1,False
1917,11,68,,163,,17,1,False
1919,10,160,,163,,1,1,False
1921,10,72,,163,,17,1,False
1923,9,161,,163,,1,1,False
1925,9,78,,163,,17,1,False
1927,8,162,,163,,1,1,False
1929,8,79,,163,,17,1,False
1931,7,163,,163,,1,1,True
1933,7,80,,164,,17,1,False
2251,6,164,,60,,1,17,False
2253,6,81,,60,,17,17,False
2255,5,165,,60,,1,17,False
2257,5,85,,60,,17,17,False
2259,4,166,,60,,1,17,False
2261,4,87,,60,,17,17,False
2263,3,167,,60,,1,17,False
2265,3,95,,60,,17,17,False
2267,2,90,,60,,17,17,False
2269,1,60,,60,,17,17,True
2641,1,239,,239,,17,17,True
2649,1,240,,240,,1,1,True
2651,1,99,,99,,17,17,True
2687,4,241,,242,,1,1,False
2689,4,97,,242,,17,1,False
2691,3,242,,242,,1,1,True
2693,3,98,,244,,17,1,False
2695,2,243,,244,,1,1,False
2697,2,100,,244,,17,1,False
2699,1,244,,244,,1,1,True
2701,1,101,,101,,17,17,True
3159,67,249,,287,,1,1,False
3161,67,171,,287,,17,1,False
3163,66,250,,287,,1,1,False
3165,66,172,,287,,17,1,False
3167,65,251,,287,,1,1,False
3169,65,176,,287,,17,1,False
3171,64,252,,287,,1,1,False
3173,64,178,,287,,17,1,False
3175,63,253,,287,,1,1,False
3177,63,181,,287,,17,1,False
3179,62,254,,287,,1,1,False
3181,62,182,,287,,17,1,False
3183,61,255,,287,,1,1,False
3185,61,186,,287,,17,1,False
3187,60,256,,287,,1,1,False
3189,60,187,,287,,17,1,False
3191,59,257,,287,,1,1,False
3193,59,191,,287,,17,1,False
3195,58,258,,287,,1,1,False
3197,58,192,,287,,17,1,False
3199,57,259,,287,,1,1,False
