frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
277,4,3,,3,,2,2,True
279,4,2,,38,,209,1,False
281,3,37,,38,,1,1,False
283,3,4,,38,,17,1,False
285,2,38,,38,,1,1,True
287,2,10,,39,,119,1,False
289,2,39,,39,,1,1,True
291,2,33,,33,,211,211,True
357,11,44,,44,,2,2,True
359,11,27,,49,,17,2,False
361,11,45,,49,,2,2,False
363,11,29,,49,,99,2,False
365,11,46,,49,,2,2,False
367,11,36,,49,,211,2,False
369,10,47,,49,,2,2,False
371,10,11,,49,,209,2,False
384,9,48,,49,,2,2,False
386,9,15,,49,,209,2,False
388,8,49,,49,,2,2,True
390,8,18,,50,,209,2,False
392,7,50,,50,,2,2,True
394,7,23,,24,,209,112,False
429,6,51,,24,,2,112,False
431,6,25,,24,,171,112,False
433,6,19,,24,,38,112,False
435,5,52,,24,,2,112,False
437,5,32,,24,,7,112,False
439,5,28,,24,,202,112,False
441,4,53,,24,,2,112,False
443,4,34,,24,,209,112,False
474,3,54,,24,,2,112,False
476,3,35,,24,,127,112,False
478,3,31,,24,,82,112,False
480,2,24,,24,,112,112,True
482,1,20,,20,,194,194,True
572,10,72,,81,,2,2,False
574,10,5,,81,,209,2,False
576,9,73,,81,,2,2,False
578,9,7,,81,,209,2,False
580,8,74,,81,,2,2,False
582,8,8,,81,,209,2,False
593,7,75,,81,,2,2,False
595,7,13,,81,,27,2,False
597,7,9,,81,,182,2,False
599,6,76,,81,,2,2,False
601,6,14,,81,,209,2,False
603,5,77,,81,,2,2,False
605,5,17,,81,,145,2,False
628,5,12,,81,,64,2,False
630,4,78,,81,,2,2,False
632,4,21,,81,,53,2,False
634,4,16,,81,,156,2,False
636,3,79,,81,,2,2,False
638,3,22,,81,,209,2,False
640,2,80,,81,,2,2,False
642,2,26,,81,,209,2,False
739,3,81,,81,,2,2,True
741,3,30,,99,,209,2,False
743,2,98,,99,,2,2,False
745,2,41,,99,,209,2,False
747,1,99,,99,,2,2,True
749,1,43,,43,,117,117,True
770,4,40,,100,,92,2,False
772,3,100,,100,,2,2,True
774,3,42,,102,,209,2,False
776,2,101,,102,,2,2,False
778,2,57,,102,,17,2,False
780,1,102,,102,,2,2,True
782,1,65,,65,,17,17,True
784,1,59,,59,,102,102,True
786,1,6,,6,,92,92,True
867,8,110,,115,,2,1,False
869,8,56,,115,,209,1,False
871,7,111,,115,,2,1,False
873,7,60,,115,,27,1,False
875,7,55,,115,,182,1,False
877,6,112,,115,,2,1,False
879,6,62,,115,,209,1,False
925,12,113,,115,,2,1,False
927,12,68,,115,,71,1,False
929,12,63,,115,,138,1,False
931,11,114,,115,,2,1,False
933,11,71,,115,,189,1,False
935,11,67,,115,,20,1,False
937,10,115,,115,,1,1,True
939,10,92,,121,,17,2,False
941,9,116,,121,,1,2,False
943,9,94,,121,,17,2,False
945,8,117,,121,,1,2,False
947,8,118,,121,,2,2,False
949,8,61,,121,,209,2,False
983,7,119,,121,,2,2,False
985,7,64,,121,,145,2,False
987,7,58,,121,,64,2,False
989,6,120,,121,,2,2,False
991,6,66,,121,,209,2,False
993,5,121,,121,,2,2,True
995,5,69,,122,,209,2,False
1075,4,122,,122,,2,2,True
1077,4,70,,124,,209,1,False
1079,3,123,,124,,1,1,False
1081,3,86,,124,,119,1,False
1083,3,124,,124,,1,1,True
1085,3,90,,95,,17,17,False
1146,8,95,,145,,17,2,False
1148,7,145,,145,,2,2,True
1150,7,83,,148,,209,2,False
1152,6,146,,148,,2,2,False
1154,6,84,,148,,209,2,False
1156,5,147,,148,,2,2,False
1158,5,87,,148,,209,2,False
1175,4,148,,148,,2,2,True
1177,4,89,,149,,27,2,False
1179,4,85,,149,,182,2,False
1181,3,149,,149,,2,2,True
1183,3,96,,150,,61,2,False
1185,3,93,,150,,148,2,False
1187,2,150,,150,,2,2,True
1189,2,97,,82,,209,92,False
1267,7,160,,161,,2,2,False
1269,7,104,,161,,209,2,False
1271,6,161,,161,,2,2,True
1273,6,105,,163,,209,2,False
1275,5,162,,163,,2,2,False
1277,5,107,,163,,117,2,False
1300,9,103,,166,,92,2,False
1302,8,163,,166,,2,2,False
1304,8,108,,166,,209,2,False
1306,7,164,,166,,1,2,False
1308,7,129,,166,,17,2,False
1310,6,165,,166,,1,2,False
1312,6,144,,166,,17,2,False
1314,5,166,,166,,2,2,True
1316,5,109,,82,,25,92,False
1318,5,106,,82,,184,92,False
1345,4,167,,82,,1,92,False
1347,4,132,,82,,17,92,False
1349,4,168,,82,,1,92,False
1351,4,133,,82,,17,92,False
1353,3,169,,82,,1,92,False
1355,3,137,,82,,17,92,False
1357,3,82,,82,,92,92,True
1359,2,91,,91,,134,134,True
1361,2,88,,174,,60,194,False
1363,1,174,,174,,194,194,True
1422,7,180,,181,,2,2,False
1424,7,134,,181,,209,2,False
1426,6,181,,181,,2,2,True
1428,6,136,,182,,79,2,False
1430,6,130,,182,,130,2,False
1432,5,182,,182,,2,2,True
1434,5,140,,184,,199,2,False
1457,10,135,,189,,10,2,False
1459,9,183,,189,,2,2,False
1461,9,141,,189,,209,2,False
1463,8,184,,189,,2,2,False
1465,8,142,,189,,107,2,False
1467,8,139,,189,,102,2,False
1469,7,185,,189,,2,2,False
1471,7,143,,189,,209,2,False
1494,6,186,,189,,1,2,False
1496,6,156,,189,,17,2,False
1498,6,187,,189,,2,2,False
1500,6,127,,189,,209,2,False
1502,5,188,,189,,2,2,False
1504,5,128,,189,,209,2,False
1506,4,189,,189,,2,2,True
1508,4,131,,190,,135,2,False
1532,4,125,,190,,74,2,False
1534,3,190,,190,,2,2,True
1536,3,138,,191,,209,2,False
1538,2,191,,191,,2,2,True
1540,2,155,,126,,119,194,False
1542,2,151,,126,,92,194,False
1544,1,126,,126,,194,194,True
1620,3,208,,208,,2,2,True
1622,3,152,,210,,209,2,False
1624,2,209,,210,,2,2,False
1626,2,153,,210,,209,2,False
1628,1,210,,210,,2,2,True
1630,1,157,,157,,209,209,True
1653,2,211,,211,,2,2,True
1655,2,158,,212,,45,2,False
1657,2,154,,212,,164,2,False
1659,1,212,,212,,2,2,True
1661,1,159,,159,,209,209,True
1731,6,222,,223,,2,2,False
1733,6,171,,223,,209,2,False
1735,5,223,,223,,2,2,True
1737,5,172,,227,,209,1,False
1739,4,224,,227,,2,1,False
1741,4,177,,227,,25,1,False
1743,4,173,,227,,184,1,False
1765,5,225,,229,,2,2,False
1767,5,178,,229,,209,2,False
1769,4,226,,229,,2,2,False
1771,4,179,,229,,209,2,False
1773,3,227,,229,,1,2,False
1775,3,193,,229,,17,2,False
1777,2,228,,229,,2,2,False
1779,2,175,,229,,117,2,False
1802,2,170,,170,,92,92,True
1804,1,229,,229,,2,2,True
1806,1,176,,176,,209,209,True
1864,4,240,,240,,2,2,True
1866,4,194,,241,,209,2,False
1868,3,241,,241,,2,2,True
1870,3,196,,242,,119,2,False
1872,3,192,,242,,90,2,False
1874,2,242,,242,,2,2,True
1876,2,201,,243,,209,2,False
1907,9,243,,246,,2,2,False
1909,9,204,,246,,209,2,False
1911,8,244,,246,,2,2,False
1913,8,197,,246,,209,2,False
1915,7,245,,246,,2,2,False
1917,7,199,,246,,27,2,False
1919,7,195,,246,,182,2,False
1942,6,246,,246,,2,2,True
1944,6,200,,247,,209,2,False
1946,5,247,,247,,2,2,True
1948,5,203,,251,,145,1,False
1950,5,198,,251,,64,1,False
1952,4,248,,251,,2,1,False
1954,4,205,,251,,53,1,False
1956,4,202,,251,,156,1,False
2007,3,249,,251,,2,1,False
2009,3,206,,251,,209,1,False
2011,2,250,,251,,2,1,False
2013,2,207,,251,,209,1,False
2057,4,251,,268,,1,2,False
2059,4,220,,268,,17,2,False
2061,3,267,,268,,2,2,False
2063,3,216,,268,,209,2,False
2065,2,268,,268,,2,2,True
2067,2,218,,269,,117,2,False
2069,2,213,,269,,92,2,False
2071,1,269,,269,,2,2,True
2073,1,221,,221,,43,43,True
2075,1,217,,217,,166,166,True
2090,2,270,,271,,2,2,False
2092,2,215,,271,,209,2,False
2094,1,271,,271,,2,2,True
2096,1,219,,219,,209,209,True
2178,4,281,,283,,1,1,False
2180,4,232,,283,,211,1,False
2182,3,282,,283,,1,1,False
2184,3,234,,283,,121,1,False
2186,3,283,,283,,1,1,True
2188,3,236,,284,,17,1,False
2190,3,284,,284,,1,1,True
2192,3,237,,230,,17,90,False
2194,2,230,,230,,90,90,True
2196,1,214,,214,,194,194,True
2234,2,289,,289,,2,2,True
2236,2,239,,290,,209,1,False
2238,1,290,,290,,1,1,True
2240,1,256,,256,,119,119,True
2242,1,252,,252,,92,92,True
2276,3,291,,292,,2,2,False
2278,3,231,,292,,209,2,False
2280,2,292,,292,,2,2,True
2282,2,235,,293,,209,2,False
2284,1,293,,293,,2,2,True
2286,1,238,,238,,209,209,True
2310,5,296,,297,,2,2,False
2312,5,253,,297,,209,2,False
2314,4,297,,297,,2,2,True
2316,4,259,,300,,27,2,False
2318,4,255,,300,,182,2,False
2320,3,298,,300,,2,2,False
2322,3,261,,300,,209,2,False
2356,2,299,,300,,2,2,False
2358,2,263,,300,,145,2,False
2360,2,258,,300,,64,2,False
2362,1,300,,300,,2,2,True
2364,1,265,,265,,53,53,True
2366,1,262,,262,,156,156,True
2445,10,313,,321,,2,2,False
2447,10,254,,321,,209,2,False
2449,9,314,,321,,2,2,False
2451,9,257,,321,,209,2,False
2453,8,315,,321,,2,2,False
2455,8,260,,321,,209,2,False
2466,7,316,,321,,2,2,False
2468,7,264,,321,,209,2,False
2470,6,317,,321,,2,2,False
2472,6,266,,321,,209,2,False
2474,5,318,,321,,2,2,False
2476,5,280,,321,,17,2,False
2478,4,319,,321,,2,2,False
2480,4,273,,321,,209,2,False
2503,3,320,,321,,2,2,False
2505,3,274,,321,,209,2,False
2507,2,321,,321,,2,2,True
2509,2,278,,322,,209,2,False
2511,1,322,,322,,2,2,True
2513,1,279,,279,,25,25,True
2515,1,275,,275,,184,184,True
2589,1,335,,335,,2,2,True
2591,1,277,,277,,117,117,True
2593,1,272,,272,,92,92,True
2617,1,338,,338,,1,1,True
2619,1,286,,286,,211,211,True
2641,3,340,,340,,2,2,True
2643,3,287,,342,,209,1,False
2645,2,341,,342,,2,1,False
2647,2,288,,342,,119,1,False
2649,2,285,,342,,90,1,False
2651,1,342,,342,,1,1,True
2653,1,303,,303,,17,17,True
2689,7,345,,347,,2,2,False
2691,7,294,,347,,209,2,False
2693,6,346,,347,,2,2,False
2695,6,310,,347,,211,2,False
2697,5,347,,347,,2,2,True
2699,5,302,,350,,209,2,False
2725,6,348,,353,,2,1,False
2727,6,304,,353,,209,1,False
2729,5,349,,353,,2,1,False
2731,5,309,,353,,43,1,False
2733,5,305,,353,,166,1,False
2735,4,350,,353,,2,1,False
2737,4,311,,353,,209,1,False
2760,3,351,,353,,2,1,False
2762,3,312,,353,,163,1,False
2764,3,308,,353,,46,1,False
2766,2,352,,353,,2,1,False
2768,2,295,,353,,209,1,False
2770,1,353,,353,,1,1,True
2772,1,327,,327,,119,119,True
2851,3,367,,367,,2,2,True
2853,3,306,,323,,135,92,False
2855,3,301,,323,,74,92,False
2857,2,368,,323,,2,92,False
2859,2,307,,323,,209,92,False
2892,7,369,,373,,2,2,False
2894,7,325,,373,,209,2,False
2896,6,370,,373,,2,2,False
2898,6,328,,373,,209,2,False
2900,5,371,,373,,2,2,False
2902,5,330,,373,,27,2,False
2904,5,326,,373,,182,2,False
2915,4,372,,373,,2,2,False
2917,4,332,,373,,209,2,False
2919,3,373,,373,,2,2,True
2921,3,334,,374,,209,1,False
2923,2,374,,374,,1,1,True
2925,2,337,,323,,17,92,False
2927,1,323,,323,,92,92,True
2982,4,384,,386,,2,2,False
2984,4,324,,386,,209,2,False
2986,3,385,,386,,2,2,False
2988,3,331,,386,,209,2,False
2990,2,386,,386,,2,2,True
2992,2,333,,387,,145,2,False
3003,2,329,,329,,64,64,True
3005,1,387,,387,,2,2,True
3007,1,336,,336,,209,209,True
3040,1,393,,393,,1,1,True
3042,1,343,,343,,211,211,True
3055,1,394,,394,,2,2,True
3057,1,339,,339,,209,209,True
3082,2,396,,397,,2,1,False
3084,2,344,,397,,209,1,False
3086,1,397,,397,,1,1,True
3088,1,359,,359,,17,17,True
3090,1,276,,276,,32,32,True
3092,1,233,,233,,162,162,True
3125,6,401,,401,,2,2,True
3127,6,355,,406,,209,2,False
3129,5,402,,406,,2,2,False
3131,5,358,,406,,117,2,False
3133,5,354,,406,,92,2,False
3135,4,403,,406,,2,2,False
3137,4,360,,406,,209,2,False
3154,6,404,,407,,2,2,False
3156,6,362,,407,,43,2,False
3158,6,357,,407,,166,2,False
3160,5,405,,407,,2,2,False
3162,5,363,,407,,209,2,False
3164,4,406,,407,,2,2,False
3166,4,365,,407,,161,2,False
3220,4,361,,407,,48,2,False
3222,3,407,,407,,2,2,True
3224,3,356,,408,,209,2,False
3226,2,408,,408,,2,2,True
3228,2,364,,409,,209,2,False
3230,1,409,,409,,2,2,True
3232,1,366,,366,,209,209,True
3315,7,427,,432,,2,2,False
3317,7,375,,432,,209,2,False
3319,6,428,,432,,2,2,False
3321,6,376,,432,,209,2,False
3323,5,429,,432,,2,2,False
3325,5,378,,432,,209,2,False
3336,4,430,,432,,2,2,False
3338,4,379,,432,,209,2,False
3340,3,431,,432,,2,2,False
3342,3,381,,432,,117,2,False
3344,3,377,,432,,92,2,False
3346,2,432,,432,,2,2,True
3348,2,383,,433,,25,1,False
3350,2,380,,433,,184,1,False
3373,1,433,,433,,1,1,True
3375,1,390,,390,,211,211,True
3420,2,443,,443,,2,2,True
3422,2,382,,444,,209,2,False
3424,1,444,,444,,2,2,True
3426,1,389,,389,,209,209,True
3451,2,447,,447,,2,2,True
3453,2,391,,448,,119,2,False
3455,2,388,,448,,90,2,False
3457,1,448,,448,,2,2,True
3459,1,392,,392,,209,209,True
3481,2,451,,452,,2,2,False
3483,2,395,,452,,209,2,False
3485,1,452,,452,,2,2,True
3487,1,398,,398,,209,209,True
3509,2,453,,453,,2,2,True
