frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
2095,1,3,,3,,1,1,True
2100,1,152,,152,,1,1,True
2102,1,2,,2,,17,17,True
2669,127,154,,154,,1,1,True
2671,127,4,,4,,17,17,True
2673,126,155,,155,,2,2,True
2675,126,12,,12,,17,17,True
2677,125,156,,156,,2,2,True
2709,125,16,,16,,17,17,True
2711,124,157,,157,,2,2,True
2713,124,17,,17,,17,17,True
2715,123,158,,158,,1,1,True
2717,123,20,,20,,17,17,True
2719,122,159,,159,,1,1,True
2721,122,22,,22,,17,17,True
2777,121,160,,160,,2,2,True
2779,121,27,,27,,17,17,True
2781,120,161,,161,,2,2,True
2783,120,31,,31,,17,17,True
2785,119,162,,162,,1,1,True
2787,119,32,,32,,17,17,True
2789,118,163,,163,,1,1,True
2791,118,35,,35,,17,17,True
2793,117,164,,164,,1,1,True
2795,117,36,,36,,17,17,True
2797,116,165,,165,,1,1,True
2799,116,39,,39,,17,17,True
2872,115,166,,166,,1,1,True
2874,115,46,,46,,17,17,True
2876,114,167,,167,,2,2,True
2878,114,51,,51,,17,17,True
2880,113,168,,168,,1,1,True
2882,113,52,,52,,17,17,True
2884,112,169,,169,,1,1,True
2886,112,59,,59,,17,17,True
2888,111,170,,170,,1,1,True
2890,111,60,,60,,17,17,True
2892,110,171,,171,,2,2,True
2894,110,64,,64,,17,17,True
2896,109,172,,172,,2,2,True
2898,109,66,,66,,17,17,True
3000,108,173,,173,,1,1,True
3002,108,68,,68,,17,17,True
3004,107,174,,174,,2,2,True
3006,107,70,,70,,17,17,True
3008,106,175,,175,,1,1,True
3010,106,74,,74,,3,3,True
3012,106,53,,53,,14,14,True
3014,105,176,,176,,1,1,True
3016,105,75,,75,,17,17,True
3018,104,177,,177,,2,2,True
3020,104,76,,76,,17,17,True
3022,103,178,,178,,1,1,True
3024,103,77,,77,,17,17,True
3026,102,179,,179,,2,2,True
3028,102,83,,83,,17,17,True
3030,101,180,,180,,1,1,True
3032,101,85,,85,,17,17,True
3150,100,181,,181,,1,1,True
3152,100,86,,86,,17,17,True
3154,99,182,,182,,1,1,True
3156,99,87,,87,,17,17,True
3158,98,183,,183,,1,1,True
3160,98,90,,90,,17,17,True
3162,97,184,,184,,2,2,True
3164,97,92,,92,,17,17,True
3166,96,185,,185,,1,1,True
3168,96,98,,98,,17,17,True
3170,95,186,,186,,1,1,True
3172,95,100,,100,,17,17,True
3174,94,187,,187,,2,2,True
3176,94,102,,102,,17,17,True
3178,93,188,,188,,1,1,True
3180,93,104,,104,,13,13,True
3182,93,72,,72,,4,4,True
3184,92,189,,189,,1,1,True
3186,92,109,,109,,17,17,True
3188,91,190,,190,,2,2,True
3190,91,110,,110,,17,17,True
3337,90,191,,191,,1,1,True
3339,90,111,,111,,17,17,True
3341,89,192,,192,,1,1,True
3343,89,112,,112,,17,17,True
3345,88,193,,193,,1,1,True
3347,88,114,,114,,17,17,True
3349,87,194,,194,,1,1,True
3351,87,115,,115,,17,17,True
3353,86,195,,195,,1,1,True
3355,86,116,,116,,17,17,True
3357,85,196,,196,,2,2,True
3359,85,118,,118,,17,17,True
3361,84,197,,197,,1,1,True
3363,84,119,,119,,17,17,True
3365,83,198,,198,,1,1,True
3367,83,121,,121,,17,17,True
3369,82,199,,199,,1,1,True
3371,82,123,,123,,17,17,True
3373,81,200,,200,,1,1,True
3375,81,124,,124,,17,17,True
3377,80,201,,201,,2,2,True
3379,80,126,,126,,17,17,True
3539,79,202,,202,,2,2,True
3541,79,129,,129,,17,17,True
3543,79,18,,18,,196,196,True
3847,78,203,,203,,1,1,True
3849,78,131,,131,,17,17,True
3851,77,204,,204,,1,1,True
3853,77,136,,136,,17,17,True
3855,76,205,,205,,1,1,True
3857,76,138,,138,,17,17,True
3859,75,206,,206,,1,1,True
3861,75,140,,140,,17,17,True
3863,74,207,,207,,1,1,True
3865,74,142,,142,,17,17,True
3867,73,208,,208,,2,2,True
3869,73,145,,145,,17,17,True
3871,72,209,,209,,1,1,True
3873,72,146,,146,,17,17,True
3875,71,210,,210,,2,2,True
3877,71,148,,148,,17,17,True
3879,70,211,,211,,1,1,True
