frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
79,3,8,,11,,3,5,False
81,2,10,,11,,3,5,False
83,2,9,,11,,1,5,False
85,2,3,,11,,1,5,False
87,2,11,,11,,5,5,True
89,2,4,,2,,63,63,False
91,1,2,,2,,63,63,True
122,1,15,,15,,5,5,True
124,1,14,,14,,32,32,True
126,1,12,,12,,88,88,True
143,2,17,,18,,11,7,False
145,2,7,,18,,133,7,False
147,1,18,,18,,7,7,True
149,1,13,,13,,167,167,True
164,1,20,,20,,14,14,True
166,1,5,,5,,256,256,True
186,1,23,,23,,2,2,True
188,1,19,,19,,245,245,True
206,1,26,,26,,7,7,True
208,1,16,,16,,115,115,True
227,1,28,,28,,17,17,True
229,1,6,,6,,63,63,True
251,2,30,,31,,6,5,False
253,1,31,,31,,5,5,True
255,1,27,,27,,185,185,True
272,2,33,,33,,8,8,True
274,2,25,,34,,63,6,False
276,1,34,,34,,6,6,True
278,1,24,,24,,109,109,True
291,1,36,,36,,12,12,True
293,1,21,,21,,63,63,True
308,1,38,,38,,6,6,True
310,1,32,,32,,163,163,True
332,2,40,,40,,129,129,True
334,1,41,,41,,6,6,True
336,1,35,,35,,150,150,True
369,1,45,,45,,4,4,True
371,1,43,,43,,210,210,True
388,1,47,,47,,1,1,True
390,1,46,,46,,143,143,True
406,1,49,,49,,11,11,True
408,1,37,,37,,138,138,True
421,1,51,,51,,23,23,True
423,1,22,,22,,162,162,True
452,1,55,,55,,2,2,True
454,1,54,,54,,30,30,True
456,1,52,,52,,81,81,True
469,1,57,,57,,24,24,True
471,1,29,,29,,112,112,True
484,1,59,,59,,4,4,True
486,1,50,,50,,106,106,True
499,1,61,,61,,5,5,True
501,1,53,,53,,174,174,True
514,1,63,,63,,3,3,True
516,1,62,,62,,133,133,True
529,1,65,,65,,5,5,True
531,1,60,,60,,177,177,True
544,1,67,,67,,9,9,True
546,1,58,,58,,62,62,True
560,1,69,,69,,18,18,True
562,1,48,,48,,137,137,True
575,2,71,,71,,9,9,True
577,2,64,,39,,137,2,False
579,1,39,,39,,2,2,True
596,1,74,,74,,24,24,True
604,2,75,,75,,15,15,True
606,2,56,,44,,107,17,False
608,1,44,,44,,17,17,True
610,1,42,,42,,45,45,True
623,1,77,,77,,3,3,True
625,1,70,,70,,131,131,True
638,1,79,,79,,6,6,True
640,1,68,,68,,112,112,True
653,1,81,,81,,3,3,True
655,1,73,,73,,137,137,True
668,1,83,,83,,1,1,True
670,1,78,,78,,109,109,True
687,2,85,,86,,4,3,False
689,2,72,,86,,62,3,False
691,1,86,,86,,3,3,True
693,1,80,,80,,109,109,True
706,1,88,,88,,5,5,True
708,1,76,,76,,167,167,True
721,1,90,,90,,6,6,True
728,1,84,,84,,123,123,True
740,1,92,,92,,10,10,True
742,1,82,,82,,153,153,True
769,2,96,,97,,1,11,False
771,2,95,,97,,63,11,False
773,1,97,,97,,11,11,True
775,1,87,,87,,151,151,True
788,1,99,,99,,24,24,True
790,1,66,,66,,109,109,True
803,1,101,,101,,11,11,True
805,1,89,,89,,108,108,True
818,1,103,,103,,3,3,True
820,1,98,,98,,109,109,True
833,1,105,,105,,12,12,True
835,1,91,,91,,105,105,True
852,2,107,,107,,3,3,True
854,2,104,,108,,111,9,False
856,1,108,,108,,9,9,True
858,1,94,,94,,62,62,True
871,1,110,,110,,8,8,True
873,1,100,,100,,140,140,True
886,1,112,,112,,13,13,True
888,1,93,,93,,111,111,True
903,2,114,,115,,9,6,False
905,2,102,,115,,175,6,False
907,1,115,,115,,6,6,True
909,1,109,,109,,252,252,True
943,2,119,,119,,5,5,True
945,2,113,,120,,150,6,False
947,1,120,,120,,6,6,True
949,1,118,,118,,183,183,True
963,1,122,,122,,6,6,True
965,1,117,,117,,14,14,True
967,1,116,,116,,256,256,True
995,1,126,,126,,4,4,True
997,1,124,,124,,150,150,True
1010,1,128,,128,,9,9,True
1012,1,121,,121,,199,199,True
1024,1,130,,130,,10,10,True
1026,1,125,,125,,139,139,True
1028,1,123,,123,,105,105,True
1051,1,133,,133,,3,3,True
1053,1,129,,129,,173,173,True
1066,1,135,,135,,24,24,True
1068,1,106,,106,,62,62,True
1081,1,137,,137,,2,2,True
1083,1,136,,136,,111,111,True
1096,1,139,,139,,3,3,True
1098,1,134,,134,,137,137,True
1111,1,141,,141,,10,10,True
1113,1,127,,127,,137,137,True
1126,1,143,,143,,24,24,True
1128,1,111,,111,,63,63,True
1141,1,145,,145,,2,2,True
1143,1,144,,144,,111,111,True
1160,2,147,,148,,6,7,False
1162,2,138,,148,,111,7,False
1164,1,148,,148,,7,7,True
1166,1,140,,140,,63,63,True
1179,1,150,,150,,5,5,True
1181,1,146,,146,,63,63,True
1197,1,152,,152,,15,15,True
1199,1,132,,132,,23,23,True
1201,1,131,,131,,256,256,True
1234,1,157,,157,,6,6,True
1236,1,151,,151,,118,118,True
1250,1,159,,159,,4,4,True
1252,1,156,,156,,20,20,True
1254,1,153,,153,,86,86,True
1271,2,160,,162,,1,7,False
1273,2,158,,162,,108,7,False
1275,1,162,,162,,7,7,True
1277,1,154,,154,,105,105,True
1290,1,164,,164,,6,6,True
1292,1,161,,161,,110,110,True
1307,1,166,,166,,23,23,True
1309,1,142,,142,,162,162,True
1327,1,169,,169,,7,7,True
1329,1,165,,165,,108,108,True
1348,2,171,,172,,7,17,False
1350,2,168,,172,,63,17,False
1352,1,172,,172,,17,17,True
1354,1,163,,163,,172,172,True
1372,1,175,,175,,24,24,True
1374,1,155,,155,,63,63,True
1382,1,176,,176,,159,159,True
1403,2,177,,179,,4,1,False
1405,2,174,,179,,63,1,False
1407,1,179,,179,,1,1,True
1409,1,178,,178,,137,137,True
1426,2,181,,182,,5,13,False
1428,2,173,,182,,115,13,False
1430,1,182,,182,,13,13,True
1432,1,170,,170,,105,105,True
1447,1,184,,184,,19,19,True
1449,1,167,,167,,118,118,True
1469,2,187,,187,,6,6,True
1471,2,180,,188,,148,7,False
1473,1,188,,188,,7,7,True
1475,1,185,,185,,113,113,True
1499,1,191,,191,,4,4,True
1501,1,190,,190,,66,66,True
1503,1,189,,189,,256,256,True
1532,1,195,,195,,8,8,True
1534,1,194,,194,,16,16,True
1536,1,192,,192,,147,147,True
1547,1,197,,197,,56,56,True
1549,1,149,,149,,160,160,True
1569,1,199,,199,,22,22,True
1571,1,183,,183,,163,163,True
1584,1,201,,201,,21,21,True
1586,1,186,,186,,63,63,True
1603,2,203,,204,,1,11,False
1605,2,200,,204,,106,11,False
1607,1,204,,204,,11,11,True
1609,1,193,,193,,109,109,True
1624,1,206,,206,,4,4,True
1626,1,205,,205,,182,182,True
1644,1,209,,209,,5,5,True
1646,1,202,,202,,124,124,True
1663,2,211,,212,,12,5,False
1665,2,196,,212,,113,5,False
1667,1,212,,212,,5,5,True
1669,1,208,,208,,124,124,True
1682,1,214,,214,,14,14,True
1684,1,198,,198,,256,256,True
1726,2,219,,219,,5,5,True
1728,2,213,,220,,175,1,False
1730,1,220,,220,,1,1,True
1732,1,217,,217,,6,6,True
1734,1,215,,215,,131,131,True
1751,1,223,,223,,10,10,True
1753,1,210,,210,,109,109,True
1770,1,225,,225,,4,4,True
1772,1,216,,216,,123,123,True
1787,1,227,,227,,6,6,True
1789,1,222,,222,,252,252,True
1807,1,230,,230,,3,3,True
1809,1,226,,226,,133,133,True
1825,2,232,,233,,16,5,False
1827,2,207,,233,,115,5,False
1829,1,233,,233,,5,5,True
1831,1,224,,224,,123,123,True
1857,3,221,,221,,1,1,True
1859,2,235,,235,,4,4,True
1861,2,236,,236,,5,5,True
1863,2,228,,229,,63,114,False
1865,1,229,,229,,114,114,True
1878,1,239,,239,,11,11,True
1880,1,231,,231,,161,161,True
1893,1,241,,241,,24,24,True
1895,1,218,,218,,62,62,True
1905,1,242,,242,,111,111,True
1915,2,243,,243,,23,23,True
1917,2,234,,244,,175,20,False
1919,1,244,,244,,20,20,True
1921,1,238,,238,,147,147,True
1956,2,248,,249,,4,7,False
1958,2,247,,249,,63,7,False
1960,1,249,,249,,7,7,True
1962,1,246,,246,,19,19,True
1964,1,245,,245,,256,256,True
1992,1,253,,253,,3,3,True
1994,1,251,,251,,251,251,True
2022,1,257,,257,,1,1,True
2024,1,255,,255,,130,130,True
2037,1,259,,259,,25,25,True
2039,1,240,,240,,121,121,True
2053,1,261,,261,,5,5,True
2055,1,252,,252,,128,128,True
2068,2,263,,263,,1,1,True
2070,2,260,,250,,127,4,False
2083,2,265,,250,,3,4,False
2085,2,250,,250,,4,4,True
2087,1,262,,262,,109,109,True
2101,1,267,,267,,6,6,True
2103,1,256,,256,,33,33,True
2105,1,254,,254,,125,125,True
2118,1,269,,269,,1,1,True
2120,1,268,,268,,161,161,True
2133,1,271,,271,,7,7,True
2135,1,258,,258,,118,118,True
2150,2,273,,273,,2,2,True
2152,2,270,,274,,111,8,False
2154,1,274,,274,,8,8,True
2156,1,264,,264,,123,123,True
2183,2,277,,278,,7,6,False
2185,2,266,,278,,130,6,False
2187,1,278,,278,,6,6,True
2189,1,272,,272,,161,161,True
2203,1,280,,280,,7,7,True
2205,1,276,,276,,7,7,True
2207,1,275,,275,,256,256,True
2249,3,285,,287,,4,9,False
2251,3,279,,287,,150,9,False
2253,2,286,,287,,3,9,False
2255,2,284,,287,,63,9,False
2257,1,287,,287,,9,9,True
2259,1,283,,283,,72,72,True
2284,2,281,,281,,54,54,True
2286,1,290,,290,,56,56,True
2288,1,237,,237,,160,160,True
2306,1,293,,293,,1,1,True
2308,1,291,,291,,109,109,True
2321,1,295,,295,,2,2,True
2323,1,292,,292,,63,63,True
2335,1,296,,296,,106,106,True
2350,1,298,,298,,14,14,True
2352,1,282,,282,,201,201,True
2370,1,301,,301,,1,1,True
2372,1,299,,299,,111,111,True
2385,1,303,,303,,7,7,True
2387,1,302,,302,,106,106,True
2400,1,305,,305,,10,10,True
2402,1,300,,300,,105,105,True
2425,2,307,,308,,1,3,False
2427,2,306,,308,,110,3,False
2429,1,308,,308,,3,3,True
2431,1,304,,304,,109,109,True
2450,1,310,,310,,17,17,True
2452,1,289,,289,,11,11,True
2454,1,288,,288,,256,256,True
2467,1,312,,312,,3,3,True
2469,1,309,,309,,140,140,True
2482,1,314,,314,,6,6,True
2484,1,311,,311,,252,252,True
2516,2,318,,318,,20,20,True
2518,1,319,,319,,6,6,True
2520,1,313,,313,,124,124,True
2533,1,321,,321,,12,12,True
2535,1,320,,320,,112,112,True
2548,1,323,,323,,20,20,True
2550,1,297,,297,,63,63,True
2564,2,324,,325,,117,15,False
2570,2,325,,325,,15,15,True
2572,2,316,,326,,140,37,False
2574,1,326,,326,,37,37,True
2576,1,294,,294,,162,162,True
2606,1,330,,330,,7,7,True
2608,1,322,,322,,134,134,True
2625,2,332,,333,,23,6,False
2627,2,317,,333,,45,6,False
2629,2,315,,333,,115,6,False
2631,1,333,,333,,6,6,True
2633,1,328,,328,,20,20,True
2635,1,327,,327,,256,256,True
2669,2,337,,337,,2,2,True
2671,2,336,,338,,115,6,False
2673,1,338,,338,,6,6,True
2675,1,331,,331,,174,174,True
2704,1,342,,342,,5,5,True
2706,1,335,,335,,58,58,True
2708,1,334,,334,,256,256,True
2737,1,346,,346,,3,3,True
2739,1,345,,345,,28,28,True
2741,1,343,,343,,81,81,True
2756,1,348,,348,,6,6,True
2758,1,340,,340,,198,198,True
2775,1,349,,349,,111,111,True
2792,2,352,,353,,4,21,False
2794,2,351,,353,,139,21,False
2809,3,353,,353,,21,21,True
2811,3,329,,356,,114,15,False
2813,2,355,,356,,7,15,False
2815,2,347,,356,,122,15,False
2824,1,356,,356,,15,15,True
2826,1,344,,344,,174,174,True
2842,1,359,,359,,13,13,True
2844,1,350,,350,,107,107,True
2859,1,361,,361,,2,2,True
2861,1,360,,360,,133,133,True
2879,1,364,,364,,24,24,True
2881,1,341,,341,,5,5,True
2883,1,339,,339,,57,57,True
2900,1,366,,366,,9,9,True
2902,1,358,,358,,77,77,True
2904,1,357,,357,,256,256,True
2932,1,370,,370,,8,8,True
2934,1,363,,363,,145,145,True
2948,1,372,,372,,4,4,True
2950,1,369,,369,,3,3,True
2952,1,367,,367,,144,144,True
2967,2,374,,375,,4,3,False
2969,2,371,,375,,136,3,False
2971,1,375,,375,,3,3,True
2973,1,373,,373,,189,189,True
3002,1,379,,379,,21,21,True
3004,1,354,,354,,125,125,True
3016,1,380,,380,,132,132,True
3029,1,382,,382,,6,6,True
3031,1,381,,381,,149,149,True
3045,1,384,,384,,7,7,True
3047,1,378,,378,,45,45,True
3049,1,376,,376,,113,113,True
3067,2,386,,386,,4,4,True
3069,2,383,,387,,110,19,False
3071,1,387,,387,,19,19,True
3073,1,365,,365,,125,125,True
3086,2,362,,389,,1,23,False
3088,1,389,,389,,23,23,True
3090,1,368,,368,,111,111,True
3105,2,391,,392,,6,14,False
3107,2,388,,392,,232,14,False
3109,1,392,,392,,14,14,True
3111,1,385,,385,,157,157,True
3134,1,395,,395,,23,23,True
3136,1,377,,377,,143,143,True
3153,2,397,,397,,7,7,True
3155,2,390,,398,,129,2,False
3157,1,398,,398,,2,2,True
3159,1,396,,396,,247,247,True
3188,1,402,,402,,4,4,True
3190,1,401,,401,,20,20,True
3192,1,399,,399,,94,94,True
3204,1,404,,404,,11,11,True
3206,1,394,,394,,76,76,True
3208,1,393,,393,,256,256,True
3235,1,407,,407,,5,5,True
3240,2,406,,409,,81,12,False
3245,3,405,,409,,256,12,False
3250,3,409,,409,,12,12,True
