frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
655,16,30,,30,,117,117,True
657,16,25,,25,,12,12,True
659,15,36,,36,,1,1,True
661,15,33,,33,,143,143,True
693,15,51,,51,,2,2,True
695,15,15,,15,,17,17,True
697,15,12,,12,,228,228,True
699,14,55,,55,,2,2,True
701,14,39,,39,,111,111,True
725,15,57,,57,,3,3,True
727,15,44,,44,,55,55,True
729,15,42,,42,,78,78,True
731,14,58,,58,,1,1,True
733,14,53,,53,,109,109,True
746,14,60,,60,,4,4,True
748,14,31,,31,,72,72,True
764,15,29,,29,,138,138,True
811,17,63,,63,,4,4,True
813,17,35,,35,,106,106,True
815,16,67,,67,,5,5,True
817,16,4,,4,,63,63,True
830,17,56,,56,,1,1,True
832,16,69,,69,,1,1,True
834,16,68,,68,,3,3,True
836,16,3,,3,,1,1,True
838,16,2,,2,,63,63,True
840,15,70,,70,,3,3,True
842,15,48,,48,,131,131,True
851,14,85,,85,,3,3,True
853,13,86,,86,,3,3,True
855,13,50,,50,,137,137,True
889,15,87,,87,,4,4,True
891,15,49,,49,,62,62,True
893,14,88,,88,,5,5,True
895,14,21,,21,,185,185,True
916,15,95,,95,,5,5,True
918,15,11,,11,,120,120,True
920,14,98,,98,,5,5,True
922,14,37,,37,,174,174,True
945,16,99,,99,,6,6,True
947,16,18,,18,,97,97,True
949,16,14,,14,,12,12,True
951,15,101,,101,,1,1,True
953,15,71,,71,,63,63,True
967,14,104,,104,,6,6,True
969,14,24,,24,,163,163,True
984,15,106,,106,,5,5,True
986,15,43,,43,,177,177,True
1006,16,107,,107,,6,6,True
1008,16,27,,27,,104,104,True
1010,16,22,,22,,46,46,True
1012,15,109,,109,,7,7,True
1029,18,13,,13,,27,27,True
1031,18,9,,9,,88,88,True
1033,17,111,,111,,3,3,True
1035,17,75,,75,,111,111,True
1046,16,112,,112,,5,5,True
1048,16,52,,52,,167,167,True
1055,15,115,,115,,6,6,True
1057,15,47,,47,,112,112,True
1071,16,116,,116,,3,3,True
1073,16,54,,54,,109,109,True
1075,15,117,,117,,3,3,True
1084,15,94,,94,,44,44,True
1086,15,92,,92,,129,129,True
1099,16,120,,120,,7,7,True
1101,16,10,,10,,46,46,True
1103,16,7,,7,,121,121,True
1105,15,121,,121,,1,1,True
1107,15,119,,119,,108,108,True
1129,14,126,,126,,8,8,True
1131,14,19,,19,,63,63,True
1138,14,123,,123,,1,1,True
1140,13,128,,128,,1,1,True
1142,13,127,,127,,1,1,True
1144,13,102,,102,,111,111,True
1146,12,131,,131,,4,4,True
1148,12,89,,89,,150,150,True
1180,15,132,,132,,9,9,True
1182,15,45,,45,,137,137,True
1184,14,134,,134,,6,6,True
1186,14,61,,61,,123,123,True
1209,15,136,,136,,3,3,True
1211,15,100,,100,,137,137,True
1213,14,139,,139,,9,9,True
1215,13,140,,140,,5,5,True
1217,13,79,,79,,150,150,True
1237,14,141,,141,,6,6,True
1239,14,77,,77,,171,171,True
1248,14,74,,74,,81,81,True
