frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
636,15,30,,30,,117,117,True
638,15,25,,25,,12,12,True
659,16,36,,36,,1,1,True
661,16,33,,33,,143,143,True
663,15,50,,50,,2,2,True
665,15,15,,15,,17,17,True
667,15,12,,12,,228,228,True
681,14,54,,54,,2,2,True
683,14,38,,38,,111,111,True
702,15,56,,56,,3,3,True
704,15,43,,43,,55,55,True
706,15,41,,41,,78,78,True
708,14,57,,57,,1,1,True
710,14,52,,52,,109,109,True
723,14,62,,62,,4,4,True
725,14,31,,31,,72,72,True
739,14,29,,29,,138,138,True
788,17,65,,65,,4,4,True
790,17,35,,35,,106,106,True
792,16,66,,66,,5,5,True
794,16,4,,4,,63,63,True
805,16,55,,55,,3,3,True
807,15,68,,68,,3,3,True
809,15,67,,67,,1,1,True
811,15,3,,3,,1,1,True
813,15,2,,2,,63,63,True
815,14,69,,69,,3,3,True
817,14,47,,47,,131,131,True
828,14,84,,84,,3,3,True
830,13,85,,85,,3,3,True
832,13,49,,49,,137,137,True
866,16,86,,86,,4,4,True
868,16,48,,48,,62,62,True
872,15,91,,91,,5,5,True
874,15,21,,21,,185,185,True
887,15,92,,92,,5,5,True
889,15,11,,11,,120,120,True
891,14,96,,96,,5,5,True
893,14,37,,37,,174,174,True
923,16,97,,97,,6,6,True
925,16,18,,18,,97,97,True
927,16,14,,14,,12,12,True
929,15,99,,99,,1,1,True
931,15,70,,70,,63,63,True
933,14,103,,103,,6,6,True
945,14,24,,24,,163,163,True
964,16,104,,104,,5,5,True
966,16,42,,42,,177,177,True
982,16,105,,105,,6,6,True
984,16,27,,27,,104,104,True
986,16,22,,22,,46,46,True
988,15,107,,107,,7,7,True
1004,18,13,,13,,27,27,True
1006,18,9,,9,,88,88,True
1008,17,108,,108,,3,3,True
1010,17,74,,74,,111,111,True
1021,16,111,,111,,5,5,True
1023,16,51,,51,,167,167,True
1030,15,113,,113,,6,6,True
1032,15,46,,46,,112,112,True
1048,17,114,,114,,3,3,True
1050,17,53,,53,,109,109,True
1052,16,116,,116,,3,3,True
1063,16,93,,93,,173,173,True
1065,15,117,,117,,7,7,True
1067,15,10,,10,,46,46,True
1069,15,7,,7,,121,121,True
1093,15,122,,122,,1,1,True
1095,15,119,,119,,108,108,True
1097,14,123,,123,,8,8,True
1107,15,19,,19,,63,63,True
1111,14,118,,118,,1,1,True
1113,13,125,,125,,1,1,True
1115,13,124,,124,,1,1,True
1117,13,100,,100,,111,111,True
1119,12,129,,129,,4,4,True
1121,12,87,,87,,150,150,True
1149,14,130,,130,,6,6,True
1151,14,59,,59,,123,123,True
1167,14,131,,131,,9,9,True
1169,14,44,,44,,137,137,True
1180,14,133,,133,,3,3,True
1182,14,98,,98,,137,137,True
1184,13,137,,137,,5,5,True
1186,13,78,,78,,150,150,True
1208,15,138,,138,,9,9,True
1210,14,139,,139,,6,6,True
1212,14,76,,76,,171,171,True
1221,14,73,,73,,81,81,True
1241,18,143,,143,,11,11,True
1243,18,8,,8,,133,133,True
1245,17,144,,144,,6,6,True
1247,17,82,,82,,181,181,True
1258,16,145,,145,,1,1,True
1260,16,140,,140,,137,137,True
1262,15,150,,150,,11,11,True
1264,15,28,,28,,138,138,True
1302,14,152,,152,,6,6,True
1304,14,81,,81,,14,14,True
1306,14,79,,79,,256,256,True
1339,16,154,,154,,6,6,True
1341,16,101,,101,,111,111,True
1357,16,155,,155,,5,5,True
1359,16,106,,106,,63,63,True
1363,15,156,,156,,12,12,True
1365,15,16,,16,,63,63,True
1367,14,158,,158,,4,4,True
1369,14,115,,115,,106,106,True
1385,16,161,,161,,8,8,True
1387,16,71,,71,,140,140,True
1402,15,162,,162,,3,3,True
1404,15,136,,136,,159,159,True
1406,14,165,,165,,6,6,True
1408,14,110,,110,,118,118,True
1443,16,166,,166,,7,7,True
1445,16,102,,102,,63,63,True
1447,15,169,,169,,10,10,True
1449,15,58,,58,,153,153,True
1472,17,170,,170,,9,9,True
1474,17,40,,40,,62,62,True
1476,16,171,,171,,9,9,True
1478,16,72,,72,,175,175,True
1480,15,172,,172,,4,4,True
1491,15,135,,135,,63,63,True
1493,14,173,,173,,9,9,True
1495,14,83,,83,,140,140,True
1497,14,80,,80,,59,59,True
1517,13,180,,180,,1,1,True
1519,13,159,,159,,106,106,True
1535,14,183,,183,,7,7,True
