frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
347,22,3,,53,,1,1,False
349,22,2,,53,,12,1,False
351,21,39,,53,,1,1,False
353,21,4,,53,,140,1,False
357,21,40,,53,,1,1,False
359,21,5,,53,,141,1,False
364,21,41,,53,,1,1,False
366,21,11,,53,,141,1,False
370,21,42,,53,,1,1,False
372,21,14,,53,,12,1,False
374,21,43,,53,,1,1,False
376,21,15,,53,,141,1,False
381,21,44,,53,,1,1,False
383,21,28,,53,,12,1,False
385,20,45,,53,,1,1,False
387,20,32,,53,,12,1,False
485,20,46,,53,,1,1,False
487,20,17,,53,,12,1,False
494,21,47,,53,,1,1,False
496,21,23,,53,,5,1,False
508,22,19,,53,,7,1,False
510,22,49,,53,,1,1,False
512,22,7,,53,,140,1,False
517,22,50,,53,,1,1,False
519,22,20,,53,,119,1,False
521,22,16,,53,,21,1,False
525,22,51,,53,,1,1,False
527,22,31,,53,,70,1,False
529,22,25,,53,,70,1,False
535,22,52,,53,,1,1,False
537,22,33,,53,,140,1,False
541,22,53,,53,,1,1,True
543,22,10,,38,,25,141,False
545,22,6,,38,,115,141,False
554,22,54,,79,,1,1,False
556,22,13,,79,,52,1,False
558,22,8,,79,,88,1,False
596,21,18,,79,,141,1,False
604,22,55,,79,,1,1,False
606,22,24,,79,,140,1,False
612,22,56,,86,,1,1,False
614,22,27,,86,,31,1,False
650,23,21,,86,,109,1,False
652,22,57,,86,,1,1,False
654,22,29,,86,,140,1,False
659,22,58,,86,,1,1,False
661,22,34,,86,,109,1,False
734,24,30,,86,,31,1,False
736,23,59,,86,,1,1,False
738,23,35,,86,,140,1,False
744,23,36,,86,,141,1,False
751,23,60,,86,,1,1,False
753,23,37,,86,,140,1,False
758,23,38,,86,,141,1,False
940,22,61,,86,,1,1,False
942,22,73,,86,,1,1,False
944,22,64,,86,,12,1,False
946,21,74,,86,,1,1,False
948,21,66,,86,,12,1,False
950,20,76,,86,,1,1,False
952,20,62,,86,,140,1,False
954,19,77,,86,,1,1,False
956,19,67,,86,,140,1,False
983,18,69,,86,,141,1,False
985,17,78,,86,,1,1,False
987,17,70,,86,,25,1,False
989,17,68,,86,,115,1,False
1011,16,71,,86,,141,1,False
1013,15,79,,86,,1,1,False
1015,15,72,,86,,12,1,False
1017,15,83,,86,,1,1,False
1019,15,75,,86,,140,1,False
1056,14,84,,86,,1,1,False
1058,14,81,,86,,12,1,False
1060,13,85,,86,,1,1,False
1062,13,80,,86,,140,1,False
1175,28,86,,86,,1,1,True
1177,28,82,,105,,12,1,False
1179,28,90,,105,,1,1,False
1181,28,88,,105,,12,1,False
1183,27,91,,105,,1,1,False
1185,27,87,,105,,140,1,False
1191,27,92,,105,,1,1,False
1193,27,48,,105,,12,1,False
1195,26,100,,105,,1,1,False
1197,26,93,,105,,140,1,False
1202,26,101,,105,,1,1,False
1204,26,102,,105,,1,1,False
1206,26,95,,105,,140,1,False
1212,26,103,,162,,1,1,False
1214,26,98,,162,,12,1,False
1216,26,104,,162,,1,1,False
1218,26,99,,162,,12,1,False
1220,25,105,,162,,1,1,False
1222,25,96,,162,,140,1,False
1227,25,89,,163,,12,1,False
1229,24,94,,163,,12,1,False
1231,23,143,,163,,1,1,False
1233,23,106,,163,,12,1,False
1235,22,144,,163,,1,1,False
1237,22,108,,163,,12,1,False
1239,21,145,,163,,1,1,False
1241,21,109,,163,,141,1,False
1247,21,146,,163,,1,1,False
1249,21,120,,163,,12,1,False
1254,22,147,,163,,1,1,False
1256,22,124,,163,,12,1,False
1258,21,148,,163,,1,1,False
1260,21,127,,163,,12,1,False
1262,21,149,,163,,1,1,False
1264,21,140,,163,,12,1,False
1266,20,150,,163,,1,1,False
1268,20,141,,163,,12,1,False
1270,20,151,,163,,1,1,False
1272,20,121,,163,,12,1,False
1274,20,152,,163,,1,1,False
1276,20,142,,163,,12,1,False
1278,20,153,,163,,1,1,False
1280,20,114,,163,,140,1,False
1302,20,154,,163,,1,1,False
1304,20,116,,163,,25,1,False
1306,20,113,,163,,115,1,False
1311,20,155,,163,,1,1,False
1313,20,117,,163,,140,1,False
1318,20,156,,163,,1,1,False
1320,20,118,,163,,51,1,False
1322,20,115,,163,,89,1,False
1327,20,157,,163,,1,1,False
1329,20,119,,163,,140,1,False
1340,20,158,,163,,1,1,False
1342,20,122,,163,,140,1,False
1347,20,159,,163,,1,1,False
1349,20,128,,163,,140,1,False
1353,20,160,,163,,1,1,False
1355,20,130,,163,,53,1,False
1357,20,125,,163,,87,1,False
1393,20,161,,163,,1,1,False
1395,20,131,,163,,140,1,False
1400,20,162,,163,,1,1,False
1402,20,133,,163,,79,1,False
1413,21,129,,163,,61,1,False
1415,20,163,,163,,1,1,True
1417,20,134,,178,,140,1,False
1466,20,164,,178,,1,1,False
1468,20,135,,178,,105,1,False
1474,21,132,,178,,35,1,False
1476,20,165,,178,,1,1,False
1478,20,137,,178,,140,1,False
1485,20,168,,178,,1,1,False
1487,20,111,,178,,140,1,False
1499,20,112,,178,,26,1,False
1501,20,110,,178,,115,1,False
1511,20,169,,178,,1,1,False
1513,20,136,,178,,140,1,False
1518,20,170,,178,,1,1,False
1520,20,138,,178,,140,1,False
1563,20,172,,178,,1,1,False
1565,20,166,,178,,12,1,False
1567,20,173,,178,,1,1,False
1569,20,167,,178,,140,1,False
1574,20,171,,178,,141,1,False
1579,20,177,,178,,1,1,False
1581,20,174,,178,,141,1,False
1713,21,178,,203,,1,13,False
1715,21,176,,203,,12,13,False
1717,21,179,,203,,1,13,False
1719,21,175,,203,,140,13,False
1725,21,180,,203,,141,13,False
1730,21,186,,203,,1,13,False
1732,21,181,,203,,140,13,False
1739,21,187,,203,,1,13,False
1741,21,182,,203,,140,13,False
1746,21,188,,203,,1,13,False
1748,21,184,,203,,12,13,False
