frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
1041,74,3,,42,,1,1,False
1043,74,2,,42,,12,1,False
1045,73,39,,42,,1,1,False
1047,73,4,,42,,140,1,False
1051,72,40,,42,,1,1,False
1053,72,5,,42,,141,1,False
1073,74,41,,42,,1,1,False
1075,74,11,,42,,141,1,False
1077,73,42,,42,,1,1,True
1086,73,14,,161,,12,1,False
1088,72,43,,161,,1,1,False
1090,72,44,,161,,1,1,False
1092,72,28,,161,,12,1,False
1094,71,45,,161,,1,1,False
1096,71,32,,161,,12,1,False
1098,70,46,,161,,1,1,False
1100,70,17,,161,,12,1,False
1102,69,47,,161,,1,1,False
1104,69,23,,161,,5,1,False
1106,69,19,,161,,7,1,False
1108,68,49,,161,,1,1,False
1110,68,7,,161,,140,1,False
1148,71,50,,161,,1,1,False
1150,71,20,,161,,119,1,False
1152,71,16,,161,,21,1,False
1154,70,51,,161,,1,1,False
1163,70,31,,161,,70,1,False
1165,70,25,,161,,70,1,False
1167,69,52,,161,,1,1,False
1169,69,33,,161,,140,1,False
1191,68,53,,161,,1,1,False
1193,68,10,,161,,25,1,False
1195,68,6,,161,,115,1,False
1197,67,54,,161,,1,1,False
1199,67,13,,161,,52,1,False
1225,71,8,,161,,88,1,False
1227,70,18,,161,,141,1,False
1266,73,55,,161,,1,1,False
1268,73,24,,161,,140,1,False
1270,72,56,,161,,1,1,False
1279,72,27,,161,,31,1,False
1281,72,21,,161,,109,1,False
1283,71,57,,161,,1,1,False
1285,71,29,,161,,140,1,False
1328,73,58,,161,,1,1,False
1330,73,34,,161,,109,1,False
1332,73,30,,161,,31,1,False
1334,72,59,,161,,1,1,False
1348,72,35,,161,,140,1,False
1360,71,36,,161,,141,1,False
1362,70,60,,161,,1,1,False
1374,71,37,,161,,140,1,False
1376,70,38,,161,,141,1,False
1411,71,61,,161,,1,1,False
1413,71,73,,161,,1,1,False
1415,71,64,,161,,12,1,False
1417,70,74,,161,,1,1,False
1419,70,66,,161,,12,1,False
1421,69,76,,161,,1,1,False
1423,69,62,,161,,140,1,False
1457,70,77,,161,,1,1,False
1459,70,67,,161,,140,1,False
1461,69,69,,161,,141,1,False
1505,74,78,,161,,1,1,False
1507,74,70,,161,,25,1,False
1509,74,68,,161,,115,1,False
1511,73,71,,161,,141,1,False
1567,77,79,,232,,1,1,False
1569,77,72,,232,,12,1,False
1571,76,83,,232,,1,1,False
1573,76,75,,232,,140,1,False
1582,75,84,,232,,1,1,False
1584,75,81,,232,,12,1,False
1586,74,85,,232,,1,1,False
1588,74,80,,232,,140,1,False
1601,75,86,,232,,1,1,False
1603,75,82,,232,,12,1,False
1605,74,15,,232,,12,1,False
1607,73,91,,232,,1,1,False
1609,73,88,,232,,12,1,False
1611,72,92,,232,,1,1,False
1613,72,87,,232,,140,1,False
1641,71,93,,232,,1,1,False
1643,71,90,,232,,12,1,False
1653,73,48,,232,,12,1,False
1655,72,101,,232,,1,1,False
1657,72,94,,232,,140,1,False
1666,71,102,,232,,1,1,False
1668,71,103,,232,,1,1,False
1670,71,96,,232,,140,1,False
1705,70,104,,232,,1,1,False
1707,70,99,,232,,12,1,False
1747,74,105,,232,,1,1,False
1749,74,100,,232,,12,1,False
1751,73,106,,232,,1,1,False
1753,73,97,,232,,140,1,False
1762,72,95,,232,,12,1,False
1764,71,143,,232,,1,1,False
1766,71,107,,232,,12,1,False
1768,70,144,,232,,1,1,False
1770,70,108,,232,,12,1,False
1772,69,145,,232,,1,1,False
1774,69,146,,232,,1,1,False
1776,69,120,,232,,12,1,False
1778,68,147,,232,,1,1,False
1780,68,124,,232,,12,1,False
1782,67,148,,232,,1,1,False
1784,67,127,,232,,12,1,False
1786,67,149,,232,,1,1,False
1788,67,140,,232,,12,1,False
1790,66,150,,232,,1,1,False
1792,66,141,,232,,12,1,False
1794,66,151,,232,,1,1,False
1796,66,121,,232,,12,1,False
1798,65,152,,232,,1,1,False
1800,65,142,,232,,12,1,False
1802,64,153,,232,,1,1,False
1804,64,114,,232,,140,1,False
1821,63,154,,232,,1,1,False
1823,63,116,,232,,25,1,False
1825,63,113,,232,,115,1,False
1827,62,155,,232,,1,1,False
1829,62,117,,232,,140,1,False
1962,71,156,,232,,1,1,False
1964,71,118,,232,,51,1,False
1966,71,115,,232,,89,1,False
1968,70,157,,232,,1,1,False
1991,70,119,,119,,140,140,True
1993,69,158,,232,,1,1,False
1995,69,122,,232,,140,1,False
2021,72,159,,232,,1,1,False
2023,72,128,,232,,140,1,False
2025,71,160,,232,,1,1,False
2029,71,130,,232,,53,1,False
2031,71,125,,232,,87,1,False
2033,70,161,,232,,1,1,False
2035,70,131,,232,,140,1,False
2113,76,162,,169,,1,1,False
2115,76,133,,169,,79,1,False
2117,76,129,,169,,61,1,False
2119,75,163,,169,,1,1,False
2132,75,134,,169,,140,1,False
2146,75,164,,169,,1,1,False
2148,75,135,,169,,105,1,False
2150,75,132,,169,,35,1,False
2152,74,165,,169,,1,1,False
2156,74,137,,169,,140,1,False
2158,73,167,,169,,1,1,False
2160,73,111,,169,,140,1,False
2207,71,112,,169,,26,1,False
2209,71,110,,169,,115,1,False
2250,70,168,,169,,1,1,False
2252,70,136,,169,,140,1,False
2254,69,169,,169,,1,1,True
2256,69,138,,283,,140,141,False
2283,68,172,,283,,1,141,False
2285,68,166,,283,,12,141,False
2287,67,173,,283,,1,141,False
2289,67,170,,283,,140,141,False
2291,66,171,,283,,141,141,False
2331,65,177,,283,,1,141,False
2333,65,178,,283,,1,141,False
2335,65,176,,283,,12,141,False
2337,64,180,,283,,1,141,False
2339,64,175,,283,,140,141,False
2354,63,179,,283,,141,141,False
2356,62,186,,283,,1,141,False
2375,62,181,,283,,140,141,False
2377,61,187,,283,,1,141,False
2379,61,182,,283,,140,141,False
2465,79,188,,318,,1,1,False
2467,79,184,,318,,12,1,False
2469,78,189,,318,,1,1,False
2471,78,183,,318,,140,1,False
2480,77,190,,318,,1,1,False
2482,77,185,,318,,140,1,False
2484,76,193,,318,,1,1,False
2495,77,191,,318,,140,1,False
2497,76,194,,318,,1,1,False
2499,76,192,,318,,140,1,False
2536,75,196,,318,,1,1,False
2538,75,195,,318,,12,1,False
2540,74,200,,318,,1,1,False
2542,74,197,,318,,140,1,False
2553,73,201,,318,,1,1,False
2555,73,198,,318,,140,1,False
2557,72,202,,318,,1,1,False
2559,72,199,,318,,140,1,False
2574,72,174,,318,,12,1,False
2576,71,203,,318,,13,1,False
2578,70,209,,318,,1,1,False
2580,70,206,,318,,12,1,False
2582,69,210,,318,,1,1,False
2584,69,204,,318,,140,1,False
2586,68,214,,318,,1,1,False
