frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
598,5,3,,54,,1,17,False
600,4,44,,54,,56,17,False
602,4,40,,54,,55,17,False
604,3,75,,54,,1,17,False
606,3,49,,54,,137,17,False
628,4,76,,54,,1,17,False
630,4,78,,54,,1,17,False
632,4,79,,54,,1,17,False
634,4,14,,54,,61,17,False
636,3,54,,54,,17,17,True
638,3,50,,28,,94,62,False
657,5,81,,28,,2,62,False
659,5,2,,28,,105,62,False
661,4,82,,28,,2,62,False
663,3,83,,28,,3,62,False
665,3,28,,28,,62,62,True
679,3,84,,55,,132,111,False
695,4,86,,55,,3,111,False
697,4,69,,55,,14,111,False
699,4,66,,55,,123,111,False
701,3,87,,55,,3,111,False
703,3,55,,55,,111,111,True
705,2,21,,21,,133,133,True
758,4,91,,91,,3,3,True
760,4,71,,94,,31,3,False
762,4,68,,94,,106,3,False
764,3,94,,94,,3,3,True
766,3,52,,95,,131,3,False
787,3,95,,96,,3,3,False
789,3,96,,96,,3,3,True
791,3,24,,74,,111,111,False
793,3,19,,74,,85,111,False
795,2,74,,74,,111,111,True
821,4,101,,102,,3,4,False
823,3,102,,102,,4,4,True
825,3,48,,103,,61,4,False
849,4,103,,103,,4,4,True
851,4,37,,106,,62,4,False
853,3,105,,106,,1,4,False
855,3,93,,106,,60,4,False
881,3,106,,106,,4,4,True
883,3,5,,108,,150,4,False
885,2,108,,108,,4,4,True
887,2,10,,10,,132,132,True
909,3,7,,7,,78,78,True
924,3,111,,113,,5,5,False
926,3,113,,113,,5,5,True
928,3,51,,51,,29,29,True
930,3,46,,8,,34,175,False
932,2,8,,8,,175,175,True
967,6,115,,116,,5,5,False
969,6,60,,116,,60,5,False
971,5,116,,116,,5,5,True
973,5,13,,118,,2,2,False
975,5,9,,118,,61,2,False
977,4,117,,118,,6,2,False
979,3,118,,118,,2,2,True
981,3,119,,119,,6,6,True
983,3,30,,30,,126,126,True
1035,3,26,,123,,55,3,False
1037,2,123,,123,,3,3,True
1039,2,100,,100,,110,110,True
1073,5,126,,128,,7,1,False
1075,5,63,,128,,118,1,False
1077,4,127,,128,,4,1,False
1079,4,128,,128,,1,1,True
1081,4,125,,129,,62,6,False
1083,3,129,,129,,6,6,True
1085,3,77,,85,,196,114,False
1113,1,85,,85,,114,114,True
1151,3,134,,137,,7,1,False
1153,3,36,,137,,120,1,False
1155,2,135,,137,,1,1,False
1157,2,137,,137,,1,1,True
1159,2,132,,6,,61,62,False
1172,2,138,,138,,7,7,True
1174,2,70,,6,,134,62,False
1187,2,141,,141,,6,6,True
1189,2,80,,6,,163,62,False
1205,2,143,,143,,8,8,True
1207,2,39,,6,,147,62,False
1209,2,34,,6,,16,62,False
1211,1,6,,6,,62,62,True
1229,1,146,,146,,7,7,True
1231,1,73,,73,,129,129,True
1254,2,148,,148,,5,5,True
1256,2,90,,149,,6,4,False
1258,2,88,,149,,56,4,False
1279,2,149,,152,,4,2,False
1281,2,114,,152,,106,2,False
1283,1,152,,152,,2,2,True
1285,1,133,,133,,202,202,True
1310,4,130,,155,,45,2,False
1312,3,155,,155,,2,2,True
1314,3,136,,157,,61,6,False
1316,2,156,,157,,10,6,False
1318,2,41,,157,,136,6,False
1320,2,38,,157,,108,6,False
1350,2,157,,160,,6,120,False
1352,2,160,,160,,120,120,True
1354,2,158,,57,,97,60,False
1373,2,163,,163,,10,10,True
1375,2,62,,57,,104,60,False
1377,2,58,,57,,18,60,False
1379,1,57,,57,,60,60,True
1413,4,165,,169,,3,7,False
1415,4,167,,169,,3,7,False
1417,4,168,,169,,10,7,False
1419,4,17,,169,,55,7,False
1421,4,12,,169,,127,7,False
1423,3,169,,169,,7,7,True
1425,3,109,,140,,146,109,False
1444,2,147,,140,,133,109,False
1467,4,174,,140,,4,109,False
1469,4,131,,140,,148,109,False
1471,3,175,,140,,8,109,False
1473,3,176,,140,,1,109,False
1475,3,161,,140,,137,109,False
1484,2,97,,97,,63,63,True
1486,1,140,,140,,109,109,True
1502,1,179,,179,,5,5,True
1504,1,139,,139,,175,175,True
1521,2,181,,181,,4,4,True
1523,2,144,,182,,121,11,False
1525,1,182,,182,,11,11,True
1527,1,4,,4,,109,109,True
1547,1,185,,185,,12,12,True
1549,1,56,,56,,61,61,True
1565,2,187,,187,,8,8,True
1567,2,104,,188,,131,5,False
1585,2,188,,190,,5,12,False
1587,2,190,,190,,12,12,True
1589,2,72,,110,,62,1,False
1603,3,192,,193,,9,10,False
1605,3,107,,193,,120,10,False
1607,2,193,,193,,10,10,True
1609,2,98,,110,,153,1,False
1633,3,196,,197,,7,1,False
1635,3,121,,197,,14,1,False
1637,3,120,,197,,256,1,False
1675,4,197,,202,,1,13,False
1677,4,191,,202,,61,13,False
1679,3,202,,202,,13,13,True
1681,3,59,,110,,176,1,False
1698,4,53,,53,,2,2,True
1700,3,205,,110,,14,1,False
1702,3,45,,110,,157,1,False
1728,4,207,,208,,2,14,False
1730,4,178,,208,,209,14,False
1732,4,177,,208,,256,14,False
1774,3,208,,208,,14,14,True
1776,3,67,,110,,132,1,False
1778,3,64,,110,,124,1,False
1833,4,220,,220,,3,3,True
1835,4,184,,110,,111,1,False
1837,3,221,,110,,14,1,False
1839,3,27,,110,,137,1,False
1856,4,22,,225,,37,15,False
1858,3,225,,225,,15,15,True
1866,4,32,,226,,8,11,False
1868,4,29,,226,,129,11,False
1870,3,226,,226,,11,11,True
1872,3,112,,110,,151,1,False
1887,4,228,,110,,7,1,False
1889,4,145,,110,,106,1,False
1902,3,229,,110,,12,1,False
1904,3,99,,110,,113,1,False
1933,4,233,,235,,1,2,False
1935,4,212,,235,,63,2,False
1937,3,235,,235,,2,2,True
1939,3,23,,110,,2,1,False
1941,2,200,,110,,111,1,False
1955,2,237,,237,,5,5,True
1957,2,173,,110,,116,1,False
1977,6,170,,241,,34,7,False
1979,5,239,,241,,4,7,False
1981,5,183,,241,,124,7,False
1983,4,240,,241,,17,7,False
1985,4,20,,241,,36,7,False
1987,4,16,,241,,136,7,False
1998,3,241,,241,,7,7,True
2000,3,153,,110,,108,1,False
2041,8,242,,250,,7,11,False
2043,8,162,,250,,61,11,False
2045,7,246,,250,,17,11,False
2047,7,15,,250,,63,11,False
2049,6,247,,250,,7,11,False
2051,6,172,,250,,60,11,False
2053,5,248,,250,,2,11,False
2055,5,249,,250,,14,11,False
2057,5,92,,250,,157,11,False
2066,4,250,,110,,11,1,False
2068,4,122,,110,,62,1,False
2070,3,251,,110,,9,1,False
2072,2,231,,110,,61,1,False
2074,1,110,,110,,1,1,True
2076,1,150,,150,,62,62,True
2107,1,255,,255,,7,7,True
2109,1,159,,159,,158,158,True
2131,3,258,,260,,5,4,False
2133,3,189,,260,,124,4,False
2135,2,259,,260,,4,4,False
2137,2,199,,260,,63,4,False
2139,1,260,,260,,4,4,True
2141,1,222,,222,,63,63,True
2168,3,263,,264,,8,6,False
2170,3,164,,264,,176,6,False
2172,2,264,,264,,6,6,True
2174,2,186,,265,,110,4,False
2185,1,265,,265,,4,4,True
2187,1,218,,218,,111,111,True
2215,1,270,,270,,7,7,True
2217,1,180,,180,,161,161,True
2238,2,271,,274,,1,5,False
2240,2,269,,274,,61,5,False
2248,2,274,,274,,5,5,True
2250,2,215,,275,,60,19,False
2252,2,209,,275,,3,19,False
2254,1,275,,275,,19,19,True
2256,1,33,,33,,126,126,True
2269,1,277,,277,,13,13,True
2271,1,124,,124,,62,62,True
2292,4,279,,279,,12,12,True
2294,4,142,,281,,105,6,False
2296,3,280,,281,,5,6,False
2298,3,223,,281,,141,6,False
