frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
598,5,3,,3,,1,1,True
600,4,44,,44,,56,56,True
602,4,40,,40,,55,55,True
604,3,54,,54,,17,17,True
606,3,50,,50,,94,94,True
628,4,75,,75,,1,1,True
630,4,49,,49,,137,137,True
632,3,76,,76,,1,1,True
634,3,28,,28,,62,62,True
653,5,78,,78,,1,1,True
655,5,6,,6,,62,62,True
657,4,79,,79,,1,1,True
659,4,14,,14,,61,61,True
661,3,81,,81,,2,2,True
663,3,2,,2,,105,105,True
691,4,83,,83,,3,3,True
693,4,55,,55,,111,111,True
695,3,84,,84,,132,132,True
697,2,86,,86,,3,3,True
699,2,69,,69,,14,14,True
732,3,66,,66,,123,123,True
734,2,87,,87,,1,1,True
736,2,82,,82,,2,2,True
738,2,21,,21,,133,133,True
760,3,91,,91,,3,3,True
762,3,71,,71,,31,31,True
764,3,68,,68,,106,106,True
766,2,94,,94,,3,3,True
768,2,52,,52,,131,131,True
789,2,95,,95,,3,3,True
791,2,74,,74,,111,111,True
793,1,96,,96,,3,3,True
795,1,24,,24,,111,111,True
821,4,19,,19,,85,85,True
845,5,101,,101,,3,3,True
847,4,102,,102,,4,4,True
849,4,48,,48,,61,61,True
851,3,103,,103,,4,4,True
853,3,37,,37,,62,62,True
879,3,105,,105,,1,1,True
881,3,93,,93,,60,60,True
883,2,106,,106,,4,4,True
885,2,5,,5,,150,150,True
907,2,108,,108,,4,4,True
909,2,10,,10,,132,132,True
911,2,7,,7,,78,78,True
926,2,111,,111,,5,5,True
928,2,51,,51,,29,29,True
930,2,46,,46,,34,34,True
965,6,113,,113,,5,5,True
967,6,8,,8,,175,175,True
969,5,115,,115,,5,5,True
971,5,60,,60,,60,60,True
973,4,116,,116,,5,5,True
975,4,13,,13,,2,2,True
977,4,9,,9,,61,61,True
993,3,117,,117,,6,6,True
995,2,118,,118,,2,2,True
997,2,110,,110,,63,63,True
999,1,119,,119,,6,6,True
1001,1,30,,30,,126,126,True
1035,2,26,,26,,55,55,True
1069,5,124,,124,,3,3,True
1071,5,100,,100,,110,110,True
1073,4,127,,127,,7,7,True
1075,4,63,,63,,118,118,True
1077,3,128,,128,,4,4,True
1079,3,85,,85,,114,114,True
1088,2,129,,129,,1,1,True
1090,2,126,,126,,62,62,True
1092,1,130,,130,,6,6,True
1094,1,77,,77,,196,196,True
1155,3,137,,137,,7,7,True
1157,3,36,,36,,120,120,True
1159,2,138,,138,,1,1,True
1161,2,123,,123,,62,62,True
1174,2,140,,140,,1,1,True
1176,2,133,,133,,61,61,True
1178,1,141,,141,,7,7,True
1180,1,70,,70,,134,134,True
1207,2,144,,144,,6,6,True
1209,2,80,,80,,163,163,True
1211,1,146,,146,,8,8,True
1213,1,39,,39,,147,147,True
1231,2,34,,34,,16,16,True
1233,1,149,,149,,7,7,True
1235,1,73,,73,,129,129,True
1262,2,151,,151,,5,5,True
1264,2,90,,90,,6,6,True
1266,2,88,,88,,56,56,True
1290,2,152,,152,,4,4,True
1292,2,114,,114,,106,106,True
1294,1,155,,155,,2,2,True
1296,1,135,,135,,202,202,True
1321,4,131,,131,,45,45,True
1323,3,158,,158,,2,2,True
1325,3,139,,139,,61,61,True
1327,2,159,,159,,10,10,True
1329,2,41,,41,,136,136,True
1331,2,38,,38,,108,108,True
1361,2,160,,160,,6,6,True
1363,2,57,,57,,60,60,True
1365,1,163,,163,,120,120,True
1367,1,161,,161,,97,97,True
1386,1,166,,166,,10,10,True
1388,1,62,,62,,104,104,True
1406,2,58,,58,,18,18,True
1408,1,168,,168,,3,3,True
1410,1,143,,143,,109,109,True
1428,3,170,,170,,3,3,True
1430,3,150,,150,,133,133,True
1432,2,171,,171,,10,10,True
1434,2,17,,17,,55,55,True
1436,2,12,,12,,127,127,True
1476,4,172,,172,,7,7,True
1478,4,109,,109,,146,146,True
1480,3,177,,177,,4,4,True
1482,3,132,,132,,148,148,True
1491,2,178,,178,,8,8,True
1493,2,97,,97,,63,63,True
1495,1,179,,179,,1,1,True
1497,1,164,,164,,137,137,True
1513,1,182,,182,,5,5,True
1515,1,142,,142,,175,175,True
1532,2,184,,184,,4,4,True
1534,2,147,,147,,121,121,True
1536,1,185,,185,,11,11,True
1538,1,4,,4,,109,109,True
1558,1,188,,188,,12,12,True
1560,1,56,,56,,61,61,True
1577,2,190,,190,,8,8,True
1579,2,104,,104,,131,131,True
1597,2,191,,191,,5,5,True
1599,2,136,,136,,1,1,True
1601,1,193,,193,,12,12,True
1603,1,72,,72,,62,62,True
1617,2,195,,195,,9,9,True
1619,2,107,,107,,120,120,True
1621,1,196,,196,,10,10,True
1623,1,98,,98,,153,153,True
1647,2,199,,199,,7,7,True
1649,2,121,,121,,14,14,True
1651,2,120,,120,,256,256,True
1689,3,23,,23,,2,2,True
1691,2,200,,200,,1,1,True
1693,2,194,,194,,61,61,True
1695,1,205,,205,,13,13,True
1697,1,59,,59,,176,176,True
1714,2,53,,53,,2,2,True
1716,1,208,,208,,14,14,True
1718,1,45,,45,,157,157,True
1744,2,210,,210,,2,2,True
1746,2,181,,181,,209,209,True
1748,2,180,,180,,256,256,True
1790,1,211,,211,,14,14,True
1792,1,67,,67,,132,132,True
1794,1,64,,64,,124,124,True
1849,2,223,,223,,3,3,True
1851,2,187,,187,,111,111,True
1853,1,224,,224,,14,14,True
1855,1,27,,27,,137,137,True
1878,3,22,,22,,37,37,True
1880,2,228,,228,,15,15,True
1882,2,32,,32,,8,8,True
1884,2,29,,29,,129,129,True
1886,1,229,,229,,11,11,True
1888,1,112,,112,,151,151,True
1903,2,231,,231,,7,7,True
1905,2,148,,148,,106,106,True
1918,1,232,,232,,12,12,True
1920,1,99,,99,,113,113,True
1949,2,236,,236,,1,1,True
1951,2,215,,215,,63,63,True
1953,1,238,,238,,2,2,True
1955,1,203,,203,,111,111,True
1969,1,240,,240,,5,5,True
1971,1,176,,176,,116,116,True
1991,5,173,,173,,34,34,True
1993,4,242,,242,,4,4,True
1995,4,186,,186,,124,124,True
1997,3,243,,243,,17,17,True
1999,3,20,,20,,36,36,True
2001,3,16,,16,,136,136,True
2012,2,244,,244,,7,7,True
2014,2,156,,156,,108,108,True
2056,7,245,,245,,7,7,True
2058,7,165,,165,,61,61,True
2060,6,249,,249,,17,17,True
2062,6,15,,15,,63,63,True
2064,5,250,,250,,7,7,True
2066,5,175,,175,,60,60,True
2068,4,251,,251,,2,2,True
2070,4,234,,234,,61,61,True
2079,3,252,,252,,14,14,True
2081,3,92,,92,,157,157,True
2083,2,253,,253,,11,11,True
2085,2,122,,122,,62,62,True
2087,1,254,,254,,9,9,True
2089,1,153,,153,,9,9,True
2120,2,134,,134,,53,53,True
2122,1,258,,258,,7,7,True
2124,1,162,,162,,158,158,True
2146,3,261,,261,,5,5,True
2148,3,192,,192,,124,124,True
2150,2,262,,262,,4,4,True
2152,2,202,,202,,63,63,True
2154,1,263,,263,,4,4,True
2156,1,225,,225,,63,63,True
2183,3,266,,266,,8,8,True
2185,3,167,,167,,176,176,True
2187,2,267,,267,,6,6,True
2189,2,189,,189,,110,110,True
2200,1,268,,268,,4,4,True
2202,1,221,,221,,111,111,True
2230,1,273,,273,,7,7,True
2232,1,183,,183,,161,161,True
2253,2,274,,274,,1,1,True
2255,2,272,,272,,61,61,True
2263,2,277,,277,,5,5,True
2265,2,218,,218,,60,60,True
2267,2,212,,212,,3,3,True
2269,1,278,,278,,19,19,True
2271,1,33,,33,,126,126,True
2284,1,280,,280,,13,13,True
2286,1,125,,125,,62,62,True
2307,4,282,,282,,12,12,True
2309,4,145,,145,,105,105,True
2311,3,283,,283,,5,5,True
2313,3,226,,226,,141,141,True
2324,2,284,,284,,6,6,True
2326,2,219,,219,,61,61,True
2328,1,285,,285,,6,6,True
2330,1,230,,230,,252,252,True
2371,1,291,,291,,3,3,True
2373,1,247,,247,,58,58,True
2375,1,246,,246,,256,256,True
2399,3,294,,294,,5,5,True
2401,3,241,,241,,60,60,True
2403,2,295,,295,,20,20,True
2405,2,11,,11,,61,61,True
2407,1,296,,296,,3,3,True
2409,1,259,,259,,137,137,True
2434,1,299,,299,,4,4,True
2436,1,270,,270,,182,182,True
2455,1,300,,300,,8,8,True
2457,1,204,,204,,57,57,True
2459,1,201,,201,,80,80,True
2472,1,304,,304,,7,7,True
2474,1,213,,213,,63,63,True
2491,3,306,,306,,19,19,True
2493,3,89,,89,,199,199,True
2495,2,307,,307,,12,12,True
2497,2,169,,169,,61,61,True
2511,1,308,,308,,7,7,True
2513,1,235,,235,,60,60,True
2531,1,312,,312,,8,8,True
2533,1,222,,222,,123,123,True
2562,2,314,,314,,2,2,True
2564,2,292,,292,,63,63,True
2566,1,311,,311,,67,67,True
2568,1,309,,309,,195,195,True
2584,2,315,,315,,22,22,True
2586,2,18,,18,,63,63,True
2588,1,316,,316,,4,4,True
2590,1,271,,271,,41,41,True
2592,1,269,,269,,73,73,True
2650,2,323,,323,,2,2,True
2652,2,293,,293,,111,111,True
2654,1,325,,325,,23,23,True
2661,1,47,,47,,21,21,True
2663,1,43,,43,,41,41,True
2683,3,327,,327,,8,8,True
2685,3,214,,214,,63,63,True
2687,2,328,,328,,23,23,True
2689,2,35,,35,,55,55,True
2691,2,31,,31,,120,120,True
2705,1,329,,329,,8,8,True
2707,1,239,,239,,145,145,True
2738,1,335,,335,,7,7,True
2740,1,248,,248,,113,113,True
2757,2,337,,337,,23,23,True
2759,2,65,,65,,131,131,True
2761,2,61,,61,,30,30,True
2763,1,338,,338,,24,24,True
2765,1,25,,25,,105,105,True
2801,1,342,,342,,1,1,True
2803,1,324,,324,,109,109,True
2823,2,344,,344,,5,5,True
2825,2,279,,279,,167,167,True
2827,1,345,,345,,10,10,True
2829,1,227,,227,,105,105,True
2842,1,346,,346,,3,3,True
2844,1,305,,305,,133,133,True
2878,3,351,,351,,7,7,True
2880,3,260,,260,,61,61,True
2882,2,352,,352,,24,24,True
2884,2,42,,42,,63,63,True
2886,1,353,,353,,3,3,True
2888,1,302,,302,,109,109,True
2916,2,356,,356,,6,6,True
2918,2,265,,265,,20,20,True
2920,2,264,,264,,256,256,True
2937,1,357,,357,,5,5,True
2939,1,288,,288,,58,58,True
2941,1,286,,286,,256,256,True
2975,1,364,,364,,12,12,True
2977,1,207,,207,,182,182,True
3000,1,367,,367,,7,7,True
3002,1,276,,276,,122,122,True
3015,1,369,,369,,4,4,True
3017,1,313,,313,,62,62,True
3026,1,371,,371,,1,1,True
3028,1,370,,370,,130,130,True
3043,1,373,,373,,9,9,True
3045,1,257,,257,,69,69,True
3057,2,256,,256,,256,256,True
3059,2,255,,255,,256,256,True
3094,1,374,,374,,3,3,True
3096,1,336,,336,,106,106,True
3137,1,384,,384,,6,6,True
3139,1,298,,298,,62,62,True
3141,1,297,,297,,256,256,True
3166,2,388,,388,,4,4,True
3168,2,332,,332,,156,156,True
3170,1,389,,389,,8,8,True
3172,1,275,,275,,62,62,True
3188,1,391,,391,,5,5,True
3190,1,310,,310,,60,60,True
3199,1,393,,393,,1,1,True
3201,1,377,,377,,127,127,True
3221,2,394,,394,,11,11,True
3223,2,237,,237,,61,61,True
3225,1,395,,395,,7,7,True
3227,1,289,,289,,62,62,True
3245,2,397,,397,,5,5,True
3247,2,343,,343,,63,63,True
3249,1,398,,398,,2,2,True
3251,1,381,,381,,61,61,True
3269,2,400,,400,,6,6,True
3271,2,318,,318,,106,106,True
3273,1,401,,401,,7,7,True
