frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
730,1,3,,3,,1,1,True
732,1,2,,2,,209,209,True
827,18,4,,85,,210,1,False
829,17,75,,85,,1,1,False
831,17,19,,85,,16,1,False
833,16,76,,85,,1,1,False
835,16,24,,85,,16,1,False
837,15,77,,85,,1,1,False
839,15,39,,85,,16,1,False
908,28,78,,93,,1,1,False
910,28,42,,93,,16,1,False
912,27,79,,93,,1,1,False
914,27,45,,93,,16,1,False
916,26,80,,93,,1,1,False
918,26,51,,93,,16,1,False
920,25,81,,93,,1,1,False
922,25,56,,93,,16,1,False
924,24,82,,93,,1,1,False
926,24,62,,93,,16,1,False
928,23,83,,93,,1,1,False
930,23,64,,93,,16,1,False
932,22,84,,93,,1,1,False
934,22,67,,93,,16,1,False
936,21,85,,93,,1,1,False
938,21,68,,93,,16,1,False
940,20,23,,93,,9,1,False
942,20,18,,93,,8,1,False
944,19,26,,93,,173,1,False
976,19,86,,93,,1,1,False
978,19,33,,93,,16,1,False
980,18,49,,93,,65,1,False
982,18,87,,93,,1,1,False
984,18,59,,93,,46,1,False
986,18,88,,93,,1,1,False
988,18,63,,93,,16,1,False
990,17,6,,93,,210,1,False
1093,15,89,,93,,1,1,False
1095,15,10,,93,,16,1,False
1097,14,90,,93,,1,1,False
1099,14,14,,93,,16,1,False
1101,14,17,,93,,17,1,False
1103,13,91,,93,,1,1,False
1105,13,21,,93,,16,1,False
1107,12,29,,93,,17,1,False
1109,11,92,,93,,1,1,False
1111,11,31,,93,,16,1,False
1113,10,93,,93,,1,1,True
1115,10,38,,50,,16,163,False
1117,9,94,,50,,1,163,False
1119,9,43,,50,,16,163,False
1121,8,95,,50,,1,163,False
1123,8,44,,50,,16,163,False
1125,8,96,,50,,1,163,False
1127,8,54,,50,,16,163,False
1129,7,97,,50,,1,163,False
1131,7,65,,50,,16,163,False
1133,6,98,,50,,1,163,False
1135,6,66,,50,,16,163,False
1137,6,99,,50,,1,163,False
1139,6,69,,50,,16,163,False
1141,5,40,,50,,145,163,False
1191,4,50,,53,,163,2,False
1193,3,53,,53,,2,2,True
1195,3,46,,46,,191,191,True
1289,1,13,,13,,102,102,True
1291,1,7,,7,,91,91,True
1363,7,8,,52,,164,17,False
1365,7,12,,52,,17,17,False
1367,7,34,,52,,17,17,False
1369,6,41,,52,,17,17,False
1371,6,52,,52,,17,17,True
1373,5,55,,61,,17,1,False
1375,5,61,,61,,1,1,True
1377,5,57,,5,,16,46,False
1396,4,16,,58,,56,25,False
1398,4,9,,58,,137,25,False
1400,3,48,,58,,18,25,False
1402,3,30,,58,,175,25,False
1416,2,5,,58,,46,25,False
1418,1,58,,58,,25,25,True
1420,1,35,,35,,168,168,True
1514,3,72,,136,,17,1,False
1516,2,136,,136,,1,1,True
1518,2,74,,73,,16,17,False
1520,1,73,,73,,17,17,True
1522,1,70,,70,,193,193,True
1574,6,139,,144,,1,1,False
1576,6,119,,144,,4,1,False
1578,6,114,,144,,12,1,False
1580,6,140,,144,,1,1,False
1582,6,124,,144,,16,1,False
1584,5,141,,144,,1,1,False
1586,5,104,,144,,16,1,False
1588,4,142,,144,,1,1,False
1590,4,116,,144,,209,1,False
1629,8,143,,144,,1,1,False
1631,8,120,,144,,209,1,False
1633,7,144,,144,,1,1,True
1635,7,125,,20,,16,130,False
1637,6,146,,20,,1,130,False
1639,6,105,,20,,16,130,False
1641,6,147,,20,,1,130,False
1643,6,108,,20,,16,130,False
1669,6,148,,20,,1,130,False
1671,6,112,,20,,16,130,False
1673,5,115,,20,,16,130,False
1675,5,109,,20,,1,130,False
1677,4,149,,20,,1,130,False
1679,4,126,,20,,16,130,False
