frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
1042,1,3,,3,,1,1,True
1083,1,84,,84,,210,210,True
1181,1,109,,109,,1,1,True
1183,1,2,,2,,209,209,True
1316,24,112,,121,,1,1,False
1318,24,24,,121,,16,1,False
1320,23,113,,121,,1,1,False
1322,23,42,,121,,16,1,False
1324,22,114,,121,,1,1,False
1326,22,45,,121,,16,1,False
1328,21,115,,121,,1,1,False
1330,21,51,,121,,16,1,False
1332,20,116,,121,,1,1,False
1334,20,56,,121,,16,1,False
1336,19,117,,121,,1,1,False
1338,19,62,,121,,16,1,False
1340,18,118,,121,,1,1,False
1342,18,64,,121,,16,1,False
1344,17,119,,121,,1,1,False
1346,17,69,,121,,16,1,False
1348,16,120,,121,,1,1,False
1350,16,70,,121,,16,1,False
1352,15,121,,121,,1,1,True
1354,15,95,,126,,16,1,False
1356,14,122,,126,,1,1,False
1358,14,101,,126,,16,1,False
1360,13,123,,126,,1,1,False
1362,13,19,,126,,16,1,False
1364,12,124,,126,,1,1,False
1366,12,39,,126,,16,1,False
1368,11,125,,126,,1,1,False
1370,11,33,,126,,16,1,False
1372,10,126,,126,,1,1,True
1374,10,59,,127,,46,1,False
1489,30,127,,6,,1,17,False
1491,30,63,,6,,16,17,False
1493,29,128,,6,,1,17,False
1495,29,79,,6,,16,17,False
1497,28,129,,6,,1,17,False
1499,28,93,,6,,209,17,False
1501,27,130,,6,,1,17,False
1503,27,97,,6,,203,17,False
1666,26,131,,6,,1,17,False
1668,26,102,,6,,16,17,False
1670,25,23,,6,,9,17,False
1672,25,18,,6,,8,17,False
1674,24,26,,6,,17,17,False
1676,23,49,,6,,65,17,False
1678,23,4,,6,,17,17,False
1680,22,133,,6,,1,17,False
1682,22,10,,6,,16,17,False
1684,21,134,,6,,1,17,False
1686,21,14,,6,,16,17,False
1688,20,135,,6,,1,17,False
1690,20,21,,6,,16,17,False
1692,19,136,,6,,1,17,False
1694,19,31,,6,,16,17,False
1696,18,137,,6,,1,17,False
1698,18,38,,6,,16,17,False
1700,17,138,,6,,1,17,False
1702,17,43,,6,,16,17,False
1704,16,139,,6,,1,17,False
1706,16,44,,6,,16,17,False
1708,15,140,,6,,1,17,False
1710,15,54,,6,,16,17,False
1750,14,141,,6,,1,17,False
1752,14,65,,6,,16,17,False
1754,13,142,,6,,1,17,False
1756,13,66,,6,,16,17,False
1758,12,143,,6,,1,17,False
1760,12,71,,6,,16,17,False
1762,11,144,,6,,1,17,False
1764,11,76,,6,,16,17,False
1766,10,145,,6,,1,17,False
