frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
208,6,23,,33,,1,5,False
210,6,6,,33,,62,5,False
212,5,25,,33,,4,5,False
214,5,15,,33,,63,5,False
225,5,27,,33,,4,5,False
227,5,3,,33,,1,5,False
229,5,2,,33,,63,5,False
231,4,29,,33,,5,5,False
233,4,16,,33,,32,5,False
235,4,13,,33,,143,5,False
246,4,31,,37,,5,5,False
248,4,20,,37,,40,5,False
250,4,18,,37,,92,5,False
275,11,33,,37,,5,5,False
277,11,17,,37,,63,5,False
279,10,35,,37,,6,5,False
281,10,8,,37,,174,5,False
288,11,37,,37,,5,5,True
290,11,24,,40,,174,8,False
298,12,39,,40,,6,8,False
300,12,19,,40,,163,8,False
305,12,40,,40,,8,8,True
307,12,12,,48,,62,7,False
312,12,41,,48,,3,7,False
314,12,36,,48,,173,7,False
319,12,42,,48,,5,7,False
