frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
200,3,2,,2,,137,137,True
224,12,3,,4,,138,137,False
228,12,27,,4,,1,137,False
230,12,18,,4,,137,137,False
235,12,4,,4,,137,137,True
239,12,6,,17,,137,79,False
295,12,8,,17,,19,79,False
297,12,5,,17,,118,79,False
301,12,14,,17,,59,79,False
303,12,10,,17,,78,79,False
307,12,17,,17,,79,79,True
311,13,13,,20,,58,99,False
313,12,23,,20,,119,99,False
317,13,19,,20,,18,99,False
319,12,24,,20,,1,99,False
321,12,22,,20,,136,99,False
326,12,9,,33,,137,19,False
330,12,11,,33,,39,19,False
332,12,7,,33,,98,19,False
