frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
234,1,3,,3,,1,1,True
236,1,2,,2,,291,291,True
321,6,35,,36,,1,1,False
323,6,36,,36,,1,1,True
325,6,37,,39,,1,2,False
327,6,38,,39,,1,2,False
329,6,24,,39,,33,2,False
331,5,39,,39,,2,2,True
333,5,16,,40,,33,1,False
335,4,40,,40,,1,1,True
337,4,21,,5,,292,33,False
339,3,13,,5,,33,33,False
341,2,5,,5,,33,33,True
343,1,9,,9,,33,33,True
420,7,46,,47,,1,1,False
422,7,7,,47,,292,1,False
424,6,47,,47,,1,1,True
426,6,10,,48,,292,1,False
480,9,48,,60,,1,1,False
482,9,15,,60,,217,1,False
484,9,49,,60,,1,1,False
486,9,18,,60,,289,1,False
488,9,50,,60,,1,1,False
490,9,20,,60,,69,1,False
504,9,51,,60,,1,1,False
506,9,28,,60,,34,1,False
508,8,52,,60,,1,1,False
510,8,59,,60,,1,1,False
512,8,4,,60,,34,1,False
514,7,60,,60,,1,1,True
516,7,12,,62,,34,1,False
518,6,61,,62,,1,1,False
520,6,23,,62,,34,1,False
522,6,62,,62,,1,1,True
524,6,26,,11,,214,75,False
526,6,29,,11,,34,75,False
528,5,11,,11,,75,75,True
530,4,17,,17,,223,223,True
599,2,27,,22,,107,78,False
601,2,19,,22,,151,78,False
603,1,22,,22,,78,78,True
736,2,84,,84,,2,2,True
738,2,34,,85,,33,1,False
740,1,85,,85,,1,1,True
742,1,32,,32,,292,292,True
765,1,86,,86,,1,1,True
767,1,33,,33,,34,34,True
786,4,89,,90,,1,1,False
788,4,55,,90,,33,1,False
790,3,90,,90,,1,1,True
792,3,58,,92,,33,1,False
794,3,91,,92,,1,1,False
796,3,67,,92,,71,1,False
798,3,92,,92,,1,1,True
800,3,77,,45,,33,38,False
802,3,45,,45,,38,38,True
804,3,6,,63,,220,220,False
806,2,42,,63,,258,220,False
830,3,93,,93,,2,2,True
832,3,54,,63,,33,220,False
834,3,94,,63,,1,220,False
836,3,56,,63,,34,220,False
838,2,41,,63,,258,220,False
840,1,63,,63,,220,220,True
933,14,103,,103,,1,1,True
935,14,53,,107,,292,1,False
937,13,104,,107,,1,1,False
939,13,57,,107,,34,1,False
941,12,105,,107,,1,1,False
943,12,65,,107,,292,1,False
958,12,106,,107,,1,1,False
960,12,68,,107,,34,1,False
962,12,107,,107,,1,1,True
964,12,70,,116,,292,1,False
966,11,108,,116,,2,1,False
968,11,71,,116,,33,1,False
970,11,109,,116,,1,1,False
972,11,74,,116,,282,1,False
999,11,110,,66,,1,10,False
1001,11,76,,66,,34,10,False
1003,10,111,,66,,1,10,False
1005,10,78,,66,,292,10,False
1007,9,112,,66,,1,10,False
1009,9,79,,66,,165,10,False
1011,9,113,,66,,1,10,False
1013,9,69,,66,,34,10,False
1048,8,114,,66,,1,10,False
1050,8,72,,66,,34,10,False
1052,8,115,,66,,1,10,False
1054,8,81,,66,,34,10,False
1056,7,116,,66,,1,10,False
1058,7,82,,66,,34,10,False
1060,6,117,,66,,1,10,False
1062,6,83,,66,,34,10,False
1064,6,31,,66,,258,10,False
1066,5,64,,66,,103,10,False
1068,5,25,,66,,155,10,False
1154,4,44,,66,,110,10,False
1156,4,8,,66,,148,10,False
1158,3,66,,66,,10,10,True
1160,2,75,,30,,124,258,False
1162,2,14,,30,,3,258,False
1164,1,30,,30,,258,258,True
1279,2,145,,145,,1,1,True
1281,2,87,,146,,34,1,False
1283,1,146,,146,,1,1,True
1285,1,88,,88,,34,34,True
1316,4,149,,149,,1,1,True
1318,4,97,,151,,292,1,False
1331,5,150,,151,,1,1,False
1333,5,100,,151,,34,1,False
1335,4,151,,151,,1,1,True
1337,4,101,,154,,292,2,False
1339,3,152,,154,,1,2,False
1341,3,102,,154,,34,2,False
1343,2,153,,154,,1,2,False
1345,2,99,,154,,34,2,False
1347,1,154,,154,,2,2,True
1349,1,126,,126,,145,145,True
1376,3,155,,156,,2,2,False
1378,3,132,,156,,251,2,False
1380,3,156,,156,,2,2,True
1382,3,142,,120,,21,146,False
1384,3,140,,120,,270,146,False
1404,1,120,,120,,146,146,True
1496,9,166,,173,,2,1,False
1498,9,122,,173,,72,1,False
1500,9,167,,173,,1,1,False
1502,9,128,,173,,34,1,False
1504,8,168,,173,,1,1,False
1506,8,129,,173,,34,1,False
1508,8,169,,173,,1,1,False
1510,8,133,,173,,34,1,False
1512,8,170,,173,,1,1,False
1514,8,134,,173,,34,1,False
1516,7,171,,173,,1,1,False
1518,7,136,,173,,100,1,False
1520,7,172,,173,,1,1,False
1522,7,137,,173,,292,1,False
1550,11,173,,177,,1,1,False
1552,11,138,,177,,34,1,False
1554,11,174,,177,,2,1,False
1556,11,141,,177,,241,1,False
1558,11,177,,177,,1,1,True
1560,11,119,,181,,34,1,False
1562,11,178,,181,,1,1,False
1564,11,123,,181,,34,1,False
1566,10,179,,181,,1,1,False
1568,10,139,,181,,34,1,False
1570,9,180,,181,,1,1,False
1572,9,143,,181,,34,1,False
1574,8,181,,181,,1,1,True
1576,8,144,,118,,34,219,False
1578,8,130,,118,,192,219,False
1617,6,96,,125,,258,258,False
1619,5,43,,125,,258,258,False
1690,3,125,,125,,258,258,True
1692,2,118,,118,,219,219,True
1694,1,127,,127,,258,258,True
1831,2,206,,206,,1,1,True
1833,2,147,,207,,34,2,False
1835,1,207,,207,,2,2,True
1837,1,148,,148,,33,33,True
1839,1,80,,80,,28,28,True
1841,1,73,,73,,230,230,True
1880,6,210,,212,,1,1,False
1882,6,160,,212,,34,1,False
1942,11,211,,217,,1,1,False
1944,11,163,,217,,34,1,False
1946,10,212,,217,,1,1,False
1948,10,164,,217,,34,1,False
1950,9,213,,217,,1,1,False
1952,9,184,,217,,33,1,False
1954,8,214,,217,,1,1,False
1956,8,198,,217,,26,1,False
1958,8,189,,217,,7,1,False
1960,8,215,,217,,1,1,False
1962,8,203,,217,,241,1,False
1964,8,216,,217,,1,1,False
1966,8,158,,217,,34,1,False
1968,7,217,,217,,1,1,True
1970,7,161,,218,,34,1,False
1972,7,218,,218,,1,1,True
1974,7,165,,219,,252,2,False
2037,16,219,,131,,2,146,False
2039,16,220,,131,,1,146,False
2041,16,199,,131,,34,146,False
2043,15,221,,131,,2,146,False
2045,15,200,,131,,33,146,False
2047,14,223,,131,,1,146,False
2049,14,175,,131,,34,146,False
2051,13,224,,131,,1,146,False
2053,13,183,,131,,34,146,False
2055,13,225,,131,,1,146,False
2057,13,188,,131,,34,146,False
2059,12,226,,131,,1,146,False
2061,12,195,,131,,34,146,False
2063,11,227,,131,,1,146,False
2065,11,196,,131,,292,146,False
2067,10,228,,131,,1,146,False
2069,10,201,,131,,34,146,False
2135,8,229,,194,,1,33,False
2137,8,202,,194,,34,33,False
2139,7,230,,194,,1,33,False
2141,7,204,,194,,187,33,False
2143,7,231,,194,,1,33,False
2145,7,205,,194,,292,33,False
2202,4,194,,194,,33,33,True
2204,3,186,,131,,258,146,False
2206,2,197,,131,,105,146,False
2208,1,131,,131,,146,146,True
2360,2,255,,98,,1,112,False
2362,2,187,,98,,34,112,False
2364,2,190,,98,,72,112,False
2366,2,182,,98,,186,112,False
2368,1,98,,98,,112,112,True
2418,2,261,,262,,2,1,False
2420,2,209,,262,,291,1,False
2422,1,262,,262,,1,1,True
2431,1,208,,208,,34,34,True
2468,3,264,,266,,1,2,False
2470,3,252,,266,,216,2,False
2472,3,265,,266,,2,2,False
2474,3,235,,266,,33,2,False
2476,2,266,,266,,2,2,True
2478,2,253,,249,,33,25,False
2480,1,249,,249,,25,25,True
2482,1,135,,135,,50,50,True
2569,12,268,,273,,1,1,False
2571,12,234,,273,,34,1,False
2573,11,269,,273,,2,1,False
2575,11,236,,273,,291,1,False
2577,10,270,,273,,1,1,False
2579,10,237,,273,,34,1,False
2581,9,271,,273,,1,1,False
2583,9,238,,273,,34,1,False
2585,9,272,,273,,1,1,False
2587,9,240,,273,,34,1,False
2589,8,273,,273,,1,1,True
2591,8,241,,276,,34,1,False
2593,8,274,,276,,1,1,False
2595,8,242,,276,,34,1,False
2597,7,275,,276,,1,1,False
2599,7,246,,276,,292,1,False
2645,10,276,,276,,1,1,True
2647,10,248,,277,,34,1,False
2649,9,277,,277,,1,1,True
2651,9,250,,288,,234,1,False
2653,9,278,,288,,1,1,False
2655,9,251,,288,,252,1,False
2724,9,279,,124,,1,40,False
2726,9,254,,124,,34,40,False
2728,8,285,,124,,1,40,False
2730,8,243,,124,,34,40,False
2732,8,286,,124,,1,40,False
2734,8,287,,124,,1,40,False
2736,8,247,,124,,34,40,False
2738,7,288,,124,,1,40,False
2740,7,260,,124,,33,40,False
2742,6,245,,124,,34,40,False
2744,5,222,,124,,258,40,False
2746,4,121,,124,,38,40,False
2748,4,95,,124,,220,40,False
2806,3,124,,124,,40,40,True
2808,2,244,,244,,58,58,True
2810,1,192,,192,,146,146,True
2812,1,159,,159,,112,112,True
2943,3,315,,316,,1,1,False
2945,3,257,,316,,34,1,False
2947,2,316,,316,,1,1,True
2949,2,258,,317,,34,1,False
2951,2,317,,317,,1,1,True
2953,2,259,,191,,34,39,False
2955,2,233,,191,,145,39,False
2957,2,185,,191,,113,39,False
2959,1,191,,191,,39,39,True
2961,1,157,,157,,219,219,True
3087,17,325,,338,,1,1,False
3089,17,263,,338,,34,1,False
3091,16,326,,338,,1,1,False
3093,16,281,,338,,34,1,False
3095,16,327,,338,,1,1,False
3097,16,282,,338,,34,1,False
3099,16,328,,338,,1,1,False
3101,16,283,,338,,34,1,False
3103,15,329,,338,,2,1,False
3105,15,297,,338,,33,1,False
3107,14,330,,338,,1,1,False
3109,14,280,,338,,34,1,False
3111,13,331,,338,,1,1,False
3113,13,291,,338,,34,1,False
3115,13,332,,338,,1,1,False
3117,13,298,,338,,34,1,False
3119,13,333,,338,,1,1,False
3121,13,299,,338,,34,1,False
3123,13,334,,338,,1,1,False
3125,13,300,,338,,292,1,False
3170,16,335,,340,,1,1,False
3172,16,304,,340,,34,1,False
3174,15,336,,340,,2,1,False
3176,15,305,,340,,33,1,False
3178,14,337,,340,,1,1,False
3180,14,306,,340,,34,1,False
3182,13,338,,340,,1,1,False
3184,13,307,,340,,34,1,False
3186,12,339,,340,,1,1,False
3188,12,312,,340,,34,1,False
3190,11,340,,340,,1,1,True
3192,11,313,,344,,34,1,False
3194,10,341,,344,,1,1,False
3196,10,314,,344,,287,1,False
3198,10,342,,344,,1,1,False
3200,10,292,,344,,34,1,False
3236,9,343,,344,,1,1,False
3238,9,293,,344,,34,1,False
3240,8,344,,344,,1,1,True
3242,8,303,,345,,26,1,False
3244,8,294,,345,,8,1,False
3246,8,345,,345,,1,1,True
3248,8,308,,176,,34,258,False
3250,8,346,,176,,1,258,False
3252,8,310,,176,,34,258,False
3254,7,296,,176,,58,258,False
3256,7,239,,176,,200,258,False
3258,6,290,,176,,258,258,False
3336,4,193,,176,,258,258,False
3338,3,309,,176,,5,258,False
3340,2,176,,176,,258,258,True
3482,1,162,,162,,258,258,True
3523,2,375,,375,,1,1,True
3525,2,321,,376,,33,2,False
3527,1,376,,376,,2,2,True
3529,1,323,,323,,140,140,True
3531,1,319,,319,,151,151,True
3549,2,377,,378,,1,1,False
3551,2,322,,378,,34,1,False
3553,1,378,,378,,1,1,True
3555,1,324,,324,,34,34,True
3557,1,302,,302,,109,109,True
3559,1,289,,289,,149,149,True
3582,1,380,,380,,1,1,True
3584,1,320,,320,,292,292,True
3643,4,387,,387,,2,2,True
3645,4,352,,389,,33,1,False
3647,3,388,,389,,1,1,False
3649,3,365,,389,,33,1,False
3651,2,389,,389,,1,1,True
3653,2,374,,390,,33,2,False
3655,2,390,,390,,2,2,True
3657,2,370,,368,,33,258,False
3659,1,368,,368,,258,258,True
3733,11,391,,391,,1,1,True
3735,11,348,,401,,292,1,False
3737,10,392,,401,,1,1,False
3739,10,349,,401,,34,1,False
3741,9,393,,401,,2,1,False
3743,9,353,,401,,33,1,False
3745,8,394,,401,,1,1,False
3747,8,357,,401,,34,1,False
3749,7,395,,401,,1,1,False
3751,7,361,,401,,22,1,False
3753,7,355,,401,,12,1,False
3755,6,396,,401,,1,1,False
3757,6,362,,401,,34,1,False
3759,6,397,,401,,1,1,False
3761,6,364,,401,,34,1,False
3763,6,398,,401,,1,1,False
3765,6,366,,401,,34,1,False
3798,5,399,,401,,1,1,False
3800,5,369,,401,,232,1,False
3802,5,400,,401,,1,1,False
3804,5,371,,401,,34,1,False
3806,4,401,,401,,1,1,True
3808,4,373,,256,,34,175,False
3810,3,256,,256,,175,175,True
3812,3,232,,267,,83,258,False
3863,2,360,,267,,60,258,False
3865,1,267,,267,,258,258,True
3938,6,418,,422,,1,1,False
3940,6,351,,422,,107,1,False
3942,6,419,,422,,1,1,False
3944,6,354,,422,,34,1,False
3946,5,420,,422,,1,1,False
3948,5,359,,422,,34,1,False
3950,5,421,,422,,1,1,False
