frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
205,1,3,,3,,2,2,True
209,1,29,,29,,2,2,True
211,1,2,,2,,289,289,True
227,2,31,,32,,2,1,False
229,2,5,,32,,291,1,False
235,1,32,,32,,1,1,True
237,1,26,,26,,187,187,True
239,1,22,,22,,104,104,True
287,15,34,,35,,2,2,False
289,15,4,,35,,289,2,False
291,14,35,,35,,2,2,True
293,14,7,,39,,289,2,False
304,13,36,,39,,2,2,False
306,13,9,,39,,67,2,False
308,13,6,,39,,222,2,False
310,12,37,,39,,2,2,False
312,12,10,,39,,289,2,False
328,11,38,,42,,2,2,False
330,11,12,,42,,135,2,False
332,11,8,,42,,154,2,False
334,10,39,,42,,2,2,False
336,10,13,,42,,289,2,False
380,9,40,,42,,2,2,False
382,9,15,,42,,203,2,False
384,9,11,,42,,86,2,False
386,8,41,,42,,2,2,False
388,8,16,,42,,289,2,False
412,7,42,,42,,2,2,True
414,7,18,,48,,271,2,False
416,7,14,,48,,18,2,False
418,6,43,,48,,2,2,False
420,6,20,,48,,49,2,False
422,6,17,,48,,240,2,False
441,5,44,,48,,2,2,False
443,5,21,,48,,289,2,False
445,4,45,,48,,2,2,False
447,4,23,,48,,117,2,False
449,4,19,,48,,172,2,False
473,3,46,,48,,2,2,False
475,3,24,,48,,289,2,False
477,2,47,,48,,2,2,False
479,2,27,,48,,289,2,False
501,1,48,,48,,2,2,True
503,1,28,,28,,255,255,True
505,1,25,,25,,34,34,True
547,2,74,,74,,2,2,True
549,2,30,,75,,289,2,False
555,1,75,,75,,2,2,True
557,1,33,,33,,291,291,True
585,2,79,,80,,1,1,False
587,2,52,,80,,69,1,False
593,2,80,,49,,1,222,False
595,2,73,,49,,35,222,False
597,2,49,,49,,222,222,True
599,1,71,,71,,256,256,True
645,14,82,,90,,2,2,False
647,14,50,,90,,289,2,False
649,13,83,,90,,2,2,False
651,13,53,,90,,289,2,False
662,12,84,,90,,2,2,False
664,12,55,,90,,137,2,False
666,12,51,,90,,152,2,False
668,11,85,,90,,2,2,False
670,11,56,,90,,289,2,False
686,10,86,,90,,2,2,False
688,10,58,,90,,205,2,False
690,10,54,,90,,84,2,False
692,9,87,,90,,2,2,False
694,9,59,,90,,289,2,False
738,8,88,,90,,2,2,False
740,8,61,,90,,273,2,False
742,8,57,,90,,16,2,False
744,7,89,,90,,2,2,False
746,7,63,,90,,51,2,False
748,7,60,,90,,238,2,False
772,6,90,,90,,2,2,True
774,6,64,,91,,289,2,False
776,5,91,,91,,2,2,True
778,5,66,,93,,119,2,False
780,5,62,,93,,170,2,False
799,4,92,,93,,2,2,False
801,4,67,,93,,289,2,False
803,3,93,,93,,2,2,True
805,3,69,,95,,187,2,False
807,3,65,,95,,102,2,False
831,2,94,,95,,2,2,False
833,2,70,,95,,289,2,False
835,1,95,,95,,2,2,True
837,1,72,,72,,255,255,True
859,1,68,,68,,34,34,True
887,2,119,,119,,2,2,True
889,2,77,,120,,289,2,False
895,1,120,,120,,2,2,True
897,1,78,,78,,67,67,True
899,1,76,,76,,222,222,True
934,5,124,,124,,2,2,True
936,5,81,,127,,289,2,False
942,4,125,,127,,1,2,False
944,4,102,,127,,137,2,False
946,4,126,,127,,2,2,False
948,4,103,,127,,291,2,False
950,3,127,,127,,2,2,True
952,3,110,,128,,55,1,False
954,3,128,,128,,1,1,True
956,3,116,,98,,193,154,False
967,3,98,,112,,154,98,False
969,2,112,,112,,98,98,True
971,1,107,,107,,236,236,True
1044,11,136,,145,,2,2,False
1046,11,97,,145,,289,2,False
1048,10,137,,145,,2,2,False
1050,10,99,,145,,67,2,False
1052,10,96,,145,,222,2,False
1063,9,138,,145,,2,2,False
1065,9,100,,145,,289,2,False
1067,8,139,,145,,2,2,False
1069,8,105,,145,,207,2,False
1071,8,101,,145,,82,2,False
1087,7,140,,145,,2,2,False
1089,7,106,,145,,289,2,False
1091,6,141,,145,,2,2,False
1093,6,108,,145,,275,2,False
1117,6,104,,145,,14,2,False
1119,5,142,,145,,2,2,False
1121,5,111,,145,,289,2,False
1123,4,143,,145,,2,2,False
1125,4,113,,145,,123,2,False
1127,4,109,,145,,166,2,False
1149,3,144,,145,,2,2,False
1151,3,114,,145,,289,2,False
1153,2,145,,145,,2,2,True
1155,2,117,,146,,289,2,False
1179,1,146,,146,,2,2,True
1181,1,118,,118,,261,261,True
1183,1,115,,115,,28,28,True
1226,2,164,,165,,2,2,False
1228,2,122,,165,,289,2,False
1234,1,165,,165,,2,2,True
1236,1,123,,123,,67,67,True
1238,1,121,,121,,222,222,True
1282,7,169,,171,,2,2,False
1284,7,130,,171,,289,2,False
1286,6,170,,171,,2,2,False
1288,6,132,,171,,67,2,False
1290,6,129,,171,,222,2,False
1301,5,171,,171,,2,2,True
1303,5,133,,174,,289,1,False
1305,4,172,,174,,2,1,False
1307,4,134,,174,,135,1,False
1309,4,131,,174,,154,1,False
1325,3,173,,174,,2,1,False
1327,3,135,,174,,289,1,False
1329,2,174,,174,,1,1,True
1331,2,156,,175,,205,1,False
1333,2,175,,175,,1,1,True
1335,2,159,,152,,275,86,False
1359,2,155,,155,,16,16,True
1361,1,152,,152,,86,86,True
1415,9,186,,186,,2,2,True
1417,9,148,,187,,289,2,False
