frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
234,1,3,,3,,1,1,True
236,1,2,,2,,145,145,True
320,6,35,,36,,1,1,False
322,6,36,,36,,1,1,True
324,6,37,,37,,1,1,True
326,6,38,,38,,1,1,True
328,6,24,,39,,16,1,False
330,5,39,,39,,1,1,True
332,5,16,,21,,16,146,False
334,4,21,,21,,146,146,True
336,3,13,,5,,16,16,False
338,2,5,,5,,16,16,True
340,1,9,,9,,16,16,True
410,7,7,,15,,146,109,False
412,6,10,,15,,146,109,False
462,9,15,,12,,109,17,False
464,9,18,,12,,145,17,False
466,9,20,,12,,35,17,False
480,9,28,,12,,17,17,False
482,8,4,,12,,17,17,False
484,7,12,,12,,17,17,True
486,6,23,,26,,17,108,False
488,6,26,,26,,108,108,True
490,6,29,,11,,17,37,False
492,5,11,,11,,37,37,True
494,4,17,,17,,111,111,True
563,2,27,,27,,54,54,True
565,2,19,,22,,75,38,False
567,1,22,,22,,38,38,True
665,1,71,,71,,1,1,True
667,1,34,,34,,16,16,True
686,1,32,,32,,146,146,True
718,1,33,,33,,17,17,True
748,4,75,,78,,1,1,False
750,4,47,,78,,16,1,False
752,3,76,,78,,1,1,False
754,3,50,,78,,16,1,False
756,3,77,,78,,1,1,False
758,3,55,,78,,35,1,False
760,3,78,,78,,1,1,True
762,3,65,,44,,16,19,False
764,3,44,,44,,19,19,True
766,3,6,,51,,110,110,False
768,2,41,,51,,129,110,False
791,3,79,,48,,1,17,False
793,3,46,,48,,16,17,False
795,3,48,,48,,17,17,True
797,2,40,,51,,129,110,False
799,1,51,,51,,110,110,True
879,14,45,,53,,146,146,False
881,13,49,,53,,17,146,False
883,12,53,,53,,146,146,True
894,11,56,,66,,17,146,False
896,11,58,,66,,146,146,False
898,10,88,,66,,1,146,False
900,10,59,,66,,16,146,False
902,10,62,,66,,142,146,False
929,10,64,,66,,17,146,False
931,9,66,,66,,146,146,True
933,8,67,,60,,84,17,False
935,8,57,,60,,17,17,False
970,7,60,,60,,17,17,True
972,7,69,,54,,17,4,False
974,6,70,,54,,17,4,False
976,5,31,,54,,129,4,False
978,4,52,,54,,54,4,False
980,4,25,,54,,75,4,False
1066,3,54,,30,,4,129,False
1068,2,63,,30,,61,129,False
1070,2,14,,30,,1,129,False
1072,1,30,,30,,129,129,True
1156,1,73,,73,,17,17,True
1172,2,72,,74,,17,17,False
1174,2,74,,74,,17,17,True
1190,1,43,,43,,55,55,True
1192,1,8,,8,,74,74,True
1226,6,82,,82,,146,146,True
1228,5,85,,117,,17,1,False
1230,4,86,,117,,146,1,False
1257,5,87,,117,,17,1,False
1259,4,84,,117,,17,1,False
1261,3,117,,117,,1,1,True
1263,3,97,,118,,73,1,False
1265,3,118,,118,,1,1,True
1267,3,103,,119,,126,1,False
1269,3,119,,119,,1,1,True
1271,3,113,,91,,12,72,False
1273,3,111,,91,,133,72,False
1304,1,91,,91,,72,72,True
1389,9,130,,108,,1,146,False
1391,9,93,,108,,36,146,False
1393,9,99,,108,,17,146,False
1395,8,100,,108,,17,146,False
1397,8,104,,108,,17,146,False
1399,8,105,,108,,17,146,False
1401,7,107,,108,,51,146,False
1403,7,108,,108,,146,146,True
1424,10,109,,42,,17,129,False
1426,10,131,,42,,1,129,False
1428,10,112,,42,,122,129,False
1430,10,90,,42,,17,129,False
1432,10,94,,42,,17,129,False
1434,9,110,,42,,17,129,False
1436,8,114,,42,,17,129,False
1438,7,101,,42,,95,129,False
1477,5,81,,42,,129,129,False
1479,4,42,,42,,129,129,True
1481,3,96,,96,,129,129,True
1646,3,116,,115,,17,17,False
1648,2,115,,115,,17,17,True
1650,2,89,,89,,109,109,True
1652,1,98,,98,,129,129,True
1684,1,158,,158,,1,1,True
1686,1,121,,121,,16,16,True
1688,1,68,,68,,15,15,True
1738,7,124,,61,,17,114,False
1740,6,127,,61,,17,114,False
1742,5,128,,61,,17,114,False
1744,4,159,,61,,1,114,False
1746,4,136,,61,,16,114,False
1748,3,160,,61,,1,114,False
1750,3,149,,61,,13,114,False
1752,3,141,,61,,3,114,False
1754,3,161,,61,,1,114,False
1756,3,154,,61,,122,114,False
1758,3,138,,61,,129,114,False
1801,8,122,,61,,17,114,False
1803,7,125,,61,,17,114,False
1805,7,129,,61,,127,114,False
1807,7,162,,61,,1,114,False
1809,7,146,,61,,89,114,False
1811,7,150,,61,,17,114,False
1877,5,163,,61,,1,114,False
1879,5,151,,61,,16,114,False
1881,4,61,,61,,114,114,True
1883,3,102,,106,,74,23,False
1885,3,83,,106,,55,23,False
1887,2,106,,106,,23,23,True
1932,1,95,,95,,19,19,True
2008,7,132,,153,,17,17,False
2023,7,135,,139,,17,17,False
2025,6,140,,139,,17,17,False
2027,5,147,,139,,17,17,False
2029,4,148,,139,,146,17,False
2031,3,152,,139,,17,17,False
2033,2,153,,139,,17,17,False
2035,1,139,,139,,17,17,True
2037,1,142,,142,,36,36,True
2059,1,134,,134,,93,93,True
2098,2,156,,157,,146,37,False
2100,1,157,,157,,37,37,True
2102,1,155,,155,,109,109,True
2144,2,186,,186,,1,1,True
2146,2,167,,187,,145,1,False
2148,1,187,,187,,1,1,True
2150,1,169,,169,,16,16,True
2152,1,126,,126,,129,129,True
2268,9,166,,180,,17,146,False
2311,11,168,,180,,17,146,False
2313,10,201,,180,,1,146,False
2315,10,171,,180,,86,146,False
2317,10,172,,180,,17,146,False
2319,9,173,,180,,17,146,False
2321,9,175,,180,,12,146,False
2323,9,170,,180,,5,146,False
2325,8,176,,180,,17,146,False
2327,8,177,,180,,17,146,False
2329,7,180,,180,,146,146,True
2344,6,178,,144,,17,91,False
2346,5,179,,144,,27,91,False
2348,5,181,,144,,17,91,False
2350,4,164,,144,,59,91,False
2352,3,165,,144,,129,91,False
2354,2,144,,144,,91,91,True
2425,2,123,,123,,38,38,True
2427,1,174,,174,,119,119,True
2538,3,183,,183,,17,17,True
2540,2,184,,185,,146,53,False
2542,1,185,,185,,53,53,True
2544,1,182,,182,,93,93,True
2620,7,228,,197,,1,17,False
2622,7,191,,197,,16,17,False
2624,6,229,,197,,1,17,False
2626,6,198,,197,,16,17,False
2628,5,230,,197,,1,17,False
2630,5,192,,197,,16,17,False
2632,4,193,,197,,17,17,False
2634,4,195,,197,,17,17,False
2636,3,196,,197,,17,17,False
2638,3,197,,197,,17,17,True
2640,3,189,,92,,73,19,False
2642,3,137,,92,,56,19,False
2644,2,143,,92,,37,19,False
2676,4,199,,199,,11,11,True
2678,4,194,,120,,6,92,False
2680,3,200,,120,,17,92,False
2682,2,120,,120,,92,92,True
2684,1,92,,92,,19,19,True
2686,1,80,,80,,110,110,True
2805,11,244,,218,,1,146,False
2807,11,213,,218,,16,146,False
2809,10,205,,218,,17,146,False
2811,10,206,,218,,146,146,False
2813,9,207,,218,,17,146,False
2815,8,208,,218,,17,146,False
2817,8,216,,218,,15,146,False
2819,8,210,,218,,2,146,False
2821,8,217,,218,,17,146,False
2823,8,218,,218,,146,146,True
2890,9,221,,212,,17,17,False
2892,8,245,,212,,1,17,False
2894,8,222,,212,,16,17,False
2896,7,223,,212,,17,17,False
2898,6,209,,212,,17,17,False
2900,5,212,,212,,17,17,True
2902,4,219,,219,,17,17,True
2904,4,211,,133,,129,129,False
2906,3,145,,133,,129,129,False
2973,1,133,,133,,129,129,True
3079,2,225,,225,,17,17,True
3081,1,227,,227,,17,17,True
3083,1,226,,226,,19,19,True
3085,1,224,,224,,110,110,True
3139,2,268,,269,,1,1,False
3141,2,240,,269,,16,1,False
3143,1,269,,269,,1,1,True
3145,1,242,,242,,145,145,True
3187,6,231,,241,,17,17,False
3189,5,235,,241,,17,17,False
3191,4,236,,241,,17,17,False
3193,3,237,,241,,146,17,False
3195,2,241,,241,,17,17,True
3197,1,243,,243,,12,12,True
3199,1,238,,238,,5,5,True
3201,1,233,,233,,129,129,True
3226,3,239,,274,,70,1,False
3228,3,274,,274,,1,1,True
3230,3,251,,275,,16,1,False
3232,2,275,,275,,1,1,True
3234,2,263,,234,,16,76,False
3236,1,234,,234,,76,76,True
3313,7,247,,248,,146,17,False
3362,11,248,,264,,17,17,False
3364,10,285,,264,,1,17,False
3366,10,252,,264,,16,17,False
3368,9,256,,264,,17,17,False
3370,8,259,,264,,15,17,False
3372,8,254,,264,,2,17,False
3374,7,260,,264,,17,17,False
3376,6,262,,264,,17,17,False
3378,6,250,,264,,54,17,False
3380,6,253,,264,,17,17,False
3382,5,258,,264,,17,17,False
3384,4,261,,264,,17,17,False
3386,3,264,,264,,17,17,True
3388,2,190,,190,,129,129,True
3409,1,246,,246,,92,92,True
3526,1,298,,298,,1,1,True
3528,1,266,,266,,16,16,True
3530,1,202,,202,,53,53,True
3532,1,188,,188,,76,76,True
3546,2,265,,267,,146,17,False
3548,1,267,,267,,17,17,True
3564,2,302,,303,,1,1,False
3566,2,273,,303,,16,1,False
3568,2,303,,303,,1,1,True
3570,2,277,,270,,145,129,False
3572,1,270,,270,,129,129,True
3602,2,272,,304,,17,1,False
3604,2,304,,304,,1,1,True
3606,2,281,,257,,16,109,False
3608,1,257,,257,,109,109,True
3610,1,249,,249,,20,20,True
3664,5,271,,280,,17,17,False
3666,4,279,,280,,36,17,False
3668,4,280,,280,,17,17,True
3670,3,312,,283,,1,17,False
3672,3,284,,283,,145,17,False
3674,2,283,,283,,17,17,True
3676,2,276,,276,,110,110,True
3726,3,313,,313,,1,1,True
3728,3,314,,315,,1,1,False
3730,3,290,,315,,16,1,False
3732,2,315,,315,,1,1,True
3734,2,294,,288,,16,16,False
3736,2,288,,288,,16,16,True
3738,1,215,,215,,129,129,True
3806,3,324,,324,,1,1,True
3808,3,291,,325,,16,1,False
3810,2,293,,325,,17,1,False
3812,1,325,,325,,1,1,True
3814,1,296,,296,,30,30,True
3816,1,292,,292,,115,115,True
3835,3,287,,287,,17,17,True
3837,3,289,,289,,17,17,True
3839,2,295,,295,,17,17,True
3841,2,203,,203,,129,129,True
3843,1,255,,255,,129,129,True
3869,2,299,,299,,17,17,True
3871,2,300,,300,,146,146,True
3873,1,297,,297,,89,89,True
3875,1,286,,286,,40,40,True
3973,1,301,,301,,146,146,True
4015,5,309,,310,,17,17,False
4017,5,307,,310,,17,17,False
4019,4,310,,310,,17,17,True
4021,3,311,,308,,17,17,False
4023,3,308,,308,,17,17,True
4025,2,306,,232,,129,129,False
4027,1,232,,232,,129,129,True
4056,1,343,,343,,1,1,True
4058,1,321,,321,,16,16,True
4060,1,220,,220,,31,31,True
4062,1,214,,214,,59,59,True
4064,1,204,,204,,39,39,True
4165,5,318,,319,,146,17,False
4167,4,319,,319,,17,17,True
4169,3,322,,322,,17,17,True
4171,2,353,,353,,1,1,True
4173,2,323,,320,,16,17,False
4175,2,320,,320,,17,17,True
4177,1,317,,317,,129,129,True
4214,2,357,,357,,1,1,True
4216,2,334,,358,,16,1,False
4218,1,358,,358,,1,1,True
4220,1,337,,337,,90,90,True
4222,1,330,,330,,55,55,True
4312,1,370,,370,,1,1,True
4314,1,329,,329,,16,16,True
4333,2,326,,340,,146,17,False
4335,1,340,,340,,17,17,True
4337,1,333,,333,,129,129,True
4364,4,335,,335,,17,17,True
4366,4,336,,336,,17,17,True
4368,3,338,,339,,17,17,False
4370,3,339,,339,,17,17,True
4372,2,328,,328,,19,19,True
4374,2,316,,331,,110,129,False
4376,1,331,,331,,129,129,True
4508,1,341,,341,,146,146,True
4542,4,387,,387,,1,1,True
4544,4,349,,348,,16,17,False
4546,3,347,,348,,17,17,False
4548,2,348,,348,,17,17,True
4550,1,351,,351,,17,17,True
4552,1,332,,332,,129,129,True
4568,3,346,,346,,146,146,True
4570,2,350,,352,,17,17,False
4572,2,352,,352,,17,17,True
4574,1,345,,345,,129,129,True
4632,8,362,,361,,17,17,False
4634,7,364,,361,,17,17,False
4636,6,367,,361,,17,17,False
4638,5,368,,361,,146,17,False
4640,4,361,,361,,17,17,True
4642,3,363,,369,,17,14,False
4644,2,366,,369,,89,14,False
4685,1,369,,369,,14,14,True
4687,1,365,,365,,3,3,True
4689,1,282,,282,,72,72,True
4691,1,278,,278,,57,57,True
4804,2,376,,381,,17,17,False
4806,1,381,,381,,17,17,True
4808,1,342,,342,,20,20,True
4848,6,373,,380,,17,17,False
4850,5,374,,380,,17,17,False
4852,4,377,,380,,17,17,False
4854,4,379,,380,,17,17,False
4856,4,380,,380,,17,17,True
4858,3,378,,305,,129,109,False
4860,2,305,,305,,109,109,True
4882,2,383,,384,,17,17,False
4884,2,384,,384,,17,17,True
4886,2,354,,354,,129,129,True
4888,1,382,,382,,93,93,True
4890,1,375,,375,,36,36,True
4973,2,385,,385,,17,17,True
4975,1,416,,416,,1,1,True
4977,1,386,,386,,16,16,True
4979,1,356,,356,,19,19,True
4981,1,327,,327,,110,110,True
5036,2,423,,423,,1,1,True
5038,2,391,,424,,16,1,False
5040,1,424,,424,,1,1,True
5042,1,392,,392,,145,145,True
5072,2,388,,390,,17,146,False
5074,1,390,,390,,146,146,True
5139,2,428,,398,,1,17,False
5141,2,397,,398,,145,17,False
5143,1,398,,398,,17,17,True
5145,1,355,,355,,129,129,True
5229,9,401,,402,,17,17,False
5231,8,432,,402,,1,17,False
5233,8,405,,402,,16,17,False
5235,7,399,,402,,17,17,False
5237,6,400,,402,,17,17,False
5239,6,402,,402,,17,17,True
5241,6,403,,403,,17,17,True
5243,5,438,,438,,1,1,True
5245,5,412,,439,,35,1,False
5247,5,407,,439,,17,1,False
5249,4,439,,439,,1,1,True
5251,4,410,,404,,16,72,False
5253,3,409,,404,,110,72,False
