frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
286,13,3,,3,,1,1,True
288,13,2,,2,,145,145,True
290,12,29,,29,,1,1,True
292,12,30,,30,,1,1,True
294,12,9,,9,,145,145,True
320,11,31,,31,,1,1,True
322,11,32,,32,,1,1,True
324,11,33,,33,,1,1,True
326,11,22,,22,,71,71,True
328,11,18,,18,,75,75,True
330,10,8,,8,,36,36,True
332,10,5,,5,,110,110,True
410,9,11,,11,,72,72,True
412,9,7,,7,,74,74,True
414,8,15,,15,,146,146,True
467,7,19,,19,,35,35,True
469,7,16,,16,,111,111,True
471,6,20,,20,,146,146,True
517,5,28,,28,,17,17,True
519,4,17,,17,,16,16,True
521,3,25,,25,,16,16,True
523,2,14,,14,,16,16,True
525,1,6,,6,,16,16,True
588,4,4,,4,,17,17,True
590,3,12,,12,,17,17,True
596,2,23,,23,,17,17,True
598,2,27,,27,,128,128,True
600,2,24,,24,,1,1,True
602,1,26,,26,,146,146,True
678,6,71,,71,,1,1,True
680,6,45,,45,,16,16,True
682,5,72,,72,,1,1,True
684,5,48,,48,,16,16,True
686,4,73,,73,,1,1,True
688,4,53,,53,,145,145,True
690,3,74,,74,,1,1,True
692,3,56,,56,,145,145,True
729,12,75,,75,,1,1,True
731,12,65,,65,,16,16,True
733,12,38,,38,,129,129,True
735,11,43,,43,,36,36,True
737,11,34,,34,,110,110,True
775,10,40,,40,,17,17,True
777,9,44,,44,,17,17,True
779,8,76,,76,,1,1,True
781,8,47,,47,,16,16,True
783,8,37,,37,,92,92,True
785,8,10,,10,,37,37,True
787,7,51,,51,,12,12,True
789,7,41,,41,,5,5,True
791,6,55,,55,,66,66,True
815,6,49,,49,,80,80,True
817,5,57,,57,,17,17,True
819,5,39,,39,,129,129,True
821,4,60,,60,,137,137,True
883,4,54,,54,,9,9,True
885,3,77,,77,,1,1,True
887,3,61,,61,,16,16,True
889,3,36,,36,,91,91,True
891,3,21,,21,,38,38,True
893,2,63,,63,,62,62,True
895,2,59,,59,,84,84,True
930,1,64,,64,,17,17,True
982,4,46,,46,,17,17,True
984,3,52,,52,,17,17,True
1000,2,58,,58,,17,17,True
1002,2,50,,50,,129,129,True
1004,1,62,,62,,17,17,True
1006,1,35,,35,,128,128,True
1037,3,13,,13,,1,1,True
1039,2,68,,68,,146,146,True
1041,1,69,,69,,36,36,True
1043,1,66,,66,,110,110,True
1121,3,70,,70,,17,17,True
1123,2,113,,113,,1,1,True
1125,2,100,,100,,107,107,True
1127,2,93,,93,,38,38,True
1129,1,114,,114,,1,1,True
1131,1,103,,103,,31,31,True
1133,1,98,,98,,114,114,True
1171,10,79,,79,,17,17,True
1173,9,81,,81,,17,17,True
1175,8,84,,84,,89,89,True
1177,8,78,,78,,57,57,True
1179,7,88,,88,,17,17,True
1181,6,91,,91,,16,16,True
1183,6,86,,86,,130,130,True
1249,5,92,,92,,17,17,True
1251,4,115,,115,,1,1,True
1253,4,96,,96,,145,145,True
1255,3,101,,101,,17,17,True
1257,2,102,,102,,17,17,True
1259,1,104,,104,,146,146,True
1340,5,80,,80,,17,17,True
1342,5,42,,42,,129,129,True
1344,4,82,,82,,17,17,True
1346,3,85,,85,,17,17,True
1348,3,94,,94,,129,129,True
1377,7,95,,95,,17,17,True
1379,6,97,,97,,17,17,True
1381,5,107,,107,,17,17,True
1383,5,99,,99,,36,36,True
1385,5,89,,89,,93,93,True
1387,4,108,,108,,146,146,True
1416,3,109,,109,,53,53,True
1418,3,105,,105,,93,93,True
1420,2,110,,110,,17,17,True
1422,2,87,,87,,109,109,True
1602,9,83,,83,,20,20,True
1604,8,134,,134,,1,1,True
1606,8,112,,112,,16,16,True
1608,7,111,,111,,17,17,True
1610,6,158,,158,,1,1,True
1612,6,117,,117,,16,16,True
1614,5,121,,121,,17,17,True
1616,4,159,,159,,1,1,True
1618,4,122,,122,,16,16,True
1620,3,125,,125,,17,17,True
1622,2,129,,129,,17,17,True
1624,1,130,,130,,17,17,True
1695,9,118,,118,,17,17,True
1697,9,67,,67,,129,129,True
1699,8,119,,119,,17,17,True
1701,7,123,,123,,17,17,True
1703,6,126,,126,,17,17,True
1705,6,106,,106,,129,129,True
1737,8,131,,131,,71,71,True
1739,8,127,,127,,75,75,True
1741,7,132,,132,,17,17,True
1743,6,160,,160,,1,1,True
1745,6,138,,138,,16,16,True
1747,5,161,,161,,1,1,True
1749,5,152,,152,,13,13,True
1751,5,144,,144,,3,3,True
1753,5,140,,140,,129,129,True
1832,4,162,,162,,1,1,True
1834,4,157,,157,,16,16,True
1836,4,149,,149,,129,129,True
1838,3,165,,165,,1,1,True
1840,3,143,,143,,16,16,True
1842,2,153,,153,,17,17,True
1844,1,166,,166,,1,1,True
1846,1,154,,154,,16,16,True
1977,6,137,,137,,17,17,True
1979,5,142,,142,,17,17,True
1988,5,150,,150,,17,17,True
1990,4,151,,151,,146,146,True
1992,3,155,,155,,17,17,True
1994,2,156,,156,,17,17,True
1996,1,141,,141,,17,17,True
1998,1,145,,145,,36,36,True
2000,1,135,,135,,93,93,True
2080,14,163,,163,,146,146,True
2082,13,190,,190,,1,1,True
2084,13,171,,171,,16,16,True
2086,13,90,,90,,129,129,True
2129,15,191,,191,,1,1,True
2131,15,173,,173,,16,16,True
2133,15,128,,128,,17,17,True
2135,15,124,,124,,112,112,True
2137,14,169,,169,,146,146,True
2181,13,170,,170,,17,17,True
2183,12,172,,172,,17,17,True
2185,11,192,,192,,1,1,True
2187,11,175,,175,,104,104,True
2189,11,167,,167,,41,41,True
2191,10,176,,176,,17,17,True
2193,9,177,,177,,17,17,True
2195,9,147,,147,,129,129,True
2293,8,180,,180,,17,17,True
2295,8,168,,168,,129,129,True
2297,7,181,,181,,17,17,True
2299,6,184,,184,,119,119,True
2379,6,178,,178,,27,27,True
2381,5,186,,186,,17,17,True
2383,4,182,,182,,17,17,True
2385,3,183,,183,,146,146,True
2387,2,185,,185,,17,17,True
2389,1,179,,179,,17,17,True
2504,2,188,,188,,146,146,True
2506,1,189,,189,,36,36,True
2508,1,187,,187,,110,110,True
2553,4,232,,232,,1,1,True
2555,4,195,,195,,16,16,True
2557,3,233,,233,,1,1,True
2559,3,202,,202,,16,16,True
2561,2,234,,234,,1,1,True
2563,2,196,,196,,16,16,True
2565,1,235,,235,,1,1,True
2567,1,219,,219,,29,29,True
2569,1,214,,214,,116,116,True
2617,14,197,,197,,17,17,True
2619,14,164,,164,,90,90,True
2621,14,139,,139,,39,39,True
2623,13,199,,199,,17,17,True
2625,12,200,,200,,17,17,True
2627,12,146,,146,,109,109,True
2687,12,120,,120,,20,20,True
2689,11,201,,201,,17,17,True
2691,11,136,,136,,129,129,True
2693,10,207,,207,,17,17,True
2695,10,133,,133,,129,129,True
2765,9,209,,209,,66,66,True
2767,9,203,,203,,80,80,True
2769,8,210,,210,,17,17,True
2771,7,211,,211,,17,17,True
2773,7,204,,204,,53,53,True
2775,7,193,,193,,76,76,True
2800,6,220,,220,,17,17,True
2802,5,221,,221,,17,17,True
2804,5,148,,148,,55,55,True
2806,5,116,,116,,74,74,True
2808,4,222,,222,,146,146,True
2959,3,225,,225,,17,17,True
2961,2,236,,236,,1,1,True
2963,2,226,,226,,16,16,True
3009,6,227,,227,,17,17,True
3011,5,205,,205,,11,11,True
