frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
1018,1,3,,3,,1,1,True
1020,1,2,,2,,17,17,True
1477,66,102,,102,,1,1,True
1479,66,4,,4,,17,17,True
1481,65,103,,103,,1,1,True
1483,65,7,,7,,17,17,True
1485,64,104,,104,,1,1,True
1487,64,9,,9,,17,17,True
1489,63,105,,105,,1,1,True
1491,63,11,,11,,17,17,True
1493,62,106,,106,,1,1,True
1495,62,12,,12,,17,17,True
1497,61,107,,107,,1,1,True
1499,61,13,,13,,17,17,True
1501,60,108,,108,,1,1,True
1503,60,20,,20,,17,17,True
1505,59,109,,109,,1,1,True
1507,59,21,,21,,17,17,True
1509,58,110,,110,,1,1,True
1511,58,26,,26,,1,1,True
1513,58,18,,18,,16,16,True
1515,57,111,,111,,1,1,True
1517,57,29,,29,,17,17,True
1519,56,112,,112,,1,1,True
1521,56,31,,31,,3,3,True
1523,56,23,,23,,14,14,True
1525,55,113,,113,,1,1,True
1527,55,34,,34,,17,17,True
1529,54,114,,114,,1,1,True
1531,54,35,,35,,17,17,True
1533,53,115,,115,,1,1,True
1535,53,36,,36,,17,17,True
1537,52,116,,116,,1,1,True
1539,52,38,,38,,17,17,True
1541,51,117,,117,,1,1,True
1543,51,41,,41,,17,17,True
1545,50,118,,118,,1,1,True
1547,50,47,,47,,17,17,True
1549,49,119,,119,,1,1,True
1551,49,49,,49,,17,17,True
1553,48,120,,120,,1,1,True
1555,48,61,,61,,17,17,True
1557,47,121,,121,,1,1,True
1559,47,62,,62,,17,17,True
1561,46,122,,122,,1,1,True
1563,46,63,,63,,17,17,True
1565,45,123,,123,,1,1,True
1567,45,64,,64,,17,17,True
1569,44,124,,124,,1,1,True
1571,44,66,,66,,17,17,True
1573,43,125,,125,,1,1,True
1575,43,69,,69,,17,17,True
1577,42,126,,126,,1,1,True
1579,42,71,,71,,17,17,True
1581,41,127,,127,,1,1,True
1583,41,73,,73,,17,17,True
1585,40,128,,128,,1,1,True
1587,40,74,,74,,17,17,True
1589,39,129,,129,,1,1,True
1591,39,75,,75,,17,17,True
1593,38,130,,130,,1,1,True
1595,38,76,,76,,17,17,True
1597,38,56,,56,,194,194,True
1731,37,131,,131,,1,1,True
1733,37,77,,77,,17,17,True
1735,36,132,,132,,1,1,True
1737,36,82,,82,,17,17,True
1739,35,133,,133,,1,1,True
1741,35,83,,83,,17,17,True
1743,34,134,,134,,1,1,True
1745,34,84,,84,,15,15,True
1747,34,70,,70,,2,2,True
1749,33,135,,135,,1,1,True
1751,33,86,,86,,17,17,True
1753,32,136,,136,,1,1,True
1755,32,88,,88,,17,17,True
1757,31,137,,137,,1,1,True
1759,31,89,,89,,17,17,True
1761,30,138,,138,,1,1,True
1763,30,139,,139,,1,1,True
1765,30,91,,91,,17,17,True
1767,29,140,,140,,1,1,True
1769,29,92,,92,,17,17,True
1771,28,141,,141,,1,1,True
1773,28,93,,93,,17,17,True
1775,27,142,,142,,1,1,True
1777,27,94,,94,,17,17,True
1779,26,143,,143,,1,1,True
1781,26,14,,14,,17,17,True
1783,25,144,,144,,1,1,True
1785,25,16,,16,,17,17,True
1787,24,145,,145,,1,1,True
1789,24,17,,17,,17,17,True
1791,23,146,,146,,1,1,True
1793,23,22,,22,,17,17,True
1795,22,147,,147,,1,1,True
1797,22,27,,27,,17,17,True
1799,21,148,,148,,1,1,True
1801,21,28,,28,,17,17,True
1803,20,149,,149,,1,1,True
1805,20,32,,32,,17,17,True
1807,19,150,,150,,1,1,True
1809,19,33,,33,,17,17,True
1811,18,151,,151,,1,1,True
1813,18,39,,39,,17,17,True
1815,17,152,,152,,1,1,True
1817,17,40,,40,,17,17,True
1819,16,153,,153,,1,1,True
1821,16,50,,50,,17,17,True
1823,15,154,,154,,1,1,True
1825,15,51,,51,,17,17,True
1827,14,155,,155,,1,1,True
1829,14,52,,52,,17,17,True
1831,13,156,,156,,1,1,True
1833,13,157,,157,,1,1,True
1835,13,65,,65,,17,17,True
1837,12,158,,158,,1,1,True
1839,12,67,,67,,17,17,True
1841,11,159,,159,,1,1,True
1843,11,68,,68,,17,17,True
1845,10,160,,160,,1,1,True
1847,10,72,,72,,17,17,True
1849,9,161,,161,,1,1,True
1851,9,78,,78,,17,17,True
2239,8,162,,162,,1,1,True
2241,8,79,,79,,17,17,True
2243,7,163,,163,,1,1,True
2245,7,80,,80,,17,17,True
2247,6,164,,164,,1,1,True
2249,6,81,,81,,17,17,True
2251,5,165,,165,,1,1,True
2253,5,85,,85,,17,17,True
2255,4,166,,166,,1,1,True
2257,4,87,,87,,17,17,True
2259,3,167,,167,,1,1,True
2261,3,95,,95,,17,17,True
2263,2,90,,90,,17,17,True
2265,1,60,,60,,17,17,True
2637,1,240,,240,,17,17,True
2645,1,241,,241,,1,1,True
2647,1,99,,99,,17,17,True
2689,4,242,,242,,1,1,True
2691,4,97,,97,,17,17,True
2693,3,243,,243,,1,1,True
2695,3,98,,98,,17,17,True
2697,2,244,,244,,1,1,True
2699,2,100,,100,,17,17,True
2701,1,245,,245,,1,1,True
2703,1,101,,101,,17,17,True
3155,67,250,,250,,1,1,True
3157,67,171,,171,,17,17,True
3159,66,251,,251,,1,1,True
3161,66,172,,172,,17,17,True
3163,65,252,,252,,1,1,True
3165,65,176,,176,,17,17,True
3167,64,253,,253,,1,1,True
3169,64,178,,178,,17,17,True
3171,63,254,,254,,1,1,True
3173,63,181,,181,,17,17,True
3175,62,255,,255,,1,1,True
3177,62,182,,182,,17,17,True
3179,61,256,,256,,1,1,True
3181,61,186,,186,,17,17,True
3183,60,257,,257,,1,1,True
3185,60,187,,187,,17,17,True
3187,59,258,,258,,1,1,True
3189,59,191,,191,,17,17,True
3191,58,259,,259,,1,1,True
3193,58,192,,192,,17,17,True
