frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
2095,1,3,,3,,1,1,True
2100,1,152,,152,,1,1,True
2102,1,2,,2,,17,17,True
2675,127,153,,181,,1,1,False
2677,127,4,,181,,17,1,False
2679,126,154,,181,,1,1,False
2681,126,12,,181,,17,1,False
2683,125,155,,181,,1,1,False
2685,125,16,,181,,17,1,False
2739,124,156,,181,,2,1,False
2741,124,17,,181,,17,1,False
2743,123,157,,181,,1,1,False
2745,123,20,,181,,17,1,False
2747,122,158,,181,,1,1,False
2749,122,22,,181,,17,1,False
2751,121,159,,181,,1,1,False
2753,121,27,,181,,17,1,False
2755,120,160,,181,,1,1,False
2757,120,31,,181,,17,1,False
2815,119,161,,181,,1,1,False
2817,119,32,,181,,17,1,False
2819,118,162,,181,,1,1,False
2821,118,35,,181,,17,1,False
2823,117,163,,181,,1,1,False
2825,117,36,,181,,17,1,False
2827,116,164,,181,,1,1,False
2829,116,39,,181,,17,1,False
2831,115,165,,181,,1,1,False
2833,115,46,,181,,17,1,False
2835,114,166,,181,,1,1,False
2837,114,51,,181,,17,1,False
2839,113,167,,181,,1,1,False
2841,113,52,,181,,17,1,False
2944,112,168,,181,,1,1,False
2946,112,59,,181,,17,1,False
2948,111,169,,181,,1,1,False
2950,111,60,,181,,17,1,False
2952,110,170,,181,,1,1,False
2954,110,64,,181,,17,1,False
2956,109,171,,181,,1,1,False
2958,109,66,,181,,17,1,False
2960,108,172,,181,,1,1,False
2962,108,68,,181,,17,1,False
2964,107,173,,181,,1,1,False
2966,107,70,,181,,17,1,False
2968,106,174,,181,,1,1,False
2970,106,74,,181,,3,1,False
2972,106,53,,181,,14,1,False
2974,105,175,,181,,1,1,False
2976,105,75,,181,,17,1,False
2978,104,176,,181,,1,1,False
2980,104,76,,181,,17,1,False
3111,103,177,,181,,1,1,False
3113,103,77,,181,,17,1,False
3115,102,178,,181,,1,1,False
3117,102,83,,181,,17,1,False
3119,101,179,,181,,1,1,False
3121,101,85,,181,,17,1,False
3123,100,180,,181,,1,1,False
3125,100,86,,181,,17,1,False
3127,99,181,,181,,1,1,True
3129,99,87,,189,,17,1,False
3131,98,182,,189,,1,1,False
3133,98,90,,189,,17,1,False
3135,97,183,,189,,1,1,False
3137,97,92,,189,,17,1,False
3139,96,184,,189,,1,1,False
3141,96,98,,189,,17,1,False
3143,95,185,,189,,1,1,False
3145,95,100,,189,,17,1,False
3147,94,186,,189,,1,1,False
3149,94,102,,189,,17,1,False
3151,93,187,,189,,1,1,False
3153,93,104,,189,,13,1,False
3155,93,72,,189,,4,1,False
3157,92,188,,189,,1,1,False
3159,92,109,,189,,17,1,False
3334,91,189,,189,,1,1,True
3336,91,110,,243,,17,2,False
3338,90,190,,243,,1,2,False
3340,90,111,,243,,17,2,False
3342,89,191,,243,,1,2,False
3344,89,112,,243,,17,2,False
3346,88,192,,243,,1,2,False
3348,88,114,,243,,17,2,False
3350,87,193,,243,,1,2,False
3352,87,115,,243,,17,2,False
3354,86,194,,243,,1,2,False
3356,86,116,,243,,17,2,False
3358,85,195,,243,,1,2,False
3360,85,118,,243,,17,2,False
3362,84,196,,243,,1,2,False
3364,84,119,,243,,17,2,False
3366,83,197,,243,,1,2,False
3368,83,121,,243,,17,2,False
3370,82,198,,243,,1,2,False
3372,82,123,,243,,17,2,False
3374,81,199,,243,,1,2,False
3376,81,124,,243,,17,2,False
3378,80,200,,243,,1,2,False
3380,80,126,,243,,17,2,False
3382,79,201,,243,,1,2,False
3384,79,129,,243,,17,2,False
3577,79,202,,243,,1,2,False
3579,79,131,,243,,17,2,False
3581,78,203,,243,,1,2,False
3583,78,136,,243,,17,2,False
3585,77,204,,243,,1,2,False
3587,77,138,,243,,17,2,False
3589,76,205,,243,,1,2,False
3591,76,140,,243,,17,2,False
3593,75,206,,243,,1,2,False
3595,75,142,,243,,17,2,False
3597,74,207,,243,,1,2,False
3599,74,145,,243,,17,2,False
3601,73,208,,243,,1,2,False
3603,73,146,,243,,17,2,False
3605,72,209,,243,,1,2,False
3607,72,148,,243,,17,2,False
3609,71,210,,243,,1,2,False
3611,71,149,,243,,17,2,False
