workload,page_size,capacity_blocks,capacity_label,compulsory_misses,compulsory_miss_rate,policy,output_throughput,request_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,block_hit_rate,block_miss_rate,matched_blocks,missed_blocks,transfer_proxy_bytes,baseline_capacity_blocks,throughput_delta_vs_baseline,throughput_pct_gain_vs_baseline,median_ttft_delta_vs_baseline,median_ttft_pct_change_vs_baseline,median_itl_delta_vs_baseline,median_itl_pct_change_vs_baseline,distance_above_compulsory
optimistic,16,500,cap_500,7704,0.015124803185161045,lru,85.06705249902211,3.979745146153081,23921.850863000145,24238.8274083109,6.210509003722109,7.157259597443044,0.28067268465256534,0.7193273153474347,142964,366398,768392298496,500,0.0,0.0,0.0,0.0,0.0,0.0,0.7042025121622736
optimistic,16,1000,cap_1000,7706,0.020401409513421353,lru,126.38569846438385,5.9127812147080165,15626.971121499082,16916.36271587762,6.449614491430111,125.75252166381686,0.43524418946359594,0.564755810536404,164400,213319,447362367488,500,41.31864596536174,48.571855673307496,-8294.879741501063,-34.67490784473842,0.23910548770800233,3.850014347691962,0.5443544010229826
optimistic,16,1500,cap_1500,7704,0.022674562343273565,lru,172.1009333673129,8.05150565461113,11028.520797997771,12090.340190610443,6.743769001332112,243.33681089410675,0.5154430722501501,0.4845569277498499,175129,164635,345264619520,500,87.0338808682908,102.3120918281391,-12893.330065002374,-53.89771108783413,0.5332599976100028,8.586413726965167,0.4618823654065763
optimistic,16,2000,cap_2000,7704,0.02352086316438653,lru,200.37968034599365,9.374487969403212,8769.604717002949,10325.722885654977,6.950889997824561,289.55006519812645,0.571809769218322,0.4281902307816779,187290,140249,294123470848,500,115.31262784697154,135.5549821692683,-15152.246145997196,-63.3406095237937,0.740380994102452,11.921422119486884,0.4046693676172914
optimistic,16,2500,cap_2500,7704,0.024750216853535515,lru,258.9851457622309,12.116264129227178,3747.584327495133,6567.492885274405,7.294993993127719,365.5035023088567,0.6503035949497221,0.3496964050502779,202420,108850,228274995200,500,173.9180932632088,204.44824189154556,-20174.266535505012,-84.33405362754974,1.0844849894056097,17.462095115805347,0.32494618819674237
optimistic,16,3000,cap_3000,7704,0.025458763346518754,lru,289.2692764672453,13.533065565719076,2797.6545069905114,3997.660146356939,7.606541497807484,395.1402845431585,0.6971120958867442,0.30288790411325583,210951,91656,192216563712,500,204.20222396822317,240.04854755085182,-21124.196356009634,-88.3050248786659,1.3960324940853752,22.478551971323107,0.2774291407667371
optimistic,16,3500,cap_3500,7704,0.029517128286864803,lru,324.895370584919,15.199783419177498,135.64088299608557,1093.068727529899,7.4587629933375865,174.41365619233696,0.853479488584335,0.14652051141566508,222759,38242,80199286784,500,239.8283180858969,281.9285622816823,-23786.20998000406,-99.43298332652897,1.2482539896154776,20.09906094439874,0.11700338312880028
optimistic,16,4000,cap_4000,7704,0.02994112046015429,lru,324.9332992586679,15.201557860054638,34.780448499077465,984.6917565875639,7.051483495160937,135.06130971814858,0.9240240181885311,0.07597598181146888,237756,19549,40997224448,500,239.86624675964578,281.9731490783734,-23887.070414501068,-99.85460803723647,0.8409744914388284,13.541152439112672,0.046034861351314585
optimistic,16,4500,cap_4500,7704,0.030018469307439937,lru,325.005741471143,15.204946969410198,31.48855250037741,993.6581171375303,6.63569900643779,24.280814510129858,0.9653057566571333,0.034694243342866714,247738,8904,18673041408,500,239.93868897212087,282.05830803280634,-23890.362310499768,-99.86836907946332,0.42519000271568075,6.8462987890502065,0.004675774035426777
optimistic,16,5000,cap_5000,7704,0.030018469307439937,lru,324.91830480946334,15.20085636535501,33.077947999117896,990.7146657220447,6.638088008912746,27.02001410332754,0.9665604226899728,0.033439577310027196,248060,8582,17997758464,500,239.85125231044123,281.9555224547112,-23888.772915001027,-99.86172496355505,0.42757900519063696,6.884765885282164,0.0034211080025872594
optimistic,16,5500,cap_5500,7704,0.030018469307439937,lru,325.1048392543474,15.209583123010402,33.23522050050087,985.0125771696922,6.634078003116883,26.86841852962971,0.9665604226899728,0.033439577310027196,248060,8582,17997758464,500,240.03778675532527,282.17480176368474,-23888.615642499644,-99.86106752069128,0.42356899939477444,6.820197815362948,0.0034211080025872594
optimistic,16,6000,cap_6000,7704,0.030018469307439937,lru,325.13341414918654,15.210919960195861,32.735594497353304,988.6854740968568,6.642247506533749,26.506103935244035,0.9665604226899728,0.033439577310027196,248060,8582,17997758464,500,240.06636165016442,282.20839278864645,-23889.115268502792,-99.86315609655445,0.4317385028116405,6.9517410336719445,0.0034211080025872594
