frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
4085,190,3,,224,,1,1,False
4087,190,2,,224,,10,1,False
4129,192,58,,224,,1,1,False
4131,192,6,,224,,10,1,False
4167,194,59,,224,,1,1,False
4169,194,14,,224,,10,1,False
4171,193,60,,224,,1,1,False
4183,193,20,,224,,10,1,False
4185,192,61,,224,,1,1,False
4212,192,28,,224,,10,1,False
4214,191,62,,224,,1,1,False
4247,191,31,,224,,10,1,False
4249,190,63,,224,,1,1,False
4251,190,36,,224,,10,1,False
4308,194,64,,224,,1,1,False
4310,194,41,,224,,10,1,False
4312,193,65,,224,,1,1,False
4332,193,47,,224,,10,1,False
4334,192,66,,224,,1,1,False
4336,192,51,,224,,10,1,False
4376,193,67,,224,,1,1,False
4378,193,4,,224,,10,1,False
4398,192,68,,224,,1,1,False
4400,192,8,,224,,10,1,False
4402,191,69,,224,,1,1,False
4415,191,9,,224,,10,1,False
4427,190,70,,224,,1,1,False
4429,190,12,,224,,10,1,False
4451,190,71,,224,,1,1,False
4453,190,16,,224,,10,1,False
4472,190,72,,224,,1,1,False
4474,190,19,,224,,10,1,False
4525,194,73,,224,,1,1,False
4527,194,26,,224,,10,1,False
4529,193,74,,224,,1,1,False
4548,193,29,,224,,10,1,False
4550,192,75,,224,,1,1,False
4552,192,30,,224,,10,1,False
4603,193,76,,224,,1,1,False
4605,193,77,,224,,1,1,False
4607,193,33,,224,,10,1,False
4619,192,78,,224,,1,1,False
4621,192,34,,224,,10,1,False
4623,191,79,,224,,1,1,False
4643,191,37,,224,,10,1,False
4645,190,80,,224,,1,1,False
4679,190,38,,224,,10,1,False
4681,189,81,,224,,1,1,False
4683,189,39,,224,,10,1,False
4702,188,82,,224,,1,1,False
4704,188,42,,224,,10,1,False
4779,193,83,,224,,1,1,False
4781,193,43,,224,,10,1,False
4783,192,84,,224,,1,1,False
4801,192,44,,224,,10,1,False
4803,191,85,,224,,1,1,False
4805,191,45,,224,,10,1,False
4807,190,86,,224,,1,1,False
4809,190,48,,224,,10,1,False
4864,189,87,,224,,1,1,False
4866,189,49,,224,,10,1,False
4868,188,88,,224,,1,1,False
4884,188,50,,224,,10,1,False
4905,188,89,,224,,1,1,False
4907,188,90,,224,,1,1,False
4909,188,53,,224,,10,1,False
4929,187,91,,224,,1,1,False
4931,187,54,,224,,10,1,False
5005,193,92,,224,,1,1,False
5007,193,55,,224,,10,1,False
5009,192,32,,224,,10,1,False
5058,193,96,,224,,1,1,False
5060,193,56,,224,,10,1,False
5062,192,97,,224,,1,1,False
5097,194,57,,224,,10,1,False
5099,193,99,,224,,1,1,False
5125,193,95,,224,,10,1,False
5127,192,100,,224,,1,1,False
5150,192,94,,224,,10,1,False
5152,191,101,,224,,1,1,False
5154,191,98,,224,,10,1,False
5204,192,52,,224,,10,1,False
5206,191,106,,224,,1,1,False
5208,191,103,,224,,10,1,False
5230,190,110,,224,,1,1,False
5232,190,104,,224,,10,1,False
5262,190,111,,224,,1,1,False
5264,190,105,,224,,10,1,False
5266,189,112,,224,,1,1,False
5279,189,107,,224,,10,1,False
5299,188,113,,224,,1,1,False
5301,188,108,,224,,10,1,False
5328,189,114,,224,,1,1,False
5330,189,109,,224,,10,1,False
5375,192,123,,224,,1,1,False
5377,192,115,,224,,10,1,False
5389,191,126,,224,,1,1,False
5391,191,116,,224,,10,1,False
5439,193,127,,224,,1,1,False
5441,193,117,,224,,10,1,False
5449,192,128,,224,,1,1,False
5451,192,118,,224,,10,1,False
5453,191,129,,224,,1,1,False
5474,191,119,,224,,10,1,False
5489,191,132,,224,,1,1,False
5491,191,120,,224,,10,1,False
5527,192,134,,224,,1,1,False
5529,192,121,,224,,10,1,False
5531,191,135,,224,,1,1,False
5562,191,122,,224,,10,1,False
5564,190,136,,224,,1,1,False
5566,190,124,,224,,10,1,False
5589,189,137,,224,,1,1,False
5591,189,125,,224,,10,1,False
5643,193,140,,224,,1,1,False
5645,193,131,,224,,10,1,False
5647,192,142,,224,,1,1,False
5671,192,130,,224,,10,1,False
5705,193,143,,224,,1,1,False
5707,193,133,,224,,10,1,False
5709,192,147,,224,,1,1,False
5722,192,138,,224,,10,1,False
5751,193,148,,224,,1,1,False
5753,193,139,,224,,10,1,False
5755,192,149,,224,,1,1,False
5774,193,141,,224,,10,1,False
5776,192,152,,224,,1,1,False
5778,192,144,,224,,10,1,False
5812,192,153,,224,,1,1,False
5814,192,145,,224,,10,1,False
5822,191,154,,224,,1,1,False
5824,191,146,,224,,10,1,False
5840,190,156,,224,,1,1,False
5842,190,150,,224,,10,1,False
5865,190,157,,224,,1,1,False
5867,190,151,,224,,10,1,False
5894,190,158,,239,,1,1,False
5896,190,155,,239,,10,1,False
5898,189,161,,239,,1,1,False
5945,193,159,,239,,10,1,False
5947,192,162,,239,,1,1,False
5949,192,160,,239,,10,1,False
5976,192,169,,239,,1,1,False
5978,192,165,,239,,10,1,False
5989,192,170,,239,,1,1,False
5991,192,163,,239,,10,1,False
6028,192,171,,239,,1,1,False
6030,192,164,,239,,10,1,False
6032,191,172,,239,,1,1,False
6051,191,166,,239,,10,1,False
6053,190,173,,239,,1,1,False
6055,190,167,,239,,10,1,False
6071,189,174,,239,,1,1,False
6073,189,168,,239,,10,1,False
6075,188,178,,239,,1,1,False
6098,189,175,,239,,10,1,False
6120,189,179,,239,,1,1,False
6122,189,176,,239,,10,1,False
6142,188,181,,239,,1,1,False
6144,188,177,,239,,10,1,False
6167,188,182,,239,,1,1,False
6169,188,180,,239,,10,1,False
6171,187,185,,239,,1,1,False
6190,188,183,,239,,10,1,False
