workload,metric,threshold,smallest_queue_size_q,smallest_queue_size_numeric
natural_periodic_refinement_gap,reuse_event_visibility_fraction,0.5,220,220
natural_periodic_refinement_gap,reuse_event_visibility_fraction,0.75,360,360
natural_periodic_refinement_gap,reuse_event_visibility_fraction,0.9,510,510
natural_periodic_refinement_gap,reuse_event_visibility_fraction,0.95,580,580
natural_periodic_refinement_gap,reuse_block_visibility_fraction,0.5,220,220
natural_periodic_refinement_gap,reuse_block_visibility_fraction,0.75,360,360
natural_periodic_refinement_gap,reuse_block_visibility_fraction,0.9,510,510
natural_periodic_refinement_gap,reuse_block_visibility_fraction,0.95,580,580
natural_periodic_refinement_gap,next_reuse_visibility_fraction,0.5,80,80
natural_periodic_refinement_gap,next_reuse_visibility_fraction,0.75,80,80
natural_periodic_refinement_gap,next_reuse_visibility_fraction,0.9,80,80
natural_periodic_refinement_gap,next_reuse_visibility_fraction,0.95,80,80
natural_tenant_rotation_gap,reuse_event_visibility_fraction,0.5,240,240
natural_tenant_rotation_gap,reuse_event_visibility_fraction,0.75,270,270
natural_tenant_rotation_gap,reuse_event_visibility_fraction,0.9,480,480
natural_tenant_rotation_gap,reuse_event_visibility_fraction,0.95,490,490
natural_tenant_rotation_gap,reuse_block_visibility_fraction,0.5,240,240
natural_tenant_rotation_gap,reuse_block_visibility_fraction,0.75,270,270
natural_tenant_rotation_gap,reuse_block_visibility_fraction,0.9,480,480
natural_tenant_rotation_gap,reuse_block_visibility_fraction,0.95,490,490
natural_tenant_rotation_gap,next_reuse_visibility_fraction,0.5,10,10
natural_tenant_rotation_gap,next_reuse_visibility_fraction,0.75,40,40
natural_tenant_rotation_gap,next_reuse_visibility_fraction,0.9,40,40
natural_tenant_rotation_gap,next_reuse_visibility_fraction,0.95,190,190
