phase,batch_size,k_blocks,prefix_tokens,cache_bytes,method,wall_mean_ms,wall_trimmed_mean_ms,wall_p50_ms,wall_p95_ms,wall_std_ms,cuda_mean_ms,cuda_trimmed_mean_ms,cuda_p50_ms,cuda_p95_ms,cuda_std_ms
coarse,1,1,16,917504,HBM_reuse,11.182937858393416,11.093385601998307,11.087871011113748,11.602788600430358,0.2592490897784398,11.174404689243861,11.085043334960938,11.079008102416992,11.593849945068358,0.25909520065871355
coarse,1,1,16,917504,DRAM_fetch,12.377495852498603,12.377499995636754,12.384240995743312,12.419782094366383,0.03202799276317374,12.368681090218681,12.368780708312988,12.375103950500488,12.411248111724854,0.03234083709753644
coarse,1,1,16,917504,SSD_fetch,14.014292712090537,13.978419997147284,13.977467999211513,14.217855197784957,0.12049367700405643,14.005385262625557,13.969510459899903,13.968352317810059,14.20910749435425,0.12048078099220548
coarse,1,1,16,917504,recompute,22.534870715129987,22.423502200399525,22.382120005204342,23.06443830311764,0.31311152885786775,22.52556800842285,22.41455993652344,22.373472213745117,23.05395545959473,0.31237525497043794
coarse,1,10,160,9175040,HBM_reuse,11.242462856379072,11.244134599110112,11.248388997046277,11.276637398987077,0.027619339366531572,11.233974729265485,11.23583984375,11.239168167114258,11.267731189727783,0.027006373551764027
coarse,1,10,160,9175040,DRAM_fetch,13.398819715283546,13.388698600465432,13.389355008257553,13.481882108317222,0.052568701834805644,13.390080043247767,13.379763221740722,13.380191802978516,13.47374439239502,0.05284279277266651
coarse,1,10,160,9175040,SSD_fetch,15.758285147187832,15.68482720758766,15.608758010785095,16.22934049955802,0.2844124288836311,15.749311992100306,15.675910568237304,15.600000381469727,16.221542072296142,0.2851759998364786
coarse,1,10,160,9175040,recompute,22.531021858282788,22.52827580086887,22.53171599295456,22.575602399592753,0.030831156348650676,22.52231298174177,22.519430541992186,22.523040771484375,22.567781829833983,0.03134014442559379
coarse,1,20,320,18350080,HBM_reuse,11.294436142114657,11.242027598200366,11.261474006460048,11.590793702634983,0.183286999080245,11.285490308489118,11.233427238464355,11.252960205078125,11.580416011810303,0.1825196517772917
coarse,1,20,320,18350080,DRAM_fetch,13.998099715016517,14.004358000238426,14.003700998728164,14.056344697019085,0.056153113977604925,13.989503996712822,13.995648002624511,13.995136260986328,14.048191928863526,0.05626147332287713
coarse,1,20,320,18350080,SSD_fetch,18.110317999214335,18.050200599827804,17.987434010137804,18.545046501094475,0.2618988612309445,18.101307460239955,18.040972900390624,17.978111267089844,18.536790084838866,0.26232101369754757
coarse,1,20,320,18350080,recompute,25.923293431073294,25.918139202985913,25.91877400118392,25.969319106661715,0.02862745368955919,25.914367948259628,25.90906867980957,25.909759521484375,25.96036834716797,0.028550930958283108
coarse,1,30,480,27525120,HBM_reuse,11.33519442893365,11.335148403304629,11.331622008583508,11.36928639607504,0.02352517138422917,11.326363563537598,11.326368141174317,11.324224472045898,11.360169696807862,0.02343236885986988
coarse,1,30,480,27525120,DRAM_fetch,14.81807100104301,14.785150001989678,14.797691008425318,14.980885098339058,0.10003470421751481,14.809097153799874,14.775935935974122,14.788512229919434,14.97272958755493,0.10049844413259401
coarse,1,30,480,27525120,SSD_fetch,20.564675146098516,20.52982600289397,20.466164001845755,20.94908480066806,0.24423421684658544,20.55552019391741,20.520710372924803,20.45644760131836,20.94019889831543,0.24441691763383872
coarse,1,30,480,27525120,recompute,26.465408572611132,26.467227400280535,26.467112998943776,26.50349800242111,0.029512478174931158,26.456438882010325,26.458354949951172,26.45792007446289,26.494378089904785,0.02951584600456987
coarse,1,40,640,36700160,HBM_reuse,11.292349711376508,11.290832798113115,11.286515000392683,11.342239991063252,0.032944033805519204,11.283561297825404,11.282137680053712,11.278783798217773,11.333296394348144,0.03295692748878316
coarse,1,40,640,36700160,DRAM_fetch,15.806091716513038,15.759168402291834,15.731933992356062,16.139717200712766,0.19396328308781263,15.797001021248954,15.75047664642334,15.723103523254395,16.12994251251221,0.19363776627483867
coarse,1,40,640,36700160,SSD_fetch,23.030491138342768,22.9859733954072,22.98489399254322,23.677434895944316,0.42652844597881345,23.020781653267996,22.976153564453124,22.973920822143555,23.668304252624512,0.4267392576883534
coarse,1,40,640,36700160,recompute,29.984609855871117,29.979961598291993,29.986160006956197,30.067038600100204,0.05493530004073555,29.975840159824916,29.971020889282226,29.977344512939453,30.057754135131837,0.05453044043614234
